acronym,title,projectUrl,status
FAMILIESANDSOCIETIES,Changing families and sustainable societies Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/,OK,
HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de/,OK,
NOTOX,Predicting long term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu/,OK,
HEAR-EU,High resolution image based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu/,OK,
GAMMA,Global ATM security management,http://www.gamma-project.eu/,OK,
COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://ncp-space.net/,OK,
HYPOLED,High performance OLED microdisplays for mobile multimedia HMD and micro projection applications,http://www.hypoled.org/,OK,
GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/,OK,
FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/,OK,
HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/,OK,
PLEASURE,Novel Processing approaches for the development of food products Low in fAt Salt and sUgar,http://www.pleasure-fp7.com/,OK,
SHOCKMEAT,Development of Shock Wave Technology for Packed Meat,http://www.shockmeat.eu/about-shockmeat/general-information.html,OK,
RECAPT,Retailer and Consumer Acceptance of Promising Novel Technologies and Collaborative Innovation Management,http://www.recapt.org/,OK,
TACMON,DEVELOPMENT OF A LOW COST INTERACTIVE GRAPHICAL TACTILE DISPLAY CAPABLE OF DISPLAYING TEXTUAL AND GRAPHICAL INFORMATION AS ADVANCED USER INTERFACE FOR THE VISUALLY IMPAIRED,http://www.tacmon.eu/new/,OK,
EAGLE,Development and demonstration of a dynamic web based renewable energy rating platform,http://www.eagle-fp7.eu/,OK,
CLICO,Climate Change Hydro conflicts and Human Security,http://www.clico.org/,OK,
ACRIMAS,Aftermath Crisis Management System of systems Demonstration,http://www.acrimas.eu/,OK,
FUTURENANONEEDS,Framework to respond to regulatory needs of future nanomaterials and markets,http://www.futurenanoneeds.eu/,OK,
HI-FRE,Efficient membrane filtration units with integrated High Frequency Backpulsing device,http://www.hi-fre.eu/,OK,
MS.MONINA,Multi scale Service for Monitoring NATURA 2000 Habitats of European Community Interest,http://www.ms-monina.eu/home,OK,
TDSEXPOSURE,Total Diet Study Exposure,http://tds-exposure.eu/,OK,
OBELIX,OBesogenic Endocrine disrupting chemicals LInking prenatal eXposure to the development of obesity later in life,http://www.theobelixproject.org/,OK,
E-HUB,Energy Hub for residential and commercial districts and transport,http://www.e-hub.org/,OK,
ISAC,Information Service on Agricultural Change,http://www.gmes-isac.info/index.html,OK,
WHEY2FOOD,Enhanced protein fractionation from protein sources for their use in special food applications,http://www.whey2food.eu/,OK,
NOSHAN,Sustainable Production of Functional and Safe Feed from Food Waste,http://www.noshan.eu/index.php/en/,OK,
NANOVALID,Development of reference methods for hazard identification risk assessment and LCA of engineered nanomaterials,http://www.nanovalid.eu/,OK,
BACCHUS,Beneficial effects of dietary bioactive peptides and polyphenols on cardiovascular health in humans,http://www.bacchus-fp7.eu/,OK,
NACLIM,North Atlantic Climate Predictability of the climate in the North Atlantic European sector related to North Atlantic Arctic sea surface temperature and sea ice variability and change,http://www.naclim.eu/,OK,
IMAGINES,Implementation of Multi scale Agricultural Indicators Exploiting Sentinels,http://www.fp7-imagines.eu/,OK,
N2P,FLEXIBLE PRODUCTION TECHNOLOGIES AND EQUIPMENT BASED ON ATMOSPHERIC PRESSURE PLASMA PROCESSING FOR 3D NANO STRUCTURED SURFACES,http://www.n2p-project.eu/,OK,
ICATSEM,Institutional Changes and Trajectories of Socio Economic development Models,http://icatsem.u-bordeaux4.fr/,OK,
NEUJOBS,Employment 2025 How will multiple transitions affect the European labour market,http://www.neujobs.eu/,OK,
ENACT,Enacting European Citizenship,http://enacting-citizenship.eu/,OK,
CUPESSE,Cultural Pathways to Economic Self Sufficiency and Entrepreneurship Family Values and Youth Unemployment in Europe,http://cupesse.eu/,OK,
IMPACT,Impact Measurement and Performance Analysis of CSR,http://www.csr-impact.eu/,OK,
SOCIAL POLIS,Social Platform on Cities and Social Cohesion,http://www.socialpolis.eu/,OK,
MAXCAP,Maximizing the integration capacity of the European Union Lessons and prospects for enlargement and beyond,http://www.maxcap-project.eu/,OK,
FLOWS,Impact of local welfare systems on female labour force participation and social cohesion,http://www.flows-eu.eu/,OK,
SYBILLA,Systems Biology of T cell Activation in Health and Disease,http://sybilla-t-cell.de/,OK,
MYWATER,Merging Hydrologic models and EO data for reliable information on Water,http://mywater-fp7.eu/,OK,
