,acronym,title,projectUrl,foundProjectUrl1,foundProjectUrl2,foundProjectUrl3,foundProjectUrl4,foundProjectUrl5,foundProjectUrl6,foundProjectUrl7,foundProjectUrl8,foundProjectUrl9,foundProjectUrl10,projectUrlHash,foundProjectUrl1Hash,foundProjectUrl2Hash,foundProjectUrl3Hash,foundProjectUrl4Hash,foundProjectUrl5Hash,foundProjectUrl6Hash,foundProjectUrl7Hash,foundProjectUrl8Hash,foundProjectUrl9Hash,foundProjectUrl10Hash,MatchScore1,MatchScore2,MatchScore3,MatchScore4,MatchScore5,MatchScore6,MatchScore7,MatchScore8,MatchScore9,MatchScore10
0,FAMILIESANDSOCIETIES,Changing families and sustainable societies Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,http://soc.kuleuven.be/ceso/fapos/ongoingprojects/families-and-societies,http://www.age-platform.eu/images/stories/EN/FamiliesAndSocieties_PressRelease_formalVersion.pdf,http://www.sociology.ox.ac.uk/funding/the-changing-role-of-children-and-societal-implications-assisted-reproduction-late-fertility-and-childlessness.html,http://socasis.ubbcluj.ro/cercetare/family_society/,http://oeaw.ac.at/wic/index.php?id=141,http://su.avedas.com/converis/contract/5502,http://www.familiesandsocieties.eu/wp-content/uploads/2015/09/WP44Olah2015.pdf,http://www.research.ed.ac.uk/portal/en/projects/changing-families-and-sustainable-societies-policy-contexts-and-diversity-over-the-life-course-and-across-generations(15a802df-7c3f-4a7d-ad67-e579bb90406f).html,http://www.su.se/english/research/leading-research-areas/new-research-project-examines-changes-in-family-formation-and-social-policies-across-europe-1.121991,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdcT6Vq:Iuiu7nGUmqX1Fr0SelX6b,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdcT6Vq:Iuiu7nGUmqX1Fr0SelX6b,768:caG9L0kxu0TFQFjTiZ6hd3oJUeyT3NEDZsfdADWUQw:caG9L0kHTFQFXiY9OZEdADWUQw,3072:n3zz/0QokynwuB0B6WNu6JRUYHmxI3XHjSFGi/dBtuNwiIv1TqoVcklPric3s/ws:n3zzsQHAFB0B6Bgm6wESFGiF3zFRrica,768:S6TBq/g5Q0ulfuruOuUu4uCuQu2uQuMfu4ugu+uKuNu8uXumuJTPMpH5BurDhkGb:SEpH5Er+G+a,192:I8CWKqlxxgOYGYXgedaKTknkDJJoO+52s7TfZzPyn13icDRjMHgvZ52F+3N3es3B:iOGXgqdwkDJv1+y1ipghdxUjJma7zY,768:QC+p+YeXCg+/SR97cZjaiw7AlaOGSfjW9MgE3lZ:lw+YAM3D,768:btfzeM6DQDfcpapHpSpknvEcUEP3AdBqScOaMaaaQvNNzPU:tzeM3cpapHpSpkn8cpPwd8ScohNLU,49152:bJIA6soMKBMjQu1bk+b/fXWJfH3MLjIf7km256b:lIbM571bk2nsfXMQ7km9,192:iBljKvBckhyCeymQeFV/qE/eyi5wlryduS3EJVZ8j5pnb7O3rMW:+ljWACeyL4ZqE/eyi50WduSY+5dO3QW,384:MuQry8nuYDECviVPlTU+u1/VVFRBN8IQx7n4W2ceDkpLTutBNiVPlTU+u1/VVM5l:MTMC6YRBN87r2cAs3utBEV5l,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de/,http://www.hleg.de/ciemat.pdf,http://link.springer.com/article/10.1007/s00411-010-0284-2/fulltext.html,http://www.researchgate.net/publication/240616141_Response_to_Draft_Report_of_the_High_Level_Expert_Group_on_European_Radiation_Risk_Research_of_8th_Sept_2008_On_behalf_of_The_Green_Party_of_England_and_Wales_Green_Audit_The_Low_Level_Radiation_Campaign_The_European_Committee_on_Radiation_Risk,http://www.researchgate.net/publication/43100472_The_European_strategy_on_low_dose_risk_research_and_the_role_of_radiation_quality_according_to_the_recommendations_of_the_ad_hoc_High_Level_and_Expert_Group_(HLEG),http://www.hleg.de/Lachet.pdf,http://www.risk-ir.eu/,http://www.melodi-online.eu/doc/melodi_doc_1.pdf,http://www.doremi-noe.net/pdf/doremi_TRA/DoReMi_Publishable_Summary_Period_2.pdf,http://su.avedas.com/converis/contract/371,http://www.risk-ir.eu/index.php/publications/2-uncategorised,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,1536:Rwfp4CvuZ/MoPMNLwo4TNkttjLNd+33YWt:RwfzeMokJr4pENRk,768:LZFh19e5eeeZHeeesV0iH+HsMIIVeaBzuL5CjujkjPj62+1fdckibHYxZrOVR8de:LZFh19e5eeedeeesVt+A7CjujkjPj62l,1536:xf7ryRobcax8yj05gnd5S32j1uL1ulw61FaL++DfsvuKDDidDkaCil9/On7oSG6q:hO+rWo5S356uKDGNl46xLGyRp,1536:iMF0Bu7rKHYeeDeNhiw11bNTTD+qRteAbxxvDEfbDc5S3Tv6F2QHoOU5VyopgFRj:tAoM5S3TdqnKfop,6144:yvZVw29IU+ZLBhmqu7GqoXIdEO/iaXrJa411+GGf/mfjMkd6TZrYU00gaVt4zxGl:yv99IU+N73u7DB7bJRnq/mAvrY1h1E,192:uFXdjjQXFGxZ050D2IXjNKnP3JbqANUVZ+maiaKpQbA+/4KhAxVj1Z:+d4VGXPXBg5qANMba/KWbh/H651Z,3072:Az+iRdZA1da5aYe5G9N3uv1rqUUXGHOyWUYYDFOhOja675:Az+iR/2dy3W+XyWjY/m6V,3072:5xnDoFyJsgvBY4k8HgSree24Y1VSnhEpXuO6EFZbdJ/QqaSohk9Vg6TlqHH:5hk+tBY5kree5Y1chk+IFdJ/Rf9h4HH,768:ItfzeMEDQDfPpRpepFpLevEcUEP3Ik0xSnOU1KM7T1QvN6zPU:AzeMBPpRpepFpLe8cpP4HxSnV1326LU,384:NdSuGXqRC5oUUwsIje5Mzbavzd5OKKWbx/HnE1Z:xiP5ha5Jvx5rbtHEv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NOTOX,Predicting long term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu/,http://notox-sb.eu/,http://notox-sb.eu/consortium/,http://www.iphc.cnrs.fr/IMG/pdf/NOTOX_Brochure_web.pdf,http://www.iphc.cnrs.fr/NOTOX-project.html,http://eurice.eu/news/details/article/predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organo/,http://www.seurat-1.eu/pages/cluster-projects/notox.php,http://www.biopredic.com/index.php?rub=research_projects,http://eurice.eu/news/details/article/-027d1add0f/,http://euservice.info/projects/life-sciences/notox/,http://www.seurat-1.eu/,96:YS63+dkNtwaOgyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:CaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+dkNtwaOgyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:CaDpEVcnQ5Ql+cJht/EfziIfAj,192:saDpEZ0KTzVhObgg0xKYdjHLv6apEN8KNUqQ3kCh7K5a01HVJ+SRlG:s70UphObgg0xKYdjryaC8r0IoaQXRlG,,,192:0ws8GFg0paMArVnuUScxCGToDm2xmDQzdS:0wsPq0w7RuncxODm2xmUzdS,384:N4Q1rr1JRywrH3lHCXj72iol4/eb61F3RAhAPAF+rWVVVlV1VwqVoLeID2XIv73p:au1JRywrUbjth2WYnLH7Sr/82EQ,1536:Oe19S65lxgng4z7XUdqQDO7cROIldTJn1HG:Oe19SYscDO7QFdI,192:0wsqGFg0paMArVEpvCEbDSGD20hUfDCyDCXJ295DQzdS:0wsVq0w7+pv/bqwaDk295UzdS,192:Hs7UU+YLDD0paRhn4B0CkI1YjhBwTZ1Zs9IJKWbyXDXm482hzHS:M7UYH0wRC0o2Na69IsWbEhzHS,384:iQ1rj1JRywrM5nHCXjTqmcI0/6B6173RAhAPAF+rWVVVlV1VwqVoLeID2XGv7313:iA1JRywr+Vo9h2WKVpsDM82EQ,100.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
3,HEAR-EU,High resolution image based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu/,http://www.hear-eu.eu/,http://hear-eu.org/index.php/news/events,http://www.hear-eu.eu/index.php/consortium,https://www.linkedin.com/pub/nerea-mangado/40/888/a94,https://www.linkedin.com/in/maurizio-bordone-4421a431,https://nl.linkedin.com/in/sergio-vera-765a4826,https://za.linkedin.com/in/fredericperez,http://www.upf.edu/rdi/programes_europeus/cooperation.html,https://pl.linkedin.com/in/fredericperez,http://www.mauricioreyes.me/mreyesCV.pdf,192:6d2NcBBoQOaoiPub/Er27o+f7sPnc+Hzjkw1DKhUat6JewckLmtBgv4w2:6dcaoiPub/ES7osstTjlZKh3t6kwdLmB,192:6d2NcBBoQOaoiPub/Er27o+b7sPnc+Hzjkw1DKhUat6JewckLmtBgvAw2:6dcaoiPub/ES7oQstTjlZKh3t6kwdLmh,384:KdQaoiPubhS7oEkB/5krIGnrkBqn51dUFEDHkBc59T3lpEI2xkB95L/b7OERTkBA:HaoiPnq5EnHn5zP5t2k5rb7f55ESUQXl,384:wdcaoiPub/yS7ox4cc4++KxPJ20YGG3NRf19hc3sMFuit+kwdLmto5:paoiP8MFBKxvkRK9dO,,,,,768:Ye+ZuxjPgcLIsXKpjeXgPWv3ZBdUgXK3yil/:HxLgcLDap+gPapBdfa3f/,,12288:TIB3ajit/lr0qW2vzqvHUmfKPpWa1HehaGolter+W8Kyhu:Tqt/yqa0jpdLFlgrQu,97.0,0.0,50.0,,,,,0.0,,0.0
4,GAMMA,Global ATM security management,http://www.gamma-project.eu/,http://www.gamma-project.eu/,http://www.finmeccanica.com/en/-/gamma-atm-security,http://www.selex-es.com/en/-/gamma-atm-security,http://www.finmeccanica.co.uk/-/gamma-atm-security,https://www.linkedin.com/in/florian-logoras-489266b4,https://www.deepdyve.com/lp/institute-of-electrical-and-electronics-engineers/gamma-filling-the-security-management-void-of-sesar-and-nextgen-sp5JOQnaNn,http://www.atc-network.com/atc-news/gamma-consortium-defining-the-future-of-atm-security,http://www.researchgate.net/publication/269305219_GAMMA_-_Filling_the_security_management_void_of_SESAR_and_NextGen,http://www.researchgate.net/profile/Rainer_Koelle/publications,http://www.finmeccanica.co.uk/documents/1458024/4203155/PR_21_oct_13_GAMMA_EN.pdf?download_file,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgcdW:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQo,,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgcdL:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQZ,,,768:5/93aACuURUAo14rpmnLyB4zCG6Qkkx8wgoS+p9:5/93aA2UnnLyB4eG6Qkkx8wgoS+p9,1536:vu7rhQeh+OgqV8m5S3LRHVQqLj08T+zFFeCUZd3lY6W+udx6xxhn:Qum5S3LFCvP6p,3072:LXNAN5ymZi1uFwnJI5S31G+G3GQG/J5fyGm2GinGbGy9G0GCGQsGFOGGG9GOIGXJ:LXNAN5yYWJ5f+2yOU,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgcY8:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQj,100.0,0.0,,0.0,,,0.0,0.0,0.0,0.0
5,COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://ncp-space.net/,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/zusammenarbeit/weltraum/cosmos/,http://www.helmholtz.de/en/helmholtz_centres_networks/eu_projects/cooperation/space/,"http://www.rtu.lv/component/option,com_docman/task,doc_view/gid,8400/lang,lv/",http://www.ims.rtu.lv/en/?page=projects,http://www.2020-horizon.com/SPACE-AND-SOLAR-TERRESTRIAL-RESEARCH-INSTITUTE-p3962g1.html,https://www.linkedin.com/in/elena-giglio-2b440730,http://www.2020-horizon.com/CENTRO-PARA-EL-DESARROLLO-TECNOLOGICO-INDUSTRIAL-p1257g1.html,http://www.ims.rtu.lv/?page=projekti,http://www.esastap.org.za/download/addinfo02_ws_saeu_space_2013.pdf,http://www.researchranking.org/index.php?action=partner&p=dBeb,384:/hOGjKlqytBVGQnt726zEPkiTIC0MK5KSCQJyvn4QMsCrq:kGWkytBVGmt9Enchpk4QMsCrq,768:Y4VdrQ822weQshX2NPEhlhtaztIt7tNtDwXodLxDRLW+:1AyhX2NPEPzapQBvDwXodLxDRLW+,,6144:KekPS0VeDvrGMUVKTSa/vwEjJ3lzKEnxM0nNATSXmchmdkEI:Kek9Vej9UVHkYEGc6TjyIkEI,384:tVCK4SyOBAFT5Ia66dDPRxle7cl+M2VGYOS9NK2el:G8gT51lPRG1M2VGYnK,192:SIhBnvYRlOGe83bAHQXcKvv3gJM59N/cZkS0HoMXZEy0Iw:SIhBnvYRMl6VMK33gJM5PTSTMXKyy,,384:fnvYRkFv9YeyVjR7MKfJmELGeyVXdXKyy:fgmFv9YeyVjRfmELGeyVNG,384:tanv/wifU7bT5IN3rl5pyle7cl+O2V/YOFI0OiA:IwBT5Mx5pd1O2V/U0OiA,98304:QPD04PaWdPhGIoeHJx2xDPS9rmrqsHCQtYZQzhh/r7z20:8haeGQJx8e9rmrqsiJW3a0,768:9AakvB5f0t7CM/rmAFxsnOMRWm8qyULhueVP1wP:Ivbf0JCMSysnnvJ1wP,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6,HYPOLED,High performance OLED microdisplays for mobile multimedia HMD and micro projection applications,http://www.hypoled.org/,http://www.researchgate.net/profile/I_Underwood/publication/45174928_HYPOLED_-_VGA_OLED_micro-display_for_HMD_and_micro-projection/links/0f317533b3611c2b5d000000.pdf?origin=publication_detail,http://www.2020-horizon.com/HYPOLED-High-performance-OLED-microdisplays-for-mobile-multimedia-HMD-and-micro-projection-applications(HYPOLED)-s14337.html,http://www.researchgate.net/publication/45152810_HYPOLED_-_high-performance_OLED_microdisplays_for_mobile_multimedia_HMD_and_projection_applications,http://www.comedd.fraunhofer.de/content/dam/comedd/common/products/COMEDD/hypoled-e.pdf,http://www.hypoled.org/Documents/HYPOLED_M18PR_.pdf,http://www.hypoled.org/Documents/HYPOLED_M24PR.pdf,http://www.oled-info.com/fraunhofer-ipms-updates-us-their-various-oled-projects,http://www.wiley-vch.de/berlin/journals/op/09-02/OP0902_S34-S36.pdf,http://www.fep.fraunhofer.de/en/press_media/press_com/2010/2010-02-02.html,http://www.ipms.fraunhofer.de/en/press-media/download/papers-2010.html,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,49152:LMa62Qy0rnsi9zpZbGdefhYnxkX8aY8zX7nsl7:Qa6Sknsi9tZbYa8aFrn2,96:xlKLBkF1MWSRw6bYGpzDzSZmkedbLl+2A+bB5hzXuKEy5ZokksLoRtcfH+:nDYRlpGZillvA+bB/XZEy0Ie,1536:Kca7rGrejll4TUbhq9G6S3NVggaX0HUmUeT/8lzI8WY9M5Qm6xRcdOoxxhX:O/D6S3NPtEzCYHot,24576:/g/GPTfo1s/lCCAsGsfGT1KQSL4gBXWeNyC5E3+1MbTW:7TUs/lCkFlQWXBVICymMO,3072:rtqzlFbUyZXkh4V/pmhIIyZBSffdZAwlekMXx7olNJg:szlFbTZXr/ghIIyZBSndZJTuolNi,3072:L9j79A1zoJb8MeBniRdlAcvEsVccXzUj8YvSb2ABXEYP:L91A1zOAMe18VvLecXwj87P02,384:YiZy3dyeEfQf3IH2w1GIhMur0aj3fI2PMgr4qP26cslYizvMx87z6Tmg70/7s76u:bV4fIHzEphR2kz26TnIel0zijES,3072:QsXVNrSjoaiL3Pc8FlFgDJodEOWEnKXwuhE6M47VTDJBGGp4Kxt:RaoaiLjFlFgDJodfX8R7dJBX4Kt,768:KW/kKuzJjQfKlRaTp61rCyyr6QVAljHUP6/vJylv9HJVL0:KW/aUuR4p61rCyyr6QVAljHUPFzJVL0,768:OWakjZcA6lV+I8RJIqnRo5ggr2hNis/PqaXlfu2PSfX0sd6A/JVyQ4L:OWayIAJIqnRo5ggCNis3qalfu2PSfX3u,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/,https://www.hipeac.net/network/projects/4682/genesys/,http://www.genesys-platform.eu/WelcomeIntroduction.pdf,https://ti.tuwien.ac.at/cps/research/projects/genesys,http://www.unibo.it/en/research/projects-and-initiatives/Unibo-Projects-under-7th-Framework-Programme/cooperation-1/information-and-communication-technology-ict-1/genesys,http://www.researchgate.net/publication/220714398_A_Comparison_of_NoTA_and_GENESYS,http://www.researchgate.net/publication/228866788_A_Comparison_of_NoTA_and_GENESYS,http://msdl.cs.mcgill.ca/people/mosterman/workshops/date09/05_06a.pdf,http://first.aster.it/_aster_/viewNews?ID=17281,https://ti.tuwien.ac.at/cps/research/projects/indexys,,,384:89RDLE94AYDX1w5vN+SCqCgvLxsOLNxxuhjpf:89q94zr1QF+SCqCgV4hjB,,768:S3gVAi17poBmG5cHYJDAyyno7eVFukABCJ2BTvkDvz1p/VUbn/FQppp0STxQnk1z:5VA+7pQmG5cHYJDAyyno7eVFukABCJ2q,768:qSQR0BxNdfbCEHCuzYJJuZHXa6r2zFVt4B84YBOFyc6Z0OrKEKT:dvNdfbCUCuzYJJUHXa6r2zFMeBOFyc6o,1536:/67rI7hG8GuRx8b089P3CeI3SOKdNGS38oROtSkVqxksN7QpZaaJSik+Vsip+rSb:887gQW4FKDGS38SNG0sV3,1536:fhs7rOXhkux8H0cJY/CeIhSOKdGS38ERaKsfaP9m7SwDiP2Svfk+Vsip+rGESn0+:fQaXZWZ3KdGS3JqJpbxMR3,192:GsgHTLqqYQg0xahZvIqj9pSJHFE6mjSh4G4Ikh7:GtHTeqOIqj9gJljmjSh4GWB,768:G6pwHPoKYxtTY37+Vcyj1zLva73P1dqY0+t9:G6pwHPofnTYiVcyla7dcY0+j,768:PQaVAi17poXmG5cHYJDAyyno7eVFukABCJ2BTvkDvfPp/VUbn/FQppp0STxQnk1X:LVA+7p2mG5cHYJDAyyno7eVFukABCJ2Y,,,,,,,,,,
8,FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/,http://www.foodmanufuture.eu/,http://www.foodmanufuture.eu/dmedia?f=LGhj,http://www.foodclusterinitiative.eu/uploads/files/conceptual-design-report-full-text.pdf,http://www.2020-horizon.com/FOODMANUFUTURE-Conceptual-Design-of-a-Food-Manufacturing-Research-Infrastructure-to-boost-up-innovation-in-Food-Industry(FOODMANUFUTURE)-s1.html,http://www.foodclusterinitiative.eu/uploads/files/executive-summary-final-report.pdf,http://www.campden.hu/dokutar/FoodManufuture_brochureinenglish.pdf,http://www.manufuture.org/manufacturing/wp-content/uploads/Flyer_FoodManufuture-final-event.pdf,http://etp.fooddrinkeurope.eu/asp/etp_uptodate/l1.asp?doc_id=726,http://utagri.enea.it/en/eventi/meeting-internazionali/utagri-alla-conferenza-finale-conceptual-design-food-manufacturing-res,http://www.vifu.net/media/1129/flyer-foma-final-event-2-final.pdf,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekn5Om:TFcZV5eY5Om,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ek6Z5Jm:TFcZV5en5Jm,24576:suYbJ8zh2ku8UD48Z1WvY5bQiny2tcl1NqZI0Wmu:Fl1bpUEfQ5kinN+NgI0Wmu,49152:cERW2vXjJdKG+NLZucohFsg3tXpa5De46Ge2mbFt0WFm+KDpQxdHGjq:cLmJUtNLEHb31pW6z9bFt0KmdDpQxdHL,192:vDYRlpGTmulmJN8t2y7WMOmcsGyahsYdXZEy0Ie:vDYRnMmnLs2y7WMOHsTedXKyo,49152:AUFE19HVv2RKEAGS7kYXAvPN1iLByVIu23GCWM:A4YJgA/kYXAXO11V2i,98304:+9eK1eiffK7zPgTjXTDfnGF8NxxEZOEy1eVTNr5:oeK1XnsMTzn08NrEZCejr5,12288:p5jN0ByKlocR1uhXRYBJ0Od+FJ1z3Inrs:z1CocRqiJ0Y4nDInrs,,192:SzwZHw4so/xTU1ACd+EH0oSNtM21sHVEfr4IoBds5RXvENMPzeuPUAYAiAPtF3YW:SEHw4so5U1ACUEHYzM21sI4lovENG93F,12288:MAU6R66TrEjWi80nKmVgM1iBKHUHOwrziSYQwf2NniUtoFo42l:ML6Tw78LmVgM1sUwrdYQM295toUl,94.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
9,HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,http://www.wageningenur.nl/en/show/HighTech-Europe-European-network-for-integrating-novel-technologies-for-food-processing.htm,http://www.biw.kuleuven.be/m2s/clmt/lmt/research/projects/current/hightech-europe,http://www.hightecheurope.eu/fileadmin/redakteur/downloads/HTE_Guidelines_2012.pdf,http://www.hightecheurope.eu/uploads/media/2011-06-15_13-28-21_D4.11_Booth_at_ICEF11.pdf,http://flandersfood.indiegroup.be/upload/agenda/1192/Guidelines.pdf,http://www.agropolis.org/project-management/afresh.php/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,http://www.vupp.cz/envupp/research.htm,http://www.flandersfood.com/sites/default/files/HTE_AMP_Flyer.pdf,http://www.agropolis.fr/pdf/article-HTE-international-innovation.pdf,768:xZcxJQFEsuncMsLybUCwgnsu13LwUbBfWB71Kq1:xeQesucxLmlhsu13LwoBfW/J1,384:6uVzqiIQP38IIrBtBptORGc91Fkc9yxWzNZvK52c:6uV/IQP3RMpUJrFkGyxWzN02c,384:os7h+gwbq53tWR492nXzYFvbzV9k47SHDy:BkDbq53w492XzY+47SHu,768:oaG9LqIk/u0xbQFjT+ZoxAjWUBET9Fbms/KZh9EKWUQw:oaG9LLkhtQFXiB09F8Zh9EKWUQw,6144:GvIVzeu3Zksv8EnbMu+vSe0sl+N01obGhjWqD2ZYjEmc2W6zggvhM+fzAA:aIVb3NbMuYSC6T0SLejEd2/0whhsA,12288:MI0M+sJKGgJBOUjW7puLssNwCw5QbYkX9wZI:MI0lpGgaUYpuL7wubxXF,3072:z7mMHVPbudK1GHFicQJDZMIQiJo6Ge1WhYkiZLY6N6xYIqG:z7mMHVPbOKYFi/JDuIQiJvYQ6xYIqG,768:ZLg/IQP3SkUQfP2fpa+UumoQdKccgGXb+5wXg5FD1q3EZ:5gwQP3KQygW+2bGww511q3EZ,768:Cagy4zJvbNGQxfvYOjZA2jIqv/w9DUOOQp4u9boR1lv7od7WND:CvDhPj2Qw9DcMs67WN,24576:cjTdX9i5tbBlF16vEBXSsIgT/8QMulrpwM/FRAVC1M6ZTRz:SR9GBMcpf3pMuldkYF,12288:IrXHTYCo4gzFA+PUIMidLRfWUnlbOmhQIxoTlRW5xJZEmX2lIz6JPFya/ByyHAoX:kroHPXdVuUlQIxkG7z6JdqygoX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
