acronym,title,projectUrl,foundProjectUrl1,foundProjectUrl2,foundProjectUrl3,foundProjectUrl4,foundProjectUrl5,foundProjectUrl6,foundProjectUrl7,foundProjectUrl8,foundProjectUrl9,foundProjectUrl10,projectUrlHash,foundProjectUrl1Hash,foundProjectUrl2Hash,foundProjectUrl3Hash,foundProjectUrl4Hash,foundProjectUrl5Hash,foundProjectUrl6Hash,foundProjectUrl7Hash,foundProjectUrl8Hash,foundProjectUrl9Hash,foundProjectUrl10Hash,MatchScore1,MatchScore2,MatchScore3,MatchScore4,MatchScore5,MatchScore6,MatchScore7,MatchScore8,MatchScore9,MatchScore10
0,FAMILIESANDSOCIETIES,Changing families and sustainable societies Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,http://soc.kuleuven.be/ceso/fapos/ongoingprojects/families-and-societies,http://soc.kuleuven.be/web/staticpage/6/30/eng/904,http://oeaw.ac.at/wic/index.php?id=141,http://socasis.ubbcluj.ro/cercetare/family_society/,http://su.avedas.com/converis/contract/5502,http://www.familiesandsocieties.eu/wp-content/uploads/2015/09/WP44Olah2015.pdf,http://europa.eu/epic/eu-activities/eu-funded-projects/demography-fertility/index_en.htm,http://www.su.se/english/research/leading-research-areas/new-research-project-examines-changes-in-family-formation-and-social-policies-across-europe-1.121991,http://su.avedas.com/converis/person/2227,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,768:caG9L0kxu0TFQFjTiZ6hd3oJUeyT3NEDZsfdADWUQw:caG9L0kHTFQFXiY9OZEdADWUQw,384:SJjBrRLN8L/9vurK/qVIpvkbNhkh6t3J8Poo8Z4BdCY2e3nGF:S1BrRLN8L/9vIVIpGZKCFoGF,384:o4gVEURRc9ZCADzjvzkjV52AMHlFcHXYvdven:otVEURRc9ZCADzjvzkjV5JCUHXYvdv+,192:I8CWKqlxxgOYGYXgedaKTknkDJJoO+52s7TfZzPyn13icDRjMHgvZ52F+3N3es3B:iOGXgqdwkDJv1+y1ipghdxUjJma7zY,768:xtfzeM4DQDfyp4pVp0pWdvEcUEP3edB4acS8Mk40QvNTzPU:jzeM1yp4pVp0pWd8cpPOdaacmLTLU,49152:bJIA6soMKBMjQu1bk+b/fXWJfH3MLjIf7km256b:lIbM571bk2nsfXMQ7km9,384:AiD8R5NqxcMobZfPBsnk7rf/vhEqMt3E+00uP80O9:jSqxcMWJsk7rf/tC5uDq,384:MuQry8nuYDECviVPlTU+u1/VVdRBN8IQx7n4W2ceDkpLTutBNiVPlTU+u1/VVE5l:MTMC6IRBN87r2cAs3utBEl5l,768:RtfzeMzDQDf/pgptpIpm0vEcUEP3ujLCd8owIwBiRynCnQvN0zPU:DzeM+/pgptpIpm08cpPeidQBioCI0LU,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de/,http://www.hleg.de/,http://www.hleg.de/tor.pdf,http://www.eurosfaire.prd.fr/7pc/doc/1247675197_radiation_protection_hleg_report_01_2009.pdf,http://link.springer.com/article/10.1007/s00411-010-0284-2/fulltext.html,http://www.amazon.es/Level-Expert-Group-European-Research/dp/384332784X,http://www.researchgate.net/publication/274781733_The_European_initiative_on_low-dose_risk_research_from_the_HLEG_to_MELODI,http://www.researchgate.net/publication/49634869_MELODI_the_'Multidisciplinary_European_Low-Dose_Initiative',http://www.irsn.fr/EN/publications/thematic-radiation-protection/health-effects-of-low-doses/Pages/european-research.aspx,http://www.melodi-online.eu/doc/04_MELODI_workshop_Weiss_HLEG.pdf,http://www.risk-ir.eu/,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,768:KZkrc4T3+b/tPe6S6y1nGDeDhsQgdeXDCgY8+yVfBjM3WXooh+cL:KZk4k+ztNF2GDeD/9Vu32ookw,49152:iidjFi/4LidZFi/4gG8IgjTskVS0LCdnqHZqh7kWQ3rb3z1D9ACHv9hF19:JZOB/gE0tLCZq5CE3/3zAAfF3,768:LZMhy9e5eeeZHeeesI0iC+ysMIIVeaBzu85CjujkjPj62+1fd3kibHYxZrOVRKdw:LZMhy9e5eeedeeesIA+h8CjujkjPj620,3072:z7CMmstNIhc8yVKg6i9/CprzQhLGTxreMMUA/YnJZAMOcyQVSzdUm5:iMmstNI84g6i9/YrOaxa7d/YnJZAMOhL,1536:MFL7rNuyeeweNGGeX4ENx56Iur4E9CS3ZksqefMYAzcujnY5HLI2grALL1OwZox0:I6x56I2CS3ZWsoi,1536:uz7rxseeneynyBMOvx56IuhpS3YPvFI5fIaXIKYQSpX0BP1VF/9o7oNoqoxxhl:irx56IUpS3YbwGoNoqoD,3072:7W3TaGmpSLyrrVjFymFF3pY/tjd3/PRHGjIu:70HGjIu,49152:AsssybsjZ5XgMox16rx/AkYxWWN/UzI5CUWyl2ioYuMrhzr/7:uZAjZ5XKx1GZ7Z8MI5Vj2i1uMVr,192:uFXdjjQXFGxZ050D2IXjNKnP3JbqANUVZ+maiaKpQbA+/4K8AxVj1Z:+d4VGXPXBg5qANMba/KWbh/HX51Z,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NOTOX,Predicting long term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu/,http://notox-sb.eu/,http://notox-sb.eu/project/,http://www.iphc.cnrs.fr/IMG/pdf/NOTOX_Brochure_web.pdf,http://www.seurat-1.eu/pages/cluster-projects/notox.php,http://eurice.eu/news/details/article/predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organo/,http://www.iphc.cnrs.fr/NOTOX-project.html,http://www.uni-saarland.de/fak8/heinzle/de/notox/notox.html,http://eurice.eu/projects/life-sciences/notox/,http://www.biopredic.com/index.php?rub=research_projects,http://euservice.info/projects/life-sciences/notox/,96:YS63+dkNtwaOgyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:CaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+dkNtwaOgyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:CaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+VUkNtwaOcmrUGoaDpjgawd6MHws5g76fO96TGT1I1clckJ0tQWWav0:nhaDpEXd6MQSGnI1cll8fT0,,384:NYQ1nr1JRywrH3lHCXj72iol4/eb61F3RAhAPAF+rWVVVlV1VwqVoLeID2XIv732:iu1JRywrUbjkh2WYnLH7Sr/82EQ,192:0ws8GFg0paMArVnuUScxCGToDm2xmDQzdS:0wsPq0w7RuncxODm2xmUzdS,,48:ImE5p388J1InfwGcK+c9EU8p+cwVhabvsatfRrlz:O88J1InfwFK+2FhQvFfRrlz,192:0wsfGFg0paMv4UL0CkI1YjhBwTZoHZs9IJK5byXDUDr94fDQzdS:0ws+q0weL0o2Nz69Is5bdcUzdS,1536:Oe19S65lxgng4z7XUdqQDO7cROIldTJn1HG:Oe19SYscDO7QFdI,192:Hs7UU+YLDD0paRhn4B0CkI1YjhBwTZ1Zs9IJKWbyXDXm482hzHS:M7UYH0wRC0o2Na69IsWbEhzHS,100.0,43.0,,0.0,0.0,,0.0,0.0,0.0,0.0
3,HEAR-EU,High resolution image based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu/,http://www.hear-eu.eu/,http://www.hear-eu.eu/index.php/component/users/?view=reset,http://hear-eu.org/media_heareu/Leaflet_Hear-eu_v5.pdf,https://www.linkedin.com/in/maurizio-bordone-4421a431,https://www.linkedin.com/pub/nerea-mangado/40/888/a94,https://es.linkedin.com/in/sergio-vera-765a4826,https://it.linkedin.com/in/marioceresa,https://es.linkedin.com/in/nerea-mangado-a9488840,http://www.upf.edu/rdi/programes_europeus/cooperation.html,https://ru.linkedin.com/in/fredericperez,192:6d2NcBBoQOaoiPub/Er27o+b7sPnc+Hzjkw1DKhUat6JewckLmtBgvsw2:6dcaoiPub/ES7oQstTjlZKh3t6kwdLm5,192:6d2NcBBoQOaoiPub/Er27o+37sPnc+Hzjkw1DKhUat6JewckLmtBgv3w2:6dcaoiPub/ES7owstTjlZKh3t6kwdLm+,192:2od02BHa/A895cBBoQOaoiPubFPr27o+vcEo/E7M9x+4atlQJewckLmtBgvUw2:XdXzYaoiPubFPS7oBNOM9x+rtekwdLmZ,24576:yfGVvLOregtLzhf4T5kUQyCjej9xwmYx6YfN0RwEgdOPRdy5Zp:yf69gtLzhf4GvmYXWdpPe5Zp,,,,,,768:Ye+ZuxjPgcLIsXKpjeXgPWv3ZBdUgXK3yil/:HxLgcLDap+gPapBdfa3f/,,97.0,61.0,0.0,,,,,,0.0,
4,GAMMA,Global ATM security management,http://www.gamma-project.eu/,http://www.gamma-project.eu/,https://www.linkedin.com/groups/GAMMA-Global-ATM-Security-Management-6510314/about,http://www.eurocontrol.int/articles/atm-security,http://www.selex-es.com/en/-/gamma-atm-security,http://www.finmeccanica.co.uk/-/gamma-atm-security,https://www.deepdyve.com/lp/institute-of-electrical-and-electronics-engineers/gamma-filling-the-security-management-void-of-sesar-and-nextgen-sp5JOQnaNn,http://www.atc-network.com/atc-news/gamma-consortium-defining-the-future-of-atm-security,http://www.42solutions.nl/gamma-consortium-on-global-atm-security-management-joined-by-42-solutions/,http://ieeexplore.ieee.org/iel7/6811232/6819972/06819992.pdf?arnumber=6819992,http://www.42solutions.nl/tag/gamma/,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:ZZRj4nTYJyl82r/wvF5G6X2FL+X6xZHhlZ54ZQxXs55WZvOBjUc3vAbEdLZUrakD:ZZRj4nTYJyl82LwvFs6oSXsZHhlZ54ZK,768:wet4JGghlJMxwW1c/8Y2z3AmKbWOmQiDwv:wet4JGghl+xwoY8Y2jAgBq,,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgccp:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQS,1536:4LcxmKqJ80Xcheee/foe/OqSVkFXeRsN3epmXRFYvebtW8Yi+nivkLJMZosH3f:4+H6BYsN7rY8gLJMr,768:5/93aACuURUAo14rpmnDX+4zCGi4ckx8wPS+op9:5/93aA2UnnDX+4eGi4ckx8wPS+op9,768:W9F0wIa8X2R/Y3lv7hsmsChdzW8Ixasx+xyH7XxaJx3x4xjxww20xRLgv0:WYnr2R/6v1smsChdzW8Ix3x+xyXxmx3m,1536:dN/AAt8XBnLjtF/Joq68qFqEqFqxL6Bq6qqFq4qFqSMq/MLSKCgNxQ1+BDIUuEq:Plt8XFL3iq68qFqEqFqBkq6qqFq4qFqs,768:2FF0wya8X2R/alsSHVLFqi39jEH7XxaJx3x4xjxww2tRLgv0:2gBr2R/WsyVxNF8Xxmx3x4xjxGRLgv0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5,COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://ncp-space.net/,https://edukad.etag.ee/project/3259,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/zusammenarbeit/weltraum/cosmos/,http://www.helmholtz.de/en/helmholtz_centres_networks/eu_projects/cooperation/space/,"http://www.rtu.lv/component/option,com_docman/task,doc_view/gid,8400/lang,lv/",http://www.2020-horizon.com/CENTRO-PARA-EL-DESARROLLO-TECNOLOGICO-INDUSTRIAL-p1257g1.html,http://www.2020-horizon.com/SPACE-AND-SOLAR-TERRESTRIAL-RESEARCH-INSTITUTE-p3962g1.html,https://www.linkedin.com/in/elena-giglio-2b440730,http://www.ims.rtu.lv/en/?page=projects,http://www2.rosa.ro/index.php/ro/cercetare/proiecte-internationale?start=18,http://www.ims.rtu.lv/?page=projekti,384:/hOGjKlqytBVGQnn926zEPk3KaiWQZqn4QMsCrq:kGWkytBVGmnDEvq4QMsCrq,384:2qRckUZ5MKw27Hdl07orQ9769zn3KiVlrcMc7oud/cklZLnu+Ku1t:/aK2q6BeM+K+t,768:O4VdrQ822weQlhX2NPEh/ppTu7FDwXodLxDRLW+:zAThX2NPExppTu7FDwXodLxDRLW+,,6144:KekPS0VeDvrGMUVKTSa/vwEjJ3lzKEnxM0nNATSXmchmdkEI:Kek9Vej9UVHkYEGc6TjyIkEI,384:fnvYRkFv9YeyVjR7MKfJmELGeyVXdXKyy:fgmFv9YeyVjRfmELGeyVNG,192:SIhBnvYRlOGe83bAHQXcKvv3gJM59N/cZkS0HoMXZEy0Iw:SIhBnvYRMl6VMK33gJM5PTSTMXKyy,,384:tVCK4SyOBAFT5Ia66dDPRxle7cl+M2VGYOS9NK2el:G8gT51lPRG1M2VGYnK,,384:tanv/wifU7bT5IN3rl5pyle7cl+O2V/YOFI0OiA:IwBT5Mx5pd1O2V/U0OiA,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0
6,HYPOLED,High performance OLED microdisplays for mobile multimedia HMD and micro projection applications,http://www.hypoled.org/,http://www.hypoled.org/,http://www.hypoled.org/Documents/HYPOLED_100604.pdf,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/abstract,http://www.2020-horizon.com/HYPOLED-High-performance-OLED-microdisplays-for-mobile-multimedia-HMD-and-micro-projection-applications(HYPOLED)-s14337.html,http://www.researchgate.net/publication/45174928_HYPOLED_-_VGA_OLED_micro-display_for_HMD_and_micro-projection,http://www.readcube.com/articles/10.1889%2F1.3500394,http://www.oled-info.com/files/hypoled-e.pdf,http://www.comedd.fraunhofer.de/en/applications/sensors.html,http://www.comedd.fraunhofer.de/content/dam/comedd/common/products/COMEDD/hypoled-e.pdf,http://publica.fraunhofer.de/dokumente/N-135599.html,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,49152:LMa62Qy0rnsi9zpZbGdefhYnxkX8aY8zX7nsl7:Qa6Sknsi9tZbYa8aFrn2,384:0W2E96JxvQdU3ZiKzp8ieAfGRLtKan6qWAq6OKYDKlCGh3FJgsIxkIfOEIYqIm5s:0W2E96JxMUKhkAq6OKLlrhFJ3YGm,96:xlKLBkF1MWSRw6bYGpzDzSZmkedbLl+2A+bB5hzXuKEy5ZokksLoRtcfH+:nDYRlpGZillvA+bB/XZEy0Ie,3072:p83I399qYUOfvigikWgfL0Rx3HSW9wohJEaSoS3qBsXQR692oRZR3h541GdxGbwG:p83I399q6VWgiwohJEarBfKRZR3h54mM,768:cgkrV57tGk5bjBkiMKHApU/GY1QNmYYlsXI:/kJRbjBkiMKHApU/GqQUrsXI,6144:pz9BlA/9vQNVLQUwS+w9uiEfbVvfsXyli0S398+oEI/Ij56rV8Xopz49Cg/W7HIq:p4oVLQq7E6XS056ZaopEYo1g,768:VW/kuGuAtMg5SlcDPX8vRKP63v3DdPJViQ:VW/ih5SlcDPX8vRKPcVJViQ,24576:/g/GPTfo1s/lCCAsGsfGT1KQSL4gBXWeNyC5E3+1MbTW:7TUs/lCkFlQWXBVICymMO,96:sp2HB5fzQINxfVAG6/0VdDj+do/4MnSnqjivihiKiAiiiPmie2VOMX5NW0icNyTT:spqXALtdD3jD32fiZl6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/WelcomeIntroduction.pdf,https://www.hipeac.net/network/projects/4682/genesys/,http://www.unibo.it/it/@@multilingual-selector/d645ec2d3da543c4a01a07f7dc354117/en,https://ti.tuwien.ac.at/cps/research/projects/genesys,http://first.aster.it/_aster_/viewNews?ID=17281,http://msdl.cs.mcgill.ca/people/mosterman/workshops/date09/05_06a.pdf,http://www.laas.fr/IFIPWG/Workshops&Meetings/54/workshop/10.Kopetz.pdf,http://www.researchgate.net/publication/220714398_A_Comparison_of_NoTA_and_GENESYS,http://www.researchgate.net/publication/228866788_A_Comparison_of_NoTA_and_GENESYS,,,,384:89RDLE94AYDX1w5vN+SCqCgvLxsOLNxxuhjpf:89q94zr1QF+SCqCgV4hjB,768:SSQR0BxNdfbCEHCuzYJJuZHXa6r2zFVt4B84YBOFyc6Z0OrBEKT:1vNdfbCUCuzYJJUHXa6r2zFMeBOFyc6v,768:S3gVAi17poBmG5cHYJDAyyno7eVFukABCJ2BTvkDvz1p/VUbn/FQppp0STxQnk1I:5VA+7pQmG5cHYJDAyyno7eVFukABCJ2L,768:G6pwHPoKYxtTY37+Vcyj1zLva73P1dqY0+t9:G6pwHPofnTYiVcyla7dcY0+j,192:GsgHTLqqYQg0xahZvIqj9pSJHFE6mjSh4G4Ikh7:GtHTeqOIqj9gJljmjSh4GWB,3072:3bAF9twYRPoJmpGHPDdbAyG5nkOYARt6af7ZSgwC:3bAiYRPonvFAy7ARt6afdSvC,1536:/67rI7hG8GuRx8b089P3CeI3SOKdNGS38oROtSkVqxksN7QpZaaJSik+Vsip+rSb:887gQW4FKDGS38SNG0sV3,1536:fhs7rOXhkux8H0cJY/CeIhSOKdGS38ERaKsfaP9m7SwDiP2Svfk+Vsip+rGESn0+:fQaXZWZ3KdGS3JqJpbxMR3,,,,,,,,,,
8,FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/,http://www.foodmanufuture.eu/,http://www.foodmanufuture.eu/dmedia?f=LGhj,http://www.2020-horizon.com/FOODMANUFUTURE-Conceptual-Design-of-a-Food-Manufacturing-Research-Infrastructure-to-boost-up-innovation-in-Food-Industry(FOODMANUFUTURE)-s1.html,http://www.foodclusterinitiative.eu/uploads/files/conceptual-design-report-full-text.pdf,http://www.manufuture.org/manufacturing/wp-content/uploads/Flyer_FoodManufuture-final-event.pdf,http://www.campden.hu/dokutar/FoodManufuture_brochureinenglish.pdf,http://www.foodclusterinitiative.eu/uploads/files/executive-summary-final-report.pdf,http://www.vifu.net/media/1129/flyer-foma-final-event-2-final.pdf,http://etp.fooddrinkeurope.eu/asp/etp_uptodate/l1.asp?doc_id=726,http://progettiue.enea.it/dett_pdf.asp?id=779,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekV5gm:TFcZV5ey5gm,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekt5cm:TFcZV5em5cm,24576:suYbJ8zh2ku8UD48Z1WvY5bQiny2tcl1NqZI0Wmu:Fl1bpUEfQ5kinN+NgI0Wmu,192:vDYRlpGTmulmJN8t2y7WMOmcsGyahsYdXZEy0Ie:vDYRnMmnLs2y7WMOHsTedXKyo,49152:cERW2vXjJdKG+NLZucohFsg3tXpa5De46Ge2mbFt0WFm+KDpQxdHGjq:cLmJUtNLEHb31pW6z9bFt0KmdDpQxdHL,12288:p5jN0ByKlocR1uhXRYBJ0Od+FJ1z3Inrs:z1CocRqiJ0Y4nDInrs,98304:+9eK1eiffK7zPgTjXTDfnGF8NxxEZOEy1eVTNr5:oeK1XnsMTzn08NrEZCejr5,49152:AUFE19HVv2RKEAGS7kYXAvPN1iLByVIu23GCWM:A4YJgA/kYXAXO11V2i,12288:MAU6R66TrEjWi80nKmVgM1iBKHUHOwrziSYQwf2NniUtoFo42l:ML6Tw78LmVgM1sUwrdYQM295toUl,,768:6FynKp20gfuxPHi0AOl0Qgg5f/PnPFmnwX1GNUWnRHe1/fceHwxfUt:OyMDxPHi0AOl0Qgg52wX1WnR83/Qxst,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
9,HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/,https://www.wageningenur.nl/en/show/HighTech-Europe-European-network-for-integrating-novel-technologies-for-food-processing.htm,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,http://www.euussciencetechnology.eu/content/european-network-integrating-novel-technologies-food-processing-hightech-europe,http://www.biw.kuleuven.be/m2s/clmt/lmt/research/projects/current/hightech-europe,http://www.hightecheurope.eu/fileadmin/downloads/Award/Guidelines.pdf,http://www.eu-projekte.bremen.de/sixcms/detail.php?gsid=bremen100.c.8627.de&asl=bremen100.c.2287.de,http://www.hightecheurope.eu/fileadmin/redakteur/downloads/HTE_Guidelines_2012.pdf,http://www.irta.cat/en-us/RIT/Projectes/pages/ProjectDisplayPage.aspx?UrlCode=743,http://www.keki.hu/?q=node/132,http://www.flandersfood.com/sites/default/files/HTE_AMP_Flyer.pdf,768:xZcxJQFEsuncMsLybUCwgnsu13LwUbBfWB71Kq1:xeQesucxLmlhsu13LwoBfW/J1,384:B47hLgwb253tY74928pijrvbzA9M41gu9DYN:oBDb2538492+ij141gOi,384:6uVzqiIQP31IIrBtBptORGc91Fkc9yxWzNZvK52c:6uV/IQP3+MpUJrFkGyxWzN02c,384:wQahML9vCDtbTPsoQRNltPjH+FBnBFhNqYZUl3dFrKy7V4sLQ:wQahML9vCDtbTPsoQRNltrH+FBn3lSKt,768:oaG9LqIk/u0lbQFjT+ZoxAjWUBET9Fbms/KZh9EKWUQw:oaG9LLkhBQFXiB09F8Zh9EKWUQw,3072:gjYctEHet8QNSzD6SZckbbNSpmbnOm8RHhDiNnPHWkA81BrvjX5y:6tE+6GgJcawoOm8RBu/WeRo,384:OYMY9m3ADux8eGkmHxUMBXM351pEpopteptJWpbJfpjEp7epFJWptJWpnApSepaf:OdADux8eG1HeMBXM351miDeTJWFJfBEU,6144:GvIVzeu3Zksv8EnbMu+vSe0sl+N01obGhjWqD2ZYjEmc2W6zggvhM+fzAA:aIVb3NbMuYSC6T0SLejEd2/0whhsA,768:sIQCBLfP5BzWXSf+V5loMQz/cfxqHX4G/2OeQZa9vo:sjCBLn5BzBf+VfoMukqHX4G/2eZa9vo,384:h1no5/Hc8rashSS2n2OIro2Mm9tyOJug/P/uoO1z0:rno5/Hp/SS2n2Ps2Mm9wOqoe0,24576:cjTdX9i5tbBlF16vEBXSsIgT/8QMulrpwM/FRAVC1M6ZTRz:SR9GBMcpf3pMuldkYF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
