,acronym,title,projectUrl,foundProjectUrl1,foundProjectUrl2,foundProjectUrl3,foundProjectUrl4,foundProjectUrl5,foundProjectUrl6,foundProjectUrl7,foundProjectUrl8,foundProjectUrl9,foundProjectUrl10,projectUrlHash,foundProjectUrl1Hash,foundProjectUrl2Hash,foundProjectUrl3Hash,foundProjectUrl4Hash,foundProjectUrl5Hash,foundProjectUrl6Hash,foundProjectUrl7Hash,foundProjectUrl8Hash,foundProjectUrl9Hash,foundProjectUrl10Hash,MatchScore1,MatchScore2,MatchScore3,MatchScore4,MatchScore5,MatchScore6,MatchScore7,MatchScore8,MatchScore9,MatchScore10
0,FAMILIESANDSOCIETIES,Changing families and sustainable societies Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,http://soc.kuleuven.be/ceso/fapos/ongoingprojects/families-and-societies,http://www.sociology.ox.ac.uk/funding/the-changing-role-of-children-and-societal-implications-assisted-reproduction-late-fertility-and-childlessness.html,http://oeaw.ac.at/wic/index.php?id=141,http://socasis.ubbcluj.ro/cercetare/family_society/,http://su.avedas.com/converis/contract/5502,http://www.familiesandsocieties.eu/wp-content/uploads/2015/09/WP44Olah2015.pdf,https://www.linkedin.com/in/livia-sz-olah-71970849,http://www.su.se/english/research/leading-research-areas/new-research-project-examines-changes-in-family-formation-and-social-policies-across-europe-1.121991,http://europa.eu/epic/eu-activities/eu-funded-projects/demography-fertility/index_en.htm,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,768:caG9L0kxu07FQFjTiZ6hd3oJUeyT3NEDZsfdADWUQw:caG9L0kH7FQFXiY9OZEdADWUQw,768:S6TBq/g5Q0ulfuruOuUu4uCuQu2uQuMfu4ugu+uKuNu8uXumuJTPMpH5BurDhkGb:SEpH5Er+G+a,768:QC+puY8XCg+/SR97cZjaiw7AlaOGSfjW9MgE3lx:lwuYWM3/,192:I8CWKqlxxgOYGYXgedaKTknkDJJoO+52s7TfZzPyn13icDRjMHgvZ52F+3N3es3B:iOGXgqdwkDJv1+y1ipghdxUjJma7zY,768:jtfzeMODQDfkpypHpqpoXvEcUEP3IdB2acSiMmiiQvN5zPU:1zeMLkpypHpqpoX8cpP4dUacAZ5LU,49152:bJIA6soMKBMjQu1bk+b/fXWJfH3MLjIf7km256b:lIbM571bk2nsfXMQ7km9,,384:MuQry8nuYDECviVPlTU+u1/VVdRBN8IQx7n4W2ceDkpLTutBNiVPlTU+u1/VVE5l:MTMC6IRBN87r2cAs3utBEl5l,384:AiD8R5NqxcMobZfPBsnk7rf/vhEqMt3E+00uP80O9:jSqxcMWJsk7rf/tC5uDq,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1,HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de/,http://www.hleg.de/,http://www.hleg.de/tor.pdf,http://link.springer.com/article/10.1007/s00411-010-0284-2/fulltext.html,http://www.amazon.es/Level-Expert-Group-European-Research/dp/384332784X,http://www.researchgate.net/publication/274781733_The_European_initiative_on_low-dose_risk_research_from_the_HLEG_to_MELODI,http://www.researchgate.net/publication/240616141_Response_to_Draft_Report_of_the_High_Level_Expert_Group_on_European_Radiation_Risk_Research_of_8th_Sept_2008_On_behalf_of_The_Green_Party_of_England_and_Wales_Green_Audit_The_Low_Level_Radiation_Campaign_The_European_Committee_on_Radiation_Risk,http://rpd.oxfordjournals.org/lookup/doi/10.1093/rpd/ncv136,http://www.irsn.fr/EN/publications/thematic-radiation-protection/health-effects-of-low-doses/Pages/european-research.aspx,http://www.melodi-online.eu/doc/04_MELODI_workshop_Weiss_HLEG.pdf,http://www.risk-ir.eu/,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,768:KZkrc4T3+b/tPe6S6y1nGDeDhsQgdeXDCgY8+yVfBjM3WXooh+cL:KZk4k+ztNF2GDeD/9Vu32ookw,768:LZDhn9e5eeeZHeeesV0id+HsMIIVeaBzul5CjujkjPj62+1fdGkibHYxZrOVRUda:LZDhn9e5eeedeeesVX+ApCjujkjPj62P,3072:c7PMmstNIhc7yV+g4b3qxp7zQjU387rdKMUl/YnJZAMOcyqVSzdTmF:sMmstNILwg4b3qT7vs7xxy/YnJZAMOhC,1536:MFL7rNuyeeweNGGeX4ENx56Iur4E9CS3ZksqefMYAzcujnY5HLI2grALL1OwZox0:I6x56I2CS3ZWsoi,3072:PCIvWHCeVQsLVVVVVN1tS3v6uKDGNlhUcR4:PfWEsLVVVVVNviNlhbG,768:8sFvHUUeD34dyybj0qtbAl7fj1TlIxJXOr6TuL:tvUtD3cyyb5tAlTj1TlMCj,3072:7W3TaGmpSLyrrVjFymFF3pY/tjd3/P0HGjIu:7VHGjIu,49152:AsssybsjZ5XgMox16rx/AkYxWWN/UzI5CUWyl2ioYuMrhzr/7:uZAjZ5XKx1GZ7Z8MI5Vj2i1uMVr,192:uFXdjjQXFGxZ050D2IXjNKnP3JbqANUVZ+maiaKpQbA+/4K4AxVj1Z:+d4VGXPXBg5qANMba/KWbh/Hr51Z,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NOTOX,Predicting long term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu/,http://notox-sb.eu/,http://notox-sb.eu/project/,http://www.iphc.cnrs.fr/IMG/pdf/NOTOX_Brochure_web.pdf,http://www.seurat-1.eu/pages/cluster-projects/notox.php,http://eurice.eu/news/details/article/predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organo/,http://www.iphc.cnrs.fr/NOTOX-project.html,http://www.uni-saarland.de/fak8/heinzle/de/notox/notox.html,http://www.biopredic.com/index.php?rub=research_projects,http://eurice.eu/projects/life-sciences/notox/,http://euservice.info/projects/life-sciences/notox/,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+VUkNtwaOcmrUGoaDpjgawd6MHws5g76fO96TGT1I1clckJ0tQWWav0:nhaDpEXd6MQSGnI1cll8fT0,,384:NgQ1nr1JRywrH3lHCXj72iol4/eb61F3RAhAPAF+rWVVVlV1VwqVoLeID2XIv73m:6m1JRywrUbjUh2WYnLH7Sr/82EQ,192:0ws8GFg0paMArVnuUScxCGToDm2xmDQzdS:0wsPq0w7RuncxODm2xmUzdS,,48:ImE5p388J1InfwGcK+c9EU8p+cwVhabvsatfRrlz:O88J1InfwFK+2FhQvFfRrlz,1536:Oe19S65lxgng4z7XUdqQDO7cROIldTJn1HG:Oe19SYscDO7QFdI,192:0wsfGFg0paMv4UL0CkI1YjhBwTZoHZs9IJK5byXDUDr94fDQzdS:0ws+q0weL0o2Nz69Is5bdcUzdS,192:Hs7UU+YLDD0paRhn4B0CkI1YjhBwTZ1Zs9IJKWbyXDXm482hzHS:M7UYH0wRC0o2Na69IsWbEhzHS,100.0,41.0,,0.0,0.0,,0.0,0.0,0.0,0.0
3,HEAR-EU,High resolution image based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu/,http://ec.europa.eu/research/health/medical-research/severe-chronic-diseases/projects/hear-eu_en.html,http://www.hear-eu.eu/media_heareu/HEAR-EU%20leaflet_v1_III.pdf,http://www.hear-eu.eu/,http://hear-eu.org/index.php/news/events,http://ec.europa.eu/research/health/medical-research/severe-chronic-diseases/l_coor_en.htm,https://www.linkedin.com/pub/nerea-mangado/40/888/a94,https://www.linkedin.com/in/marioceresa,https://it.linkedin.com/in/maurizio-bordone-4421a431,https://it.linkedin.com/in/sergio-vera-765a4826,https://es.linkedin.com/in/nerea-mangado-a9488840?trk=pub-pbmap,192:6d2NcBBoQOaoiPub/Er27o+b7sPnc+Hzjkw1DKhUat6JewckLmtBgvvw2:6dcaoiPub/ES7oQstTjlZKh3t6kwdLma,192:Kv8fyYEhHfuYJYwOxQIoZQzCP+TfDVSg7VkXPYcJHzjBwhVgBDp+D:KEfyYYHfuYJYdxQIAQzCPcfDVSg74DT0,12288:BrWUn46Z54zvjhW2p46ZAhHsfrEcvKp9c3jIQh7EH6bIIIZi2V8u5XpkZUc5:BrJn46z4zvVWb6ZAhHsMpyX7EabIIIZE,192:6d2NcBBoQOaoiPub/Er27o+t7sPnc+Hzjkw1DKhUat6JewckLmtBgvPw2:6dcaoiPub/ES7oustTjlZKh3t6kwdLmS,384:KdQaoiPubhS7oEkB/5krIGnrkBqn51dUFEDHkBc59T3lpEI2xkB95L/b7OERTkBK:HaoiPnq5EnHn5zP5t2k5rb7f55ESUQX/,384:rXfyYY6EutJtp7QIAlzUPrFsfYa7mqr1DHoOppOck9D:DfyYY6EutJtp41UPwtmT3cID,,,,,,0.0,0.0,97.0,0.0,0.0,,,,,
4,GAMMA,Global ATM security management,http://www.gamma-project.eu/,http://www.gamma-project.eu/,http://www.researchgate.net/publication/259903016_Global_Atm_Security_Management_%28GAMMA%29,http://www.eurocontrol.int/articles/atm-security,http://www.finmeccanica.com/en/-/gamma-atm-security,http://www.finmeccanica.co.uk/-/gamma-atm-security,https://www.deepdyve.com/lp/institute-of-electrical-and-electronics-engineers/gamma-filling-the-security-management-void-of-sesar-and-nextgen-sp5JOQnaNn,http://www.atc-network.com/atc-news/gamma-consortium-defining-the-future-of-atm-security,http://www.42solutions.nl/gamma-consortium-on-global-atm-security-management-joined-by-42-solutions/,http://www.42solutions.nl/tag/gamma/,http://www.edge-tech.pt/noticias/edge-cresce-internacional.html,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,1536:Vh7rzeVYpcIS3b4U3X34/OcjZr9iUH9sFRPfoxxhZ:vUIS3b8Oor,768:wkt4JGghlJMxwWbc/8K2z3AmKbWOmQiDwe:wkt4JGghl+xwmY8K2jAgBL,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgcNy:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQQ,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgcNl:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQT,1536:4LcxmKqJ80Xcheee/foe/OqSVkFXeRsN3epmXRFYvebtW8Yi+nivkyJMZEsH3f:4+H6BYsN7rY8gyJMT,768:5/93aACuURUAU14rpmn+Sk4zfi4c3kx8wPp+So9:5/93aA2Qnn+Sk4ri4c3kx8wPp+So9,768:W9F0wIa8X2R/Y3lv7hsmsChdzWXsxQxasxSH7DxlxaYxKx4x9w20xRLgv0:WYnr2R/6v1smsChdzWXsxQx3xSDxlxDG,768:2FF0wya8X2R/alsSoVLSqi3ejEH7DxlxaYxKx4x9w2tRLgv0:2gBr2R/WsdV+N08DxlxDxKx4xVRLgv0,96:SR4teBuHC1OLLUFqWPjEXy8AgEzus7pBD40uF/0yvgGYm7e4jF7Fs:SR+Ku+BgEDBDC/0yvgGqIxe,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://ncp-space.net/,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/zusammenarbeit/weltraum/cosmos/,http://www.helmholtz.de/en/helmholtz_centres_networks/eu_projects/cooperation/space/,"http://www.rtu.lv/component/option,com_docman/task,doc_view/gid,8400/lang,lv/",http://www.2020-horizon.com/CENTRO-PARA-EL-DESARROLLO-TECNOLOGICO-INDUSTRIAL-p1257g1.html,http://www.2020-horizon.com/SPACE-AND-SOLAR-TERRESTRIAL-RESEARCH-INSTITUTE-p3962g1.html,http://www.ims.rtu.lv/en/?page=projects,https://www.linkedin.com/in/elena-giglio-2b440730,http://www.ims.rtu.lv/?page=projekti,http://www.esastap.org.za/download/addinfo02_ws_saeu_space_2013.pdf,http://www.researchranking.org/index.php?action=partner&p=dBeb,384:/hOGjKlqytBVGQnVv26zEPkDF9W+lmKSCQr9yvn4QMsCrq:kGWkytBVGmVBEAF9YL9k4QMsCrq,768:34VdrQ822weQhhX2NPEhg66k1cmDwXodLxDRLW+:kAHhX2NPEy66k1cmDwXodLxDRLW+,,6144:KekPS0VeDvrGMUVKTSa/vwEjJ3lzKEnxM0nNATSXmchmdkEI:Kek9Vej9UVHkYEGc6TjyIkEI,384:fnvYRkFv9YeyVjR7MKfJmELGeyVXdXKyy:fgmFv9YeyVjRfmELGeyVNG,192:SIhBnvYRlOGe83bAHQXcKvv3gJM59N/cZkS0HoMXZEy0Iw:SIhBnvYRMl6VMK33gJM5PTSTMXKyy,384:tVCK4SyOBAFT5Ia66dDPRxle7cl+M2VGYOS9NK2el:G8gT51lPRG1M2VGYnK,,384:tanv/wifU7bT5IN3rl5pyle7cl+O2V/YOFI0OiA:IwBT5Mx5pd1O2V/U0OiA,98304:QPD04PaWdPhGIoeHJx2xDPS9rmrqsHCQtYZQzhh/r7z20:8haeGQJx8e9rmrqsiJW3a0,768:9AakvB5f0t7CM/rmAFxs1gmRWm8qyULh26JA1Oi:Ivbf0JCMSys1HXS1Oi,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
6,HYPOLED,High performance OLED microdisplays for mobile multimedia HMD and micro projection applications,http://www.hypoled.org/,http://www.hypoled.org/,http://www.hypoled.org/Documents/HYPOLED_100604.pdf,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/abstract,http://www.2020-horizon.com/HYPOLED-High-performance-OLED-microdisplays-for-mobile-multimedia-HMD-and-micro-projection-applications(HYPOLED)-s14337.html,http://www.researchgate.net/publication/45174928_HYPOLED_-_VGA_OLED_micro-display_for_HMD_and_micro-projection,http://www.researchgate.net/publication/45152810_HYPOLED_-_high-performance_OLED_microdisplays_for_mobile_multimedia_HMD_and_projection_applications,http://www.oled-info.com/files/hypoled-e.pdf,http://www.comedd.fraunhofer.de/en/applications/sensors.html,http://www.comedd.fraunhofer.de/content/dam/comedd/common/products/COMEDD/hypoled-e.pdf,http://publica.fraunhofer.de/dokumente/N-135599.html,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,49152:LMa62Qy0rnsi9zpZbGdefhYnxkX8aY8zX7nsl7:Qa6Sknsi9tZbYa8aFrn2,384:0W2E96gxvQdU3ZiKqEDieAfGRLtVvWF/TAq6OKYDKlCGh3FJgsIxkIfOEIYqIm5s:0W2E96gxMULhQAq6OKLlrhFJ3YGm,96:xlKLBkF1MWSRw6bYGpzDzSZmkedbLl+2A+bB5hzXuKEy5ZokksLoRtcfH+:nDYRlpGZillvA+bB/XZEy0Ie,3072:n83I39AecN+azPIO8WDTL0Rx3HSW9w8t/Eri6S3VFoXQR692oRQC3h5UBGdcGqGC:n83I39AePlWDOw8t/Er6FbKRQC3h5Uq6,1536:Kca7rGrejll4TUbhq9G6S3NVggaX0HUmUeT/8lzI8WY9M5Qm6xRcdOoxxhX:O/D6S3NPtEzCYHot,6144:pz9BlA/9vQNVLQUwS+w9uiEfbVvfsXyli0S398+oEI/Ij56rV8Xopz49Cg/W7HIq:p4oVLQq7E6XS056ZaopEYo1g,768:VW/kuGuAtMg5SlcDPX8vRKP63v3DdPJViQ:VW/ih5SlcDPX8vRKPcVJViQ,24576:/g/GPTfo1s/lCCAsGsfGT1KQSL4gBXWeNyC5E3+1MbTW:7TUs/lCkFlQWXBVICymMO,96:sp2HB5fzQINxfVAG6/0VdDj+do/4MnSnqjivihiKiAiiiPmie2VOMX5NW0icNyTT:spqXALtdD3jD32fiZl6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/index.htm,https://www.hipeac.net/network/projects/4682/genesys/,http://www.genesys-platform.eu/WelcomeIntroduction.pdf,http://www.unibo.it/it/@@multilingual-selector/d645ec2d3da543c4a01a07f7dc354117/en,https://ti.tuwien.ac.at/cps/research/projects/genesys,http://first.aster.it/_aster_/viewNews?ID=17281,http://msdl.cs.mcgill.ca/people/mosterman/workshops/date09/05_06a.pdf,http://webhost.laas.fr/TSF/IFIPWG/Workshops&Meetings/54/workshop/10.Kopetz.pdf,http://www.researchgate.net/publication/220714398_A_Comparison_of_NoTA_and_GENESYS,http://www.researchgate.net/publication/228866788_A_Comparison_of_NoTA_and_GENESYS,,,384:89RDLE94AYDX1w5vN+SCqCgvLxsOLNxxuhjpf:89q94zr1QF+SCqCgV4hjB,,768:CSQR0BxNdfbCEHCuzYJJuZHXa6r2zFVt4B84YBOFyc6Z0OrKEKT:lvNdfbCUCuzYJJUHXa6r2zFMeBOFyc6o,768:S3gVAi17poBmG5cHYJDAyyno7eVFukABCJ2BTvkDvz1p/VUbn/FQppp0STxQnk1z:5VA+7pQmG5cHYJDAyyno7eVFukABCJ2q,768:G6pwHPoKYxtTY37+Vcyj1zLva73P1dqY0+t9:G6pwHPofnTYiVcyla7dcY0+j,192:GsgHTLqqYQg0xahZvIqj9pSJHFE6mjSh4G4Ikh7:GtHTeqOIqj9gJljmjSh4GWB,3072:3bAF9twYRPoJmpGHPDdbAyG5nkOYARt6af7ZSgwC:3bAiYRPonvFAy7ARt6afdSvC,1536:/67rI7hG8GuRx8b089P3CeI3SOKdNGS38oROtSkVqxksN7QpZaaJSik+Vsip+rSb:887gQW4FKDGS38SNG0sV3,1536:fhs7rOXhkux8H0cJY/CeIhSOKdGS38ERaKsfaP9m7SwDiP2Svfk+Vsip+rGESn0+:fQaXZWZ3KdGS3JqJpbxMR3,,,,,,,,,,
8,FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/,http://www.foodmanufuture.eu/,http://www.foodmanufuture.eu/dmedia?f=LGhj,http://www.2020-horizon.com/FOODMANUFUTURE-Conceptual-Design-of-a-Food-Manufacturing-Research-Infrastructure-to-boost-up-innovation-in-Food-Industry(FOODMANUFUTURE)-s1.html,http://www.manufuture.org/manufacturing/wp-content/uploads/Flyer_FoodManufuture-final-event.pdf,http://www.foodclusterinitiative.eu/uploads/files/conceptual-design-report-full-text.pdf,https://ec.europa.eu/research/conferences/2015/expo2015/pdf/presentations/eurodish_foodmanufuture_dr_lilia_ahrne.pdf,http://www.foodclusterinitiative.eu/uploads/files/executive-summary-final-report.pdf,http://www.vifu.net/media/1129/flyer-foma-final-event-2-final.pdf,http://etp.fooddrinkeurope.eu/asp/etp_uptodate/l1.asp?doc_id=726,http://progettiue.enea.it/dett_pdf.asp?id=779,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekW5IN4m:TFcZV5e55Dm,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekTf5CVm:TFcZV5eM5Cm,24576:suYbJ8zh2ku8UD48Z1WvY5bQiny2tcl1NqZI0Wmu:Fl1bpUEfQ5kinN+NgI0Wmu,192:vDYRlpGTmulmJN8t2y7WMOmcsGyahsYdXZEy0Ie:vDYRnMmnLs2y7WMOHsTedXKyo,12288:p5jN0ByKlocR1uhXRYBJ0Od+FJ1z3Inrs:z1CocRqiJ0Y4nDInrs,49152:cERW2vXjJdKG+NLZucohFsg3tXpa5De46Ge2mbFt0WFm+KDpQxdHGjq:cLmJUtNLEHb31pW6z9bFt0KmdDpQxdHL,49152:GBBBLLbsUL+52okE/LGMKmdNFYv2mGEELJGqjL6WU0:GR3NL+5/kmdN88GeLn,49152:AUFE19HVv2RKEAGS7kYXAvPN1iLByVIu23GCWM:A4YJgA/kYXAXO11V2i,12288:MAU6R66TrEjWi80nKmVgM1iBKHUHOwrziSYQwf2NniUtoFo42l:ML6Tw78LmVgM1sUwrdYQM295toUl,,768:6FynKp20gfuxPHi0AOl0Qgg5f/PnPFmnwX1GNUWnRHe1/fceHwxfOt:OyMDxPHi0AOl0Qgg52wX1WnR83/Qx2t,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
9,HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,https://www.wageningenur.nl/en/show/HighTech-Europe-European-network-for-integrating-novel-technologies-for-food-processing.htm,http://www.euussciencetechnology.eu/content/european-network-integrating-novel-technologies-food-processing-hightech-europe,http://www.biw.kuleuven.be/m2s/clmt/lmt/research/projects/current/hightech-europe,http://www.eu-projekte.bremen.de/sixcms/detail.php?gsid=bremen100.c.8627.de&asl=bremen100.c.2287.de,http://www.hightecheurope.eu/fileadmin/redakteur/downloads/HTE_Guidelines_2012.pdf,http://www.hightecheurope.eu/uploads/media/2011-05-03_08-35-28_D4_17_Booth_at_IndagraFood_Bucharest_2010.pdf,http://flandersfood.indiegroup.be/upload/agenda/1192/Guidelines.pdf,http://www.agropolis.org/project-management/afresh.php/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,http://www.flandersfood.com/sites/default/files/HTE_AMP_Flyer.pdf,768:xZcxJQFEsuncMsLybUCwgnsu13LwUbBfWB71Kq1:xeQesucxLmlhsu13LwoBfW/J1,384:6uVzqiIQP3YIIrBtBptORGc91Fkc9yxWzNZvK52c:6uV/IQP3FMpUJrFkGyxWzN02c,384:B47hLgwb253tY74928pijrvbzA9M41gp9DYN:oBDb2538492+ij141gbi,384:wQahML9vCDtbTPsoQRNltPjH+FBnBFhNqYZUl3dFrKy7V4sLQ:wQahML9vCDtbTPsoQRNltrH+FBn3lSKt,768:oaG9LqIk/u0xbQFjT+ZoxAjWUBET9Fbms/KZh9EKWUQw:oaG9LLkhtQFXiB09F8Zh9EKWUQw,384:OYMY9m3ADux8eGkmHxUMBXM351pEpopteptJWpbJfpjEp7epFJWptJWpnApSepaf:OdADux8eG1HeMBXM351miDeTJWFJfBEU,6144:GvIVzeu3Zksv8EnbMu+vSe0sl+N01obGhjWqD2ZYjEmc2W6zggvhM+fzAA:aIVb3NbMuYSC6T0SLejEd2/0whhsA,98304:rMibegK9EDjc/eoI623aUor3lD9HjpUoCtzz/izIE9z9:vb5K9CjcGoVZ3h9HjpUosDKIg,3072:z7mMHVPbudK1GHFicQJDZMIQiJo6Ge1WhYkiZLY6N6xYIqG:z7mMHVPbOKYFi/JDuIQiJvYQ6xYIqG,768:ZLg/IQP3ekUQfP2fpa+UumoQdKccgGXb+5wXg5FD1q3EZ:5gwQP3OQygW+2bGww511q3EZ,24576:cjTdX9i5tbBlF16vEBXSsIgT/8QMulrpwM/FRAVC1M6ZTRz:SR9GBMcpf3pMuldkYF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
