,acronym,title,projectUrl,foundProjectUrl1,foundProjectUrl2,foundProjectUrl3,foundProjectUrl4,foundProjectUrl5,foundProjectUrl6,foundProjectUrl7,foundProjectUrl8,foundProjectUrl9,foundProjectUrl10,projectUrlHash,foundProjectUrl1Hash,foundProjectUrl2Hash,foundProjectUrl3Hash,foundProjectUrl4Hash,foundProjectUrl5Hash,foundProjectUrl6Hash,foundProjectUrl7Hash,foundProjectUrl8Hash,foundProjectUrl9Hash,foundProjectUrl10Hash,MatchScore1,MatchScore2,MatchScore3,MatchScore4,MatchScore5,MatchScore6,MatchScore7,MatchScore8,MatchScore9,MatchScore10
0,FAMILIESANDSOCIETIES,Changing families and sustainable societies Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,http://cordis.europa.eu/project/rcn/106717_en.html,http://www.age-platform.eu/images/stories/EN/FamiliesAndSocieties_PressRelease_formalVersion.pdf,http://oeaw.ac.at/wic/index.php?id=141,http://soc.kuleuven.be/web/staticpage/6/30/eng/904,http://socasis.ubbcluj.ro/cercetare/family_society/,http://familiesandsocieties.univie.ac.at/consortium-familiesandsocieties/,http://www.familiesandsocieties.eu/wp-content/uploads/2014/12/WP7ThevenonNeyer2014.pdf,http://su.avedas.com/converis/contract/5502,http://www.podepro.prd.uth.gr/useful_info/jobs/Docs/DemoBalk_Jobs_Doc_00014.pdf,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdcT6Vq:Iuiu7nGUmqX1Fr0SelX6b,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdcT6Vq:Iuiu7nGUmqX1Fr0SelX6b,768:9dG1i6dTRq70GF7Z7/4n7+tdBORGth+F7R:W1i6dTg0sFG0dcRGtkRR,3072:n3zz/0QokynwuB0B6WNu6JRUYHmxI3XHjSFGi/dBtuNwiIv1TqoVcklPric3s/ws:n3zzsQHAFB0B6Bgm6wESFGiF3zFRrica,768:QC+p+YeXCg+/SR97cZjaiw7AlaOGSfjW9MgE3lZ:lw+YAM3D,384:SJjBrRLN8L/9vurK/qVIpvkbNhkh6t3J8Poo8Z4BdCY2e3nGF:S1BrRLN8L/9vIVIpGZKCFoGF,192:I8CWKqlxxgOYGYXgedaKTknkDJJoO+52s7TfZzPyn13icDRjMHgvZ52F+3N3es3B:iOGXgqdwkDJv1+y1ipghdxUjJma7zY,192:12KTNFpqGuM/aeA0yGV404wC4Bg4Pg43E1qxfyWfDLSczeP4:12UNFpqG1SeBvvXKqxfyWfDWczeP4,49152:LU99YidQ+IRxOeEC4SlfVDVdCy3sKrrjkNKil:LUouQvR0lCVDVwyRXmKC,768:UtfzeMRDQDfHp9papVpnOvEcUEP3XdB7ScOXMn9lQvNmzPU:UzeMsHp9papVpnO8cpPHdVSc5GmLU,6144:I0gLNbtZHh7WoqyV0fm8SBwkSZYtOIyLfVBdOdC4yYupr7zdg1:I0g/qDfm8EYYIPn6PpH1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de/,http://ec.europa.eu/research/energy/pdf/hleg_report_-_january_2009.pdf,http://www.hleg.de/tor.pdf,http://www.hleg.de/fr.pdf,http://www.2020-horizon.com/HLEG-High-level-expert-group-on-European-low-dose-risk-research(HLEG)-s13385.html,http://link.springer.com/article/10.1007/s00411-010-0284-2/fulltext.html,http://www.amazon.es/Level-Expert-Group-European-Research/dp/384332784X,http://rpd.oxfordjournals.org/content/166/1-4/178.short?rss=1,http://www.researchgate.net/publication/274781733_The_European_initiative_on_low-dose_risk_research_from_the_HLEG_to_MELODI,http://www.melodi-online.eu/doc/04_MELODI_workshop_Weiss_HLEG.pdf,http://www.risk-ir.eu/,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,49152:iidjFi/4LidZFi/4gG8IgjTskVS0LCdnqHZqh7kWQ3rb3z1D9ACHv9hF19:JZOB/gE0tLCZq5CE3/3zAAfF3,768:KZkrc4T3+b/tPe6S6y1nGDeDhsQgdeXDCgY8+yVfBjM3WXooh+cL:KZk4k+ztNF2GDeD/9Vu32ookw,12288:7d/shBDeDlp/LHdq1B4mMhxbotAvMWKIW9qnzUZKTWvDwf:7d0C/L9YBRMhye4IW9BZKabwf,96:xwKLBkF1MWSRw6bYGpzDzSamksndXybLnKHx51ifSQeazXuKEy5ZokksLoRtcfH+:CDYRlpGaYnAbwGfSOXZEy0Ie,768:LZFh19e5eeeZHeeesV0iH+HsMIIVeaBzuL5CjujkjPj62+1fdckibHYxZrOVR8de:LZFh19e5eeedeeesVt+A7CjujkjPj62l,6144:esMmstNIc7ZeO1HBDfMbBhf/ynJZAM8h5B5:bMmstNIc7y/+Q9,768:8scvHzYeD34dyybWdqtNAl7fj1TlIdJXOr6TuL:UvzBD3cyybfvAlTj1TlgCj,1536:MFL7rNuyeeweNGGeX4ENx56Iur4E9CS3ZksqefMYAzcujnY5HLI2grALL1OwZox0:I6x56I2CS3ZWsoi,49152:AsssybsjZ5XgMox16rx/AkYxWWN/UzI5CUWyl2ioYuMrhzr/7:uZAjZ5XKx1GZ7Z8MI5Vj2i1uMVr,192:uFXdjjQXFGxZ050D2IXjNKnP3JbqANUVZ+maiaKpQbA+/4KAAxVj1Z:+d4VGXPXBg5qANMba/KWbh/Hz51Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NOTOX,Predicting long term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu/,http://notox-sb.eu/,http://notox-sb.eu/project/,http://cordis.europa.eu/project/rcn/97714_en.html,http://www.iphc.cnrs.fr/IMG/pdf/NOTOX_Brochure_web.pdf,http://cordis.europa.eu/result/rcn/54302_en.html,http://eurice.eu/news/details/article/predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organo/,http://www.uni-saarland.de/fak8/heinzle/de/notox/notox.html,http://www.iphc.cnrs.fr/NOTOX-project.html,http://www.seurat-1.eu/pages/cluster-projects/notox.php,http://www.2020-horizon.com/NOTOX-Predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organotypic-cultures(NOTOX)-s182.html,96:YS63+dkNtwaOgyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:CaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+dkNtwaOgyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:CaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+VUkNtwaOcmrUGoaDpjgawd6MHws5g76fO96TGT1I1clckJ0tQWWav0:nhaDpEXd6MQSGnI1cll8fT0,,,768:9dZ1i6dVRq70GF7+7/4n7w7u5k52Hqp1jbqxdLXtc7R:p1i6dVg0s+Gw7Sk52S1jGxdLX+R,192:0ws8GFg0paMArVnuUScxCGToDm2xmDQzdS:0wsPq0w7RuncxODm2xmUzdS,48:ImE5p388J1InfwGcK+c9EU8p+cwVhabvsatfRrlz:O88J1InfwFK+2FhQvFfRrlz,,384:N4Q1rr1JRywrH3lHCXj72iol4/eb61F3RAhAPAF+rWVVVlV1VwqVoLeID2XIv73p:au1JRywrUbjth2WYnLH7Sr/82EQ,192:QCQCZCjDYRlpG3CJltvSI1cKlCXfTmqM//yXZEy0Ie:Q/EYDYRnUyltLHCa36XKyo,100.0,43.0,,,0.0,0.0,0.0,,0.0,0.0
3,HEAR-EU,High resolution image based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu/,http://cordis.europa.eu/project/rcn/104083_en.html,http://www.hear-eu.eu/,http://ec.europa.eu/research/health/medical-research/severe-chronic-diseases/projects/hear-eu_en.html,http://www.hear-eu.eu/index.php/component/users/?view=reset,http://hear-eu.org/media_heareu/Leaflet_Hear-eu_v5.pdf,http://cordis.europa.eu/news/rcn/124222_en.html,http://www.scanco.ch/en/news/news/artikel/scanco-partners-in-large-eu-project-on-hearing-restoration.html?no_cache=1&cHash=2229ea0d9c8886ef3202b398362b18b6,https://www.linkedin.com/pub/nerea-mangado/40/888/a94,http://ec.europa.eu/research/health/medical-research/severe-chronic-diseases/l_coor_en.htm,https://www.linkedin.com/in/marioceresa,192:6d2NcBBoQOaoiPub/Er27o+37sPnc+Hzjkw1DKhUat6JewckLmtBgvlw2:6dcaoiPub/ES7owstTjlZKh3t6kwdLmw,768:9dH91i6d7QRq70GF73W7/4n7mN/vpQIpI/cq+PnywrW77R:391i6d7Qg0s32GmpvpQII/0TMR,192:6d2NcBBoQOaoiPub/Er27o+t7sPnc+Hzjkw1DKhUat6JewckLmtBgvFw2:6dcaoiPub/ES7oustTjlZKh3t6kwdLmY,192:Kv8fyYEhHfuYJYwOxQIoZQzCP+TfDVSg7VkXPYcJHzjBwhVgBDp+D:KEfyYYHfuYJYdxQIAQzCPcfDVSg74DT0,192:2od02BHa/A895cBBoQOaoiPubFPr27o+vcEo/E7M9x+hatlQJewckLmtBgvjw2:XdXzYaoiPubFPS7oBNOM9x+otekwdLmW,24576:yfGVvLOregtLzhf4T5kUQyCjej9xwmYx6YfN0RwEgdOPRdy5Zp:yf69gtLzhf4GvmYXWdpPe5Zp,384:9dV1i6d3KRq7fBgOYdkF7kCFrOu76R2V4X282O292e2pktOF7GZLtOn51xwgFvSo:9dV1i6daRq70GF7h17L4L7b5fw6vSotD,768:H2F7t2sypbNEiCgCa0oRaGquU1bEBYyZyICWqGt1kLT3LHq/QXjfx3:WFB2tpxEiCgCa0oRaGquU1bEBYyZyICr,,384:rXfyYY6EutJtp7QIAlzUPrFsfYa7mqr1DHoOppOck9D:DfyYY6EutJtp41UPwtmT3cID,,0.0,97.0,0.0,63.0,0.0,0.0,0.0,,0.0,
4,GAMMA,Global ATM security management,http://www.gamma-project.eu/,http://www.gamma-project.eu/,https://www.linkedin.com/groups/GAMMA-Global-ATM-Security-Management-6510314/about,http://cordis.europa.eu/project/rcn/110049_en.html,http://www.researchgate.net/publication/259903016_Global_Atm_Security_Management_%28GAMMA%29,http://www.eurocontrol.int/articles/atm-security,http://www.finmeccanica.co.uk/-/gamma-atm-security,http://www.selex-es.com/en/-/gamma-atm-security,https://www.deepdyve.com/lp/institute-of-electrical-and-electronics-engineers/gamma-filling-the-security-management-void-of-sesar-and-nextgen-sp5JOQnaNn,http://www.42solutions.nl/gamma-defining-the-future-of-atm-security/,http://www.airtrafficmanagement.net/2013/10/gamma-launches-european-security-bid/,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:wZRj4nvYJyl82ZxvC5G922FL+X6xZHhlZ54ZQxVsA5WZvOE+fUc3vAnEtmZcjkaY:wZRj4nvYJyl82ZxvCs9VSXsZHhlZ54Zn,768:9dY1i6d2Rq70GF7B7/4n7RfXq8cmB69nlgI8L6U/WXmauqkBFw04B9BXM7R:I1i6d2g0sNG53dZ/vR,1536:Vh7rzeVYpcIS3b4U3X34/OcjZr9iUH9sFRPfoxxhZ:vUIS3b8Oor,768:wkt4JGghlJMxwWGc/8K2z3AmKbWOmQiDwdF:wkt4JGghl+xwPY8K2jAgBYF,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgccQ:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQl,,1536:4Lcx+KqJ80Xcheee/foe/OqSVkFXeRsN3epmXRFYvebtW8Yi+nivkzJMZysH3f:4+H6BYsN7rY8gzJMZ,768:mNF0wDFa8X2R/LlPCyn5c/5t/TcHSOxQxasxSH7zx3xaMxKx4x9w20xRLgv0:mI0r2R/BPC+c/5t/TcHSOxQx3xSzx3xy,1536:btkK3v0yUkOH87/Fgp+qagg8R+I5blzLoxAQy:a+UExAQy,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
5,COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://ncp-space.net/,http://cordis.europa.eu/project/rcn/102063_en.html,https://edukad.etag.ee/project/3259,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/zusammenarbeit/weltraum/cosmos/,http://ims.rtu.lv/doc/Projects/COSMOS+.pdf,http://www.fp7-space.eu/,http://www.fp7-space.eu/about-cosmos.phtm,http://ncp-space.net/archive-of-pages/about-cosmos/about-us/,http://ec.europa.eu/growth/sectors/space/research/fp7/index_en.htm,"http://www.rtu.lv/component/option,com_docman/task,doc_view/gid,8400/lang,lv/",https://it.linkedin.com/in/elena-giglio-2b440730,384:/hOGjKlqytBVGQnbd26zEPkiTIC0MK5KSCQJyvn4QMsCrq:kGWkytBVGmbjEnchpk4QMsCrq,768:9dV1i6dYRq70GF7u7/4n7CSL2ugKUeGpkZ/evKAtiO5GndvtDe5t1YOH7R:l1i6dYg0suGCo0pbR,384:2qRckUZ5MKw27Hdl07orQ9769zn3KiVlrcMc7oud/cklZLnu+Ku1t:/aK2q6BeM+K+t,768:Y4VdrQ822weQshX2NPEhlhtaztIt7tNtDwXodLxDRLW+:1AyhX2NPEPzapQBvDwXodLxDRLW+,6144:hCnP5Yks8NUpJpNif7bo5ft2mJXYh/CfRcxsZmBJ8nFd1k57H45UCjCi/n:UnP59s8+pJpNEyftF4CZcxsZmEnFdm5K,384:VfCRy6YGJDKgcdpNScdpLlcdpucdXcdQUcdecdecd/3vegZvJeRS23PtoPzo:VfCRHodpNJdpLSdpldMdQ7dVdVd/Xbo,192:VfCz1ySDiFnQb+KPpqZvJ6IFwrLVpA23PtT0Pzo:VfCRySYG+KPgZvJeRS23PtoPzo,384:vJOGjKlqytBVqrQ8uk26zdPVNQKi1N7rkjiBPKTKDKXfeHy+vfJyon4QHs9:sGWkytBVUluAdtN01N7rkjiBbz4QHs9,1536:4HxbYzFMhjJ/t2MiOdlvm8NerpQg8Dfy4QdfEd:4HxcINl2MiOd5arD8r1,6144:KekPS0VeDvrGMUVKTSa/vwEjJ3lzKEnxM0nNATSXmchmdkEI:Kek9Vej9UVHkYEGc6TjyIkEI,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,
6,HYPOLED,High performance OLED microdisplays for mobile multimedia HMD and micro projection applications,http://www.hypoled.org/,http://www.hypoled.org/,http://www.hypoled.org/Documents/HYPOLED_100604.pdf,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/abstract,http://www.2020-horizon.com/HYPOLED-High-performance-OLED-microdisplays-for-mobile-multimedia-HMD-and-micro-projection-applications(HYPOLED)-s14337.html,http://cordis.europa.eu/fetch?CALLER=PROJ_ICT&ACTION=D&RCN=85575,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/citedby,http://www.readcube.com/articles/10.1889%2F1.3500394,http://www.oled-info.com/files/hypoled-e.pdf,http://www.researchgate.net/publication/45174928_HYPOLED_-_VGA_OLED_micro-display_for_HMD_and_micro-projection,http://www.oled-info.com/hypoled-project,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,49152:LMa62Qy0rnsi9zpZbGdefhYnxkX8aY8zX7nsl7:Qa6Sknsi9tZbYa8aFrn2,384:0W2E96FxvQduNuV0yDREdU3Zik0IieAfGRLreCOFAq6OKYDKlCGh3FJgsIxkIfOM:0W2E96FxqWJ3U9h0Aq6OKLlrhFJ3YGm,96:xlKLBkF1MWSRw6bYGpzDzSZmkedbLl+2A+bB5hzXuKEy5ZokksLoRtcfH+:nDYRlpGZillvA+bB/XZEy0Ie,384:9di1i6d4Rq7fBgOYdkF7ksfOu76R2t4X2Q2O292e2pktOF7GZLtOJp7t9bW4rjBU:9di1i6d4Rq70GF757/4n7X3rg/7R,384:GE96nxvQnuNuV0yDREdU3ZikBLiYAJGRLrYEH5oE3OAq6OKYDKlCGz3MA7HPUas8:GE96nxmWJ3U1JUAq6OKLlrrMoHPU5YGm,768:cgCFlV4daLV4bjZkYTApU/GY1QNmYYlsXP:/CaaqbjZkYTApU/GqQUrsXP,6144:pz9BlA/9vQNVLQUwS+w9uiEfbVvfsXyli0S398+oEI/Ij56rV8Xopz49Cg/W7HIq:p4oVLQq7E6XS056ZaopEYo1g,3072:n83I39AecN+azPIO8WDTL0Rx3HSW9w8t/Eri6S3VFoXQR692oRQC3h5UBGdcGqGC:n83I39AePlWDOw8t/Er6FbKRQC3h5Uq6,384:YVB3dyeEfQf3IHsw16IhMur0aj3fA2PMgr44FJacLlxLbUslW3xM0/7s76d7HQZ7:x4fIHBQphj2krVLeJp0zijES,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/summary.htm,http://cordis.europa.eu/project/rcn/85392_en.html,https://www.hipeac.net/network/projects/4682/genesys/,http://www.unibo.it/it/@@multilingual-selector/d645ec2d3da543c4a01a07f7dc354117/en,http://ti.tuwien.ac.at/cps/research/projects/genesys,http://msdl.cs.mcgill.ca/people/mosterman/workshops/date09/05_06a.pdf,http://webhost.laas.fr/TSF/IFIPWG/Workshops&Meetings/54/workshop/10.Kopetz.pdf,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5783398,http://www.researchgate.net/profile/Neeraj_Suri/publication/221147303_INDEXYS_a_Logical_Step_beyond_GENESYS/links/0deec533d39629ca6e000000.pdf,,,,768:9dZ1i6dARq70GF7e7/4n7Ce0CK08NPwT7R:p1i6dAg0seGCZKiPwR,384:89RDLE94AYDX1w5vN+SCqCgvLxsOLNxxuhjpf:89q94zr1QF+SCqCgV4hjB,768:ySQR0BxNdfbCEHCuzYJJuZHXa6r2zFVt4B84YBOFyc6Z0OrKEKT:VvNdfbCUCuzYJJUHXa6r2zFMeBOFyc6o,768:zNgVAi1C9lBvGccGYwDL/rnT0LVK1knefJReCqkYIg18+VXInYFfIpMBvY+NnNuX:uVA+C9PvGccGYwDL/rnT0LVK1knefJRF,192:GsgHTLqqYQg0xahZvIqj9pSJHFE6mjSh4G4Ikh7:GtHTeqOIqj9gJljmjSh4GWB,3072:3bAF9twYRPoJmpGHPDdbAyG5nkOYARt6af7ZSgwC:3bAiYRPonvFAy7ARt6afdSvC,1536:p/UAtLn4n6jtF/dmqqi3vi+qqkXx/MLiCCChxQ1+5CaUuE6:hZtLnk63IqqMBqqkX5wxQ1+EaUuL,3072:6iM7O/FzuTWes70BRqe9qKAKmKKcCS3bVK0qaKCGLq4GDuKKKGltl2i:6iaWee0BtsKAKmKKiKLaK9VGDuKKxt,,,,,,,,,,
8,FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/,http://www.foodmanufuture.eu/dmedia?f=LGhj,http://www.foodmanufuture.eu/,http://www.manufuture.org/manufacturing/wp-content/uploads/Flyer_FoodManufuture-final-event.pdf,http://www.2020-horizon.com/FOODMANUFUTURE-Conceptual-Design-of-a-Food-Manufacturing-Research-Infrastructure-to-boost-up-innovation-in-Food-Industry(FOODMANUFUTURE)-s1.html,http://www.foodclusterinitiative.eu/uploads/files/official-brochure-engli.pdf,http://utagri.enea.it/sites/default/files/food_manufuture_cdr_executive_summary_2014_01_07.pdf,http://www.vifu.dk/media/1129/flyer-foma-final-event-2-final.pdf,http://utagri.enea.it/en/eventi/meeting-internazionali/utagri-alla-conferenza-finale-conceptual-design-food-manufacturing-res,http://progettiue.enea.it/dett_pdf.asp?id=779,http://etp.fooddrinkeurope.eu/asp/etp_uptodate/l1.asp?doc_id=726,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekL5am:TFcZV5eY5am,24576:suYbJ8zh2ku8UD48Z1WvY5bQiny2tcl1NqZI0Wmu:Fl1bpUEfQ5kinN+NgI0Wmu,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ek5t5Mi8Bm:TFcZV5e45F8Bm,12288:p5jN0ByKlocR1uhXRYBJ0Od+FJ1z3Inrs:z1CocRqiJ0Y4nDInrs,192:vDYRlpGTmulmJN8t2y7WMOmcsGyahsYdXZEy0Ie:vDYRnMmnLs2y7WMOHsTedXKyo,98304:1e/AhKqfcFzPcTjXnDffGFGNxxEZOEbteVTNrv:1e/AEqiQT/f0GNrEZrejrv,6144:v6xxCg2EyWpMyD2ozAdZ6wLxq/koSAkL8rTVZte41jusTDgA63P+SiT2biCPajFt:v9bECawd4WL8rB3/5TDAfBUBSaro0,12288:MAU6R66TrEjWi80nKmVgM1iBKHUHOwrziSYQwf2NniUtoFo42l:ML6Tw78LmVgM1sUwrdYQM295toUl,192:SzwZHw4so/xTU1ACd+EH0oSNtM21GDVEfrUIoBds5RXvENMPzeuPUAYAiAPtF3YW:SEHw4so5U1ACUEHYzM21GkUlovENG93F,768:6FynKp20gfuxPHi0AOl0Qgg5f/PnPFmnwX1GNUWnRHe1/fceHwxf3t:OyMDxPHi0AOl0Qgg52wX1WnR83/Qx/t,,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/,http://cordis.europa.eu/project/rcn/90532_en.html,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,http://www.euussciencetechnology.eu/content/european-network-integrating-novel-technologies-food-processing-hightech-europe,http://www.hightecheurope.eu/uploads/media/2011-07-20_16-28-31_D4.5_KA_final.pdf,http://www.irta.cat/en-us/RIT/Noticies/pages/HighTech_Abril_2013.aspx,http://cordis.europa.eu/search/result_en?q=/result/relations/categories/resultCategory/code%3D'report'%20AND%20sicCode/code%3D'LIF'%20AND%20language%3D'en'%20AND%20relatedSubProgramme/programme/relations/categories/sicCode/code%3D'TEC'&srt=contentUpdateDate:decreasing&num=10&p=1&format=xml,http://www.agropolis.org/innovation-international/,http://www.fisaonline.de/index.php?lang=en&act=institutions&i_id=1962,http://www.biw.kuleuven.be/m2s/clmt/lmt/research/projects,http://www.vupp.cz/envupp/research.htm,768:xZcxJQFEsuncMsLybUCwgnsu13LwUbBfWB71Kq1:xeQesucxLmlhsu13LwoBfW/J1,,384:6uVzqiIQP3/IIrBtBptORGc91Fkc9yxWzNZvK52c:6uV/IQP3AMpUJrFkGyxWzN02c,384:wQahML9vCDtbTPsoQRNltPjHPBnBFhNqYZUl3dFrKyAV4ML/:wQahML9vCDtbTPsoQRNltrHPBn3lSKy2,98304:pBvr9/oO/GEaJ4gKZwe377/gSWiLWdEaxuWL:pXZOuwe377wiLWdEaxuS,768:s0OzXLtP5xWXnxSwkTxs6zfxqHX4G/2OeQZa9vo:sFzXLh5xqxSps6lqHX4G/2eZa9vo,384:jEWUbt775UQtTJdEUQtsgQCUQt2J+UOtf1YUQtq:q7NdBSp,192:Kc735eayAWzjmiIQP3G9gjU4/6xB9tq/9TIndQBSO8wHtLO+7Yvmnz3xhJCGL73d:gNzKiIQP3ix8NtB3LP/JCIqDObI5yT,192:CZU86WDeZD0pkwFJyEbqb9/zXZvnjL/wNeWfKYKYvcQuZ:M6D0ptFIYqb9/zXZvP/syYKYvc5,768:gaG9LCIkPu0tbQFjT+ZoxAjWUtWO9qOw0/Kol9EKWUQw:gaG9LjkRJQFXitWAqOMol9EKWUQw,768:Cagy4zJvbNGQxfvYOjZA2jIqv/w9DUOOQp4u9boR1lv7od7WND:CvDhPj2Qw9DcMs67WN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
