,acronym,title,projectUrl,foundProjectUrl1,foundProjectUrl2,foundProjectUrl3,foundProjectUrl4,foundProjectUrl5,foundProjectUrl6,foundProjectUrl7,foundProjectUrl8,foundProjectUrl9,foundProjectUrl10,projectUrlHash,foundProjectUrl1Hash,foundProjectUrl2Hash,foundProjectUrl3Hash,foundProjectUrl4Hash,foundProjectUrl5Hash,foundProjectUrl6Hash,foundProjectUrl7Hash,foundProjectUrl8Hash,foundProjectUrl9Hash,foundProjectUrl10Hash,MatchScore1,MatchScore2,MatchScore3,MatchScore4,MatchScore5,MatchScore6,MatchScore7,MatchScore8,MatchScore9,MatchScore10
0,FAMILIESANDSOCIETIES,Changing families and sustainable societies Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,http://cordis.europa.eu/project/rcn/106717_en.html,http://www.age-platform.eu/images/stories/EN/FamiliesAndSocieties_PressRelease_formalVersion.pdf,http://oeaw.ac.at/wic/index.php?id=141,http://soc.kuleuven.be/web/staticpage/6/30/eng/904,http://socasis.ubbcluj.ro/cercetare/family_society/,http://familiesandsocieties.univie.ac.at/consortium-familiesandsocieties/,http://www.familiesandsocieties.eu/wp-content/uploads/2014/12/WP7ThevenonNeyer2014.pdf,http://su.avedas.com/converis/contract/5502,http://www.podepro.prd.uth.gr/useful_info/jobs/Docs/DemoBalk_Jobs_Doc_00014.pdf,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,,,,,,,,,,100.0,,,,,,,,,
1,HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de/,http://ec.europa.eu/research/energy/pdf/hleg_report_-_january_2009.pdf,http://www.hleg.de/tor.pdf,http://www.hleg.de/fr.pdf,http://www.2020-horizon.com/HLEG-High-level-expert-group-on-European-low-dose-risk-research(HLEG)-s13385.html,http://link.springer.com/article/10.1007/s00411-010-0284-2/fulltext.html,http://www.amazon.es/Level-Expert-Group-European-Research/dp/384332784X,http://rpd.oxfordjournals.org/content/166/1-4/178.short?rss=1,http://www.researchgate.net/publication/274781733_The_European_initiative_on_low-dose_risk_research_from_the_HLEG_to_MELODI,http://www.melodi-online.eu/doc/04_MELODI_workshop_Weiss_HLEG.pdf,http://www.risk-ir.eu/,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,49152:iidjFi/4LidZFi/4gG8IgjTskVS0LCdnqHZqh7kWQ3rb3z1D9ACHv9hF19:JZOB/gE0tLCZq5CE3/3zAAfF3,,,,,,,,,,0.0,,,,,,,,,
2,NOTOX,Predicting long term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu/,http://notox-sb.eu/,http://notox-sb.eu/project/,http://cordis.europa.eu/project/rcn/97714_en.html,http://www.iphc.cnrs.fr/IMG/pdf/NOTOX_Brochure_web.pdf,http://cordis.europa.eu/result/rcn/54302_en.html,http://eurice.eu/news/details/article/predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organo/,http://www.uni-saarland.de/fak8/heinzle/de/notox/notox.html,http://www.iphc.cnrs.fr/NOTOX-project.html,http://www.seurat-1.eu/pages/cluster-projects/notox.php,http://www.2020-horizon.com/NOTOX-Predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organotypic-cultures(NOTOX)-s182.html,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,,,,,,,,,,100.0,,,,,,,,,
3,HEAR-EU,High resolution image based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu/,http://cordis.europa.eu/project/rcn/104083_en.html,http://www.hear-eu.eu/,http://ec.europa.eu/research/health/medical-research/severe-chronic-diseases/projects/hear-eu_en.html,http://www.hear-eu.eu/index.php/component/users/?view=reset,http://hear-eu.org/media_heareu/Leaflet_Hear-eu_v5.pdf,http://cordis.europa.eu/news/rcn/124222_en.html,http://www.scanco.ch/en/news/news/artikel/scanco-partners-in-large-eu-project-on-hearing-restoration.html?no_cache=1&cHash=2229ea0d9c8886ef3202b398362b18b6,https://www.linkedin.com/pub/nerea-mangado/40/888/a94,http://ec.europa.eu/research/health/medical-research/severe-chronic-diseases/l_coor_en.htm,https://www.linkedin.com/in/marioceresa,192:6d2NcBBoQOaoiPub/Er27o+t7sPnc+Hzjkw1DKhUat6JewckLmtBgvlw2:6dcaoiPub/ES7oustTjlZKh3t6kwdLm0,768:9dH91i6d7ERq70GF73W7/4n7mN/vpQIpI/cqvPnywrW77R:391i6d7Eg0s32GmpvpQII/jTMR,,,,,,,,,,0.0,,,,,,,,,
4,GAMMA,Global ATM security management,http://www.gamma-project.eu/,http://www.gamma-project.eu/,https://www.linkedin.com/groups/GAMMA-Global-ATM-Security-Management-6510314/about,http://cordis.europa.eu/project/rcn/110049_en.html,http://www.researchgate.net/publication/259903016_Global_Atm_Security_Management_%28GAMMA%29,http://www.eurocontrol.int/articles/atm-security,http://www.finmeccanica.co.uk/-/gamma-atm-security,http://www.selex-es.com/en/-/gamma-atm-security,https://www.deepdyve.com/lp/institute-of-electrical-and-electronics-engineers/gamma-filling-the-security-management-void-of-sesar-and-nextgen-sp5JOQnaNn,http://www.42solutions.nl/gamma-defining-the-future-of-atm-security/,http://www.airtrafficmanagement.net/2013/10/gamma-launches-european-security-bid/,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,,,,,,,,,,100.0,,,,,,,,,
5,COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://ncp-space.net/,http://cordis.europa.eu/project/rcn/102063_en.html,https://edukad.etag.ee/project/3259,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/zusammenarbeit/weltraum/cosmos/,http://ims.rtu.lv/doc/Projects/COSMOS+.pdf,http://www.fp7-space.eu/,http://www.fp7-space.eu/about-cosmos.phtm,http://ncp-space.net/archive-of-pages/about-cosmos/about-us/,http://ec.europa.eu/growth/sectors/space/research/fp7/index_en.htm,"http://www.rtu.lv/component/option,com_docman/task,doc_view/gid,8400/lang,lv/",https://it.linkedin.com/in/elena-giglio-2b440730,384:/hOGjKlqytBVGQn/J26zEPk3KaiWQZqn4QMsCrq:kGWkytBVGm/PEvq4QMsCrq,768:9dV1i6dQRq70GF7u7/4n7CSL2ugzUeGp8Z/eRKAoiO5Gnd/tDe5t3YOH7R:l1i6dQg0suGCojEbR,,,,,,,,,,0.0,,,,,,,,,
6,HYPOLED,High performance OLED microdisplays for mobile multimedia HMD and micro projection applications,http://www.hypoled.org/,http://www.hypoled.org/,http://www.hypoled.org/Documents/HYPOLED_100604.pdf,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/abstract,http://www.2020-horizon.com/HYPOLED-High-performance-OLED-microdisplays-for-mobile-multimedia-HMD-and-micro-projection-applications(HYPOLED)-s14337.html,http://cordis.europa.eu/fetch?CALLER=PROJ_ICT&ACTION=D&RCN=85575,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/citedby,http://www.readcube.com/articles/10.1889%2F1.3500394,http://www.oled-info.com/files/hypoled-e.pdf,http://www.researchgate.net/publication/45174928_HYPOLED_-_VGA_OLED_micro-display_for_HMD_and_micro-projection,http://www.oled-info.com/hypoled-project,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,,,,,,,,,,100.0,,,,,,,,,
7,GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/summary.htm,http://cordis.europa.eu/project/rcn/85392_en.html,https://www.hipeac.net/network/projects/4682/genesys/,http://www.unibo.it/it/@@multilingual-selector/d645ec2d3da543c4a01a07f7dc354117/en,http://ti.tuwien.ac.at/cps/research/projects/genesys,http://msdl.cs.mcgill.ca/people/mosterman/workshops/date09/05_06a.pdf,http://webhost.laas.fr/TSF/IFIPWG/Workshops&Meetings/54/workshop/10.Kopetz.pdf,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5783398,http://www.researchgate.net/profile/Neeraj_Suri/publication/221147303_INDEXYS_a_Logical_Step_beyond_GENESYS/links/0deec533d39629ca6e000000.pdf,,,,,,,,,,,,,,,,,,,,,
8,FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/,http://www.foodmanufuture.eu/dmedia?f=LGhj,http://www.foodmanufuture.eu/,http://www.manufuture.org/manufacturing/wp-content/uploads/Flyer_FoodManufuture-final-event.pdf,http://www.2020-horizon.com/FOODMANUFUTURE-Conceptual-Design-of-a-Food-Manufacturing-Research-Infrastructure-to-boost-up-innovation-in-Food-Industry(FOODMANUFUTURE)-s1.html,http://www.foodclusterinitiative.eu/uploads/files/official-brochure-engli.pdf,http://utagri.enea.it/sites/default/files/food_manufuture_cdr_executive_summary_2014_01_07.pdf,http://www.vifu.dk/media/1129/flyer-foma-final-event-2-final.pdf,http://utagri.enea.it/en/eventi/meeting-internazionali/utagri-alla-conferenza-finale-conceptual-design-food-manufacturing-res,http://progettiue.enea.it/dett_pdf.asp?id=779,http://etp.fooddrinkeurope.eu/asp/etp_uptodate/l1.asp?doc_id=726,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekv/54Fm:TFcZV5eQ/54Fm,24576:suYbJ8zh2ku8UD48Z1WvY5bQiny2tcl1NqZI0Wmu:Fl1bpUEfQ5kinN+NgI0Wmu,,,,,,,,,,0.0,,,,,,,,,
9,HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/,http://cordis.europa.eu/project/rcn/90532_en.html,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,http://www.euussciencetechnology.eu/content/european-network-integrating-novel-technologies-food-processing-hightech-europe,http://www.hightecheurope.eu/uploads/media/2011-07-20_16-28-31_D4.5_KA_final.pdf,http://www.irta.cat/en-us/RIT/Noticies/pages/HighTech_Abril_2013.aspx,http://cordis.europa.eu/search/result_en?q=/result/relations/categories/resultCategory/code%3D'report'%20AND%20sicCode/code%3D'LIF'%20AND%20language%3D'en'%20AND%20relatedSubProgramme/programme/relations/categories/sicCode/code%3D'TEC'&srt=contentUpdateDate:decreasing&num=10&p=1&format=xml,http://www.agropolis.org/innovation-international/,http://www.fisaonline.de/index.php?lang=en&act=institutions&i_id=1962,http://www.biw.kuleuven.be/m2s/clmt/lmt/research/projects,http://www.vupp.cz/envupp/research.htm,768:xZcxJQFEsuncMsLybUCwgnsu13LwUbBfWB71Kq1:xeQesucxLmlhsu13LwoBfW/J1,,,,,,,,,,,,,,,,,,,,
