acronym,title,projectUrl
EVOCULTURE,The Evolution of Culture,
PASTPLACE,The Past in its Place Histories of Memory in England and Wales,
GAMSOC,Gambling in Europe,
CODING_IN_V1,How visual information is represented by neuronal networks in the primary visual cortex,
MECHANOSENSATION,What is the molecular mechanism of mechanosensation Mechanosensitive channel of large conductance MscL as a model,
GEPIDIAB,Genetics and epigenetics of Type 2 Diabetes physiology,
MICROQUANT,Microscopy of Tunable Many Body Quantum Systems,
MCUNLEASH,Model Checking Unleashed,
GAMETE RECOGNITION,Molecular Basis of Mammalian Egg Sperm Interaction,
EDITCRC,A genome editing based approach to study the stem cell hierarchy of human colorectal cancers,
DOUBLE-UP,The importance of gene and genome duplications for natural and artificial organism populations,
TRASTUZUCRAD,Oncolytic adenoviruses expressing monoclonal antibody trastuzumab for treatment of Her 2 cancer,
DEVSPACE,The development of the hippocampal spatial representation system,
C-H ACTIVATION,New Concepts for Utilizing a Ubiquitous Non Functional Group C H Bond Activation for Increased Efficiency in Organic Synthesis,
MODELIST,Understanding the infection by the bacterium Listeria monocytogenes as a way to address key issues in biology,
RAIELSP,Reconstructing Ancient Biblical Israel The Exact and Life Sciences Perspective,
HEART4FLOW,Improved Diagnosis and Management of Heart Disease by 4D Blood Flow Assessment,
NANOIMPACTS,Nano Impacts the chemistry of single nanoparticles,
NGRB,Next generation disease resistance breeding in plants,
SABIP-SUSI,Sustainable Silks Programme,
ITEPE,Institutional Transformation in European Political Economy A Socio Legal Approach,
ENCODE,Design Principles in Encoding Complex Noisy Environments,
THERALIGHT,Therapeutic Applications of Light Regulated Drugs,
MACROMOD,New Issues in Macro Modeling,
MAMMALIANDEVELOPMENT,A systems level understanding of the novel principle in early mammalian development,
PRIME-A-PLANT,Priming of plant immunity from its onset to trans generational maintenance,
SILICON EUROPE,Developing a leading edge European Micro and nanoelectronics cluster for energy efficient ICT,
ALLYOURS,AllYours a Distributed Privacy Aware Instant Item Recommender,
COMFUS,Computational Methods for Fusion Technology,
MOBILIZING4DEMOCRACY,Mobilizing for democracy Democratization processes and the mobilization of civil society,
EVOLAEMP,Language Evolution The Empirical Turn,
QCC,Quantum Communication and Cryptography,
GOSSPLE,GOSSPLE A Radically New Approach to Navigating the Digital Information Universe,
SUMOMAN,Supramolecular Cell Manipulation,
NANOANTENNAS,Nano Optical Antennas for Tuneable Single Photon Super Emitters,
PSARPS,Practical statistical approaches for addressing replicability problems in life sciences,
GALATEA,Tailoring Material Properties Using Femtosecond Lasers A New Paradigm for Highly Integrated Micro Nano Scale Systems,
ACCELERATES,Acceleration in Extreme Shocks from the microphysics to laboratory and astrophysics scenarios,
CITSEE,The Europeanisation of Citizenship in the Successor States of the Former Yugoslavia,
PTPSBDC,The role of protein tyrosine phosphatases in breast development and cancer,
HIPOCAT,High Performance Lewis Acid Organocatalysis,
HYMAGINE,Hybrid CMOS Magnetic components and systems for energy efficient non volatile reprogrammable integrated electronics,
THE MR CHALLENGE,Expanding the horizons of magnetic resonance in sensitivity imaging resolution and availability,
FRONTIERS OF RNAI-II,High resolution and chemical genetic approaches to RNA silencing mechanisms,
WBT,Finding order to harness chaos A new approach to understanding and controlling high Reynolds number wall bounded turbulence,
NASTAR,Nano Sensitizer Cancer Cell Targeted Radiotherapy,
SEEVS,Self Enforcing E Voting System Trustworthy Election in Presence of Corrupt Authorities,
GRAPH GAMES,Quantitative Graph Games Theory and Applications,
GLASS,InteGrated Laboratories to investigate the mechanics of ASeismic vs Seismic faulting,
FUNMAT,Self Organized Nanostructuring in Functional Thin Film Materials,
ISLHORNAFR,Islam in the Horn of Africa A Comparative Literary Approach,
GEODYCON,Geometry and dynamics via contact topology,
NANOSQUID,Scanning Nano SQUID on a Tip,
PHOTOCHROMES,Photochromic Systems for Solid State Molecular Electronic Devices and Light Activated Cancer Drugs,
SERRACO,Modulation of cortical activity by median raphe neuronal assemblies with identified behavioural effects,
WAROFWORDS,A War of Words What Ancient Manchurian History Does to Korea and China Today,
EXPLOREMAPS,Combinatorial methods from enumerative topology to random discrete structures and compact data representations,
LEAP,LEarning from our collective visual memory to Analyze its trends and Predict future events,
GEDENTQOPT,Generation and detection of many particle entanglement in quantum optical systems,
ERBIUM,Ultracold Erbium Exploring Exotic Quantum Gases,
GECOMETHODS,Geometric control methods for heat and Schroedinger equations,
CHROMOTHRIPSIS,Dissecting the Molecular Mechanism of Catastrophic DNA Rearrangement in Cancer,
CARDIOSPLICE,A systems and targeted approach to alternative splicing in the developing and diseased heart Translating basic cell biology to improved cardiac function,
MODAG,Model Theory and asymptotic geometry,
TIMER,TIME Resolved Spectroscopy of Nanoscale Dynamics in Condensed Matter Physics,
PRODUCTS,Predicting environment specific biotransformation of chemical contaminants,
LIFENAV,Reliable Lifelong Navigation for Mobile Robots,
AR.C.H.I.VES,A comparative history of archives in late medieval and early modern Italy,
MOM,The medicine of the mind and natural philosophy in early modern England A new interpretation of Francis Bacon,
MULTITURBULENCE,Fractal generated fluid flows new flow concepts technological innovation and fundamentals,
SINK,Subduction Initiation reconstructed from Neotethyan Kinematics SINK An iterative geological and numerical study of the driving forces behind plate tectonics,
REACTIONBARRIOMETRY,Towards a chemically accurate description of reactions on metal surfaces,
COLONCAN,Targeting downstream effectors of Wnt signaling in colorectal cancer,
BABE,Bodies across borders oral and visual memory in Europe and beyond,
NANOSURFS,Nanostructured Surfaces Molecular Functionality on advanced sp2 bonded substrates,
ECC SCIENG,Error correcting codes and their applications in Science and Engineering,
FRONTSEM,New Frontiers of Formal Semantics,
MDCEE,Media and Democracy in Central and Eastern Europe Qualities of Democracy Qualities of Media,
MERCURY ISOTOPES,Exploring the isotopic dimension of the global mercury cycle,
PRESSBIRTH,Arginine vasopressin and ion transporters in the modulation of brain excitability during birth and birth asphyxia seizures,
SUSTAINABLEWORKFORCE,Investments in a sustainable workforce in Europe causes and consequences in comparative perspective,
T-FORCES,Tropical forests in the changing earth system,
DANGER ATP,Regulation of inflammatory response by extracellular ATP and P2X7 receptor signalling through and beyond the inflammasome,
EQU,Exploring the Quantum Universe,
SEACHANGE,Sea level change due to climate change,
PREPARE,PRE industrial Photonic based Radar dEsign,
NANOSTRUCTURE,Solving the nanostructure problem Understanding exploiting and designing functional disordered materials,
DRIWGHP,The Distribution and Redistribution of Income and Wealth A Global and Historical Perspective,
ISOINEQINTGEO,Isoperimetric Inequalities and Integral Geometry,
APHIDHOST,Molecular determinants of aphid host range,
EXASCALEPLASMATURB,Turbulence in Laboratory and Astrophysical Plasmas Tackling Key Unsolved Problems via Peta to Exascale Computing,
EMOTIONCIRCUITS,Circuit mechanics of emotions in the limbic system,
