acronym,title,projectUrl
SILENTWALL,Production of an innovative Lightweight Ceramic Brick with increase noise absorption capabilities and heat insulation,http://www.silentwall.eu
SYNTHAFLEECE,Creation of a synthetic absorbable haemostatic fleece for delivery of active agents into healing wounds,http://www.synthafleece.eu
MOSES,Innovative continuum Multiplex Optical Sensors hull stress monitoring system supporting shipping safety and Enhancing the control capability over structural Ship integrity,http://www.mosesproject.eu
OSMOSIS,Open Source Modelling and Hardware Software Codesign of Embedded Systems,http://www.osmosis-project.eu
FACOMP,Polymeric nanocomposite profiles for curtain walls,http://www.facomp.eu
WIMAAS,WIDE MARITIME AREA AIRBORNE SURVEILLANCE,http://www.wimaas.eu
ICREL,Impact on Clinical Research of European Legislation,http://www.efgp.be/ICREL
CORRAL,Corrosion protection with perfect atomic layers,http://www.hes-so.ch/CMS/default.asp?ID=1887
INEX,Converging and conflicting ethical values in the internal external security continuum in Europe,http://www.inexproject.eu/
ATHEROREMO,European Collaborative Project on Inflamation and Vascular Wall Remodelling in Atherosclerosis,http://www.atheroremo.org/
DIAMARK,Sensory and Biomechanical Markers in Diabetic Neuropathy of the Gut Basic Investigations and New Approaches for Treatment,http://www.diamark.eu/
SKIN TREAT,Novel approaches for the development of customized skin treatments and services Test case Dead Sea Minerals and Conventional drugs,http://www.skintreat.eu
D-BOX,Demining tool BOX for humanitarian clearing of large scale area from anti personal landmines and cluster munitions,http://www.d-boxproject.eu/
ADD CONTROL,ADVANCED CONTROL SOLUTIONS FOR WASTE WATER TREATMENT,http://www.addcontrol-fp7.eu/
ETOILE,BIOETHANOL PRODUCTION VIA LIGNOCELLULOSIC FERMENTATION OF OLIVE OIL RESIDUES,http://www.etoile-project.eu/
MEMBRIDGE,Bridge between environment and industry designed by membrane technology,http://www.euromemhouse.com/Projects/MemBridge-Project.html
PCDIAB,A Portable bihormonal Closed Loop for Diabetes,http://www.pcdiab.eu
FORESEC,Europe s evolving security drivers trends and scenarios,http://www.foresec.eu
FRISBEE,Food Refrigeration Innovations for Safety consumer Benefit Environmental impact and Energy optimization along cold chain in Europe,http://www.frisbee-project.eu/
WHEYSAN,Natural whey based disinfection formula a solution for the sanitizing of whole and fresh cut fruits and vegetables,http://www.contactica.es/wheysan/
INPAC,Integrating Post Abortion Family Planning Services into China s existing abortion service in hospital settings,http://www.inpacproject.eu
DYNAMAG,ADVANCED COMPUTATIONAL STUDIES OF DYNAMIC PHENOMENA IN MAGNETIC NANO MATERIALS,http://www.dynamag.eu/
DORIAN,Developmental Origins of Healthy and Unhealthy Ageing The Role of Maternal Obesity,http://www.dorian-fp7.eu/
EU KNIGHTS,EU KETs supported INNovative INDUSTRY for HIGH GROWTH and SUSTAINABLE GLOBALIZATION,http://www.eu-knights.eu/
L-µPPT,Innovative Liquid Micro Pulsed Plasma Thruster system for nanosatellites,http://liquidppt.eu
RECONFIGURE,REconfiguration of CONtrol in Flight for Integral Global Upset REcovery,http://reconfigure.deimos-space.com/
PROSECO,Collaborative Environment for Design of AmI enhanced Product Services Integrating Highly Personalised Innovative Functions with Minimal Ecological Footprint along Life Cycle and of Their Production P,http://proseco-project.eu/
QB50,An international network of 50 CubeSats for multi point in situ measurements in the lower thermosphere and re entry research,http://www.qb50.eu/project.php
ANASTASIA,Advanced NAno Structured TApeS for electrotechnical high power Insulating Applications,http://www.anastasia-project.eu/
TORCHWOOD,Development of an affordable heat treatment process for wood,http://torchwood.pera.com/
WHETLAC,Transformation of the residual whey permeate from the cheese manufacture lactic acid production,http://www.whetlac.cartif.com.es/
SITINPLANT,Sustainable innovation technology in plant nursery process improving plant quality and safety,http://www.unibas.it/sitinplant/home.htm
IME,Identities and modernities in Europe European and national identity construction programmes and politics culture history and religion,http://fass.kingston.ac.uk/research/european/ime
PREMIVM,LOW COST HAND HELD AND NON INVASIVE OPTICAL SENSOR FOR MULTIPARAMETRIC FIELD ANALYSIS OF GRAPES AND LEAVES IN VINEYARDS,http://www.premivm.eu/
ARGUS 3D,AiR Guidance and Surveillance 3D,http://www.argus3d.eu/
ECOPLAST,Research in new biomass based composites from renewable resources with improved properties for vehicle parts moulding,http://www.ecoplastproject.eu
MIG@NET,Transnational Digital Networks Migration and Gender,http://www.mignetproject.eu/
COBIOS,Coastal Biomass Observatory Services,http://www.cobios.eu
SENSBIOSYN,Biosensors and Sensors for the industrial biosynthesis process of widely used commercial antioxidants nutraceuticals as additives for food and aquaculture promoting public health and safety,http://www.sensbiosyn.com/
CHAMPI-ON,FULLY AUTOMATIC SYSTEM FOR PICKING AND HANDLING MUSHROOMS FOR THE FRESH MARKET FROM THE GROWING BED TO THE COOLING STORAGE,http://champi-on.eu/
STAR-TRANS,Strategic Risk Assessment and Contingency Planning in Interconnected Transport Networks,http://www.startrans-project.eu/
POINTS,Printable Organic Inorganic Transparent Semiconductor Devices,http://points-fp7.eu/
BIOSCENT,BIOactive highly porous and injectable Scaffolds controlling stem cell recruitment proliferation and differentiation and enabling angiogenesis for Cardiovascular ENgineered Tissues,http://inspiralia-delivery.eu/fp7bioscent_eu/
SENSUM,Framework to integrate Space based and in situ sENSing for dynamic vUlnerability and recovery Monitoring,http://www.sensum-project.eu/home
COMCIS,Collaborative Information Services for Container Management,http://www.comcis.eu
EICOON,Euro Indo forum for nano materials research coordination cooperation of researchers in sustainable energy technologies,http://www.eicoon.eu
REDUXDO,Development of an efficient technique for the reduction of waste in sheeting dough processing in the baking industry,http://reduxdo.pera.com/
PROMOVEO,Independent Living for Today s Society Understanding the Elderly and Disabled for Tomorrows Inclusive Smart Home Solution,http://promoveo.pera.com
NANOII,Nanoscopically guided induction and expansion of regulatory hematopoietic cells to treat autoimmune and inflammatory processes,http://www.mf.mpg.de/NanoII
COMPO-BALL,Novel on line composting monitoring system,http://www.compoball.eu/
MICROTHRUST,MEMS Based Electric Micropropulsion for Small Spacecraft to Enable Robotic Space Exploration and Space Science,http://www.microthrust.net/
DRYCHECK,ELECTRICAL IMPEDANCE BASED SYSTEM TO MONITOR DRYING PROCESS IN SAUSAGES,http://www.drycheck.eu/
TRANS-IND,Integrated cost effective construction process for transport infrastructures based on a flexible industrialisation of FRP components,http://www.trans-ind.eu
