acronym,title,projectUrl
HIPPOCAMP,High power Impulse Plasma Process Operations for the Creation of Advanced Metallic Parts,http://www.hippocamp.eu/
HELIUM3D,High efficiency laser based multi user multi modal 3D display,http://www.cse.dmu.ac.uk/~mutedusr/
MINISURG,Miniaturized stereoscopic distal imaging sensor for minimally invasive surgery,http://minisurg.org/
IMVIS,Immersive multi view system for co located collaboration,http://www.imvis-eu.org/
PROSPARE,PROgress in Saving Proteins And Recovering Energy,http://www.prospare.eu/
FC-DISTRICT,New CHP network technologies for energy efficient and sustainable districts,http://www.fc-district.eu
SUCCIPACK,Development of active intelligent and sustainable food PACKaging using PolybutyleneSUCCInate,http://www.succipack.eu
PLASMANICE,Atmospheric Plasmas for Nanoscale Industrial Surface Processing,http://hlab.ee.tut.fi/plasmanice/
GARNET-E,GMES for Africa Regional Network for Information Exchange and Training in Emergencies,http://www.gmes-garnete.net/
CORE-CLIMAX,COordinating Earth observation data validation for RE analysis for CLIMAte ServiceS,http://coreclimax.itc.nl/
GREEN,Global Re ordering Evolution through European Networks,http://www2.warwick.ac.uk/fac/soc/csgr/green/
CORE,The role of Governance in the Resolution of Socioeconomic and Political Conflict in India and Europe,http://www.projectcore.eu/
CHANGINGEMPLOYMENT,The changing nature of employment in Europe in the context of challenges threats and opportunities for employees and employers,http://www.changingemployment.eu
EVIMALAR,Towards the establishment of a permanent European Virtual Institute dedicated to Malaria Research EVIMalaR,http://www.evimalar.org/
EU-SEC II,Coordinating National Research Programmes and Policies on Security at Major Events in Europe,http://www.eu-secii.org/
MICRODRY,Microwave Drying for the Rapid Remediation of Flooded Buildings,http://www.microdry.pera.com
MEDEA,Advanced Methodologies for the Determination of the Lability of Trace Metals and Their Application to Contaminated Soils,http://www.gold.ac.uk/medea/
IMPROVE,Improving Prostate Cancer Outcome with Vectored Vaccines,http://www.project-improve.eu/home
ECLAIRE,Effects of Climate Change on Air Pollution Impacts and Response Strategies for European Ecosystems,http://www.eclaire-fp7.eu/
LIGNODECO,Optimized pre treatment of fast growing woody and nonwoody Brazilian crops by detailed characterization of chemical changes produced in the lignin carbohydrate matrix,http://www.lignodeco.com.br/site/
INTHEAT,Intensified Heat Transfer Technologies for Enhanced Heat Recovery,http://www.intheat.eu
PLASMON,A new ground based data assimilative modeling of the Earth s plasmasphere a critical contribution to Radiation Belt modeling for Space Weather purposes,http://plasmon.elte.hu/home.htm
4F CROPS,Future Crops for Food Feed Fiber and Fuel,http://www.4fcrops.eu/
ARISE,Affording Recovery In Stroke,http://www.arise-europe.net/index-preview.php
COCAE,Cooperation across Europe for Cd Zn Te based Security Instruments,http://www.cocae.eu
MINOTOR,Modelling of electronic processes at interfaces in organic based electronic devices,http://www.materianova.be/minotor
FESTOS,Foresight of Evolving Security Threats Posed by Emerging Technologies,http://www.festos.org
SUPERLION,Superior Energy and Power Density Li Ion Microbatteries,http://www.superlion.eu/
FAIRFUELS,FAbrication Irradiation and Reprocessing of FUELS and targets for transmutation,http://www.fairfuels.nrg.eu
TUMIC,An integrated concept of tumor metastasis implications for therapy,http://itgmv1.fzk.de/www/tumic/tumic_main.htm
DINAMO,DEVELOPMENT OF DIAMOND INTRACELLULAR NANOPROBES FOR ONCOGEN TRANSFORMATION DYNAMICS MONITORING IN LIVING CELLS,http://www.fp7-dinamo.eu
NGIDD,Neuron Glia Interactions in Nerve Development and Disease,http://www.ngidd.eu/
NET-CHALLENGE,Innovative networks of SMEs for complex products manufacturing,http://www.netchallenge.org/
DESURBS,Designing Safer Urban Spaces,http://www.desurbs.net/
AEROFAST,AEROcapture for Future spAce tranSporTation,http://www.aerofast.eu
BESECU,Human behaviour in crisis situations A cross cultural investigation to tailor security related communication,http://www.besecu.de
M3-2S,Multiscale Modelling for Multilayered Surface Systems,http://www.m3-2s.bham.ac.uk
FIBLYS,Multi functional Analytical Focussed ion beam tool for nanotechnology,http://www.fiblys.eu
L4S,Learning 4 Security,http://www.L4S-project.info
BUILDING UP,Multi stakeholder Cross sectorial Collaborative long term Research Innovation Road Map to overcome Technological and Non technological barriers towards more energy efficient buildings districts,http://www.buildingup-e2b.eu/
SEAU,Multisensor Satellite Technologies for Oil Pollution Monitoring and Source Identification,http://seau.ksat.no/
REDDINESS,Support EO driven forest and carbon monitoring in Central Africa for REDD,http://www.reddiness.eu/
BACCARA,Biodiversity And Climate Change A Risk Analysis,http://www.baccara-project.eu/
CATCLAY,Processes of Cation Migration in Clayrocks,http://catclay.org/
FUNCFOOD,IMPACT OF AGENTS WITH POTENTIAL USE IN FUNCTIONAL FOODS ON BIOMARKERS FOR INDUCTION OF AGE RELATED DISEASES,http://funcfood.gmt.su.se
FORBIOPLAST,Forest Resource Sustainability through Bio Based Composite Development,http://www.forbioplast.eu/
RASTAS SPEAR,RAdiation Shapes Thermal protection investigAtionS for high SPeed EArth Re entry,http://www.rastas-spear.eu/index.php
ISP-1,In Space Propulsion 1,http://www.isp1-fp7.eu/
ULISSE,The USOCs KnowLedge Integration and dissemination for Space Science Experimentation,http://www.ulisse-space.eu
: E-SQUID,Development of SQUID based multiplexers for large Infrared to X ray imaging detector arrays in astronomical research from space,http://fusion.gfl.helsinki.fi/esquid
EAMNET,Europe Africa Marine Network,http://www.eamnet.eu/cms/ 
FIELD_AC,Fluxes Interactions and Environment at the Land Ocean Boundary Downscaling Assimilation and Coupling,http://lim050.upc.es/field_ac/index.html
BIOHYPO,Confronting the clinical relevance of biocide induced antibiotic resistance,http://kdbio.inesc-id.pt/biohypo/
CANCERDIP,The use of Methylated DNA Immunoprecipitation MeDIP in cancer for better clinical management,http://www.cancerdip.eu/
WOODY,Innovative advanced Wood based Composite Materials and Components,http://dappolonia-research.eu/woody
CODICE,COmputationally Driven design of Innovative CEment based materials,http://www.codice-project.eu
RECBREED,Recombination an old and new tool for plant breeding,http://recbreed.eu/
ROC,Radiochemistry on chip,http://www.roc-project.eu
SPINAL CORD REPAIR,Spinal locomotor circuits organization and repair after injury,http://www.spinalcordrepair.eu/
IMS&CPS,Innovative Material Synergies Composite Processing Strategies,http://www.imscps.eu
ULTRAMAGNETRON,Ultrafast All Optical Magnetization Reversal for Magnetic Recording and Laser Controlled Spintronics,http://www.ultramagnetron.org/
NANOTOUGH,Nanostructured Toughened Hybrid Nanocomposites for High Performance Applications,http://www.nanotough.aau.dk
SFMET,HGF SF and MET in metastasis,http://www2.mrc-lmb.cam.ac.uk/sfmet/index.html
TELOMARKER,Identification and characterization of novel human telomere related biomarkers that aid cancer management by improving patient diagnosis treatment selection response monitoring and drug development,http://www.brunel.ac.uk/research/TeloMarker
ENBREC,European Network of Bipolar Research Expert Centres,http://www.chusa.upmc.fr/ENBREC/
POPJIM,Plug and Produce Joint Interface Modules,http://www.popjim.com/
LOGSEC,Development of a strategic roadmap towards a large scale demonstration project in European logistics and supply chain security,http://www.logsec.org/
MEDALL,Mechanisms of the Development of ALLergy,http://www.medall-fp7.eu
SYSKID,Systems biology towards novel chronic kidney disease diagnosis and treatment,http://www.syskid.eu
MAPEER SME,Making Progress and Economic Enhancement a Reality for SMEs,http://english.ivsz.hu/engine.aspx?page=mapeer-about
DEVANX,Serotonin and GABA B receptors in anxiety from developmental risk factors to treatment,http://www.devanx.vitamib.com
EUGENE,Improving coordination visibility and impact of European GEOSS contributions by establishing a EUropean GEoss NEtwork EUGENE,http://www.eugene-fp7.eu/
STAVE,Space Transportation Assets Valorisation in Europe,http://www.stave-fp7.eu
REBIOFOAM,Development of a flexible and energy efficient pressurised microwave heating process to produce 3D shaped renewable bio polymer foams for a novel generation of transportation packaging,http://www.rebiofoam.eu/
TOLERAGE,Normalisation of immune reactivity in old age from basic mechanisms to clinical application,http://www.tolerage.eu/
SWIFT,Supporting aWareness and Information dissemination activities for GMES Fast Track Services,http://www.gmes.info
SUPROGAL,SUstainable PROduction of GALanthamine by both in vitro and agricultural crops of highly galanthamine containing plants,http://www.suprogal.eu/
