acronym,title,projectUrl,,,,,,,,,,,,,,,,,,,,,,
NULL,"Análise genética e citológica de construções duplas mutantes para detectar interacções entre os genes mitóticos aar, rod, mts, polo e zw10 de Drosophila",,,,,,,,,,,,,,,,,,,,,,,
NULL,Bactérias adaptadas a biótopos poluídos com crómio,,,,,,,,,,,,,,,,,,,,,,,
NULL,Ecologia e conservação das populações temporalmente segregadas de Paínho-da-Madeira Oceanodroma Castro nidificantes nos Açores,,,,,,,,,,,,,,,,,,,,,,,
NULL,Modelação do Forçamento Radiativo por Aerossóis,,,,,,,,,,,,,,,,,,,,,,,
NULL,Optimização combinatória - Abordagens algorítmicas para novos modelos e problemas de grande dimensão,,,,,,,,,,,,,,,,,,,,,,,
NULL,Uma nova abordagem para o diagnóstico e a reabilitação de sistemas de drenagem urbana - modelação de indicadores de desempenho hidráulico e ambiental,,,,,,,,,,,,,,,,,,,,,,,
NULL,A Procura de Licenciaturas e a Transição dos Recém - Licenciados para o Mercado de Trabalho,,,,,,,,,,,,,,,,,,,,,,,
NULL,Marcação do gene IL-10 com GFP “knock in”,,,,,,,,,,,,,,,,,,,,,,,
NULL,Estudos de evolução na familia bovidae por citogenética molecular,,,,,,,,,,,,,,,,,,,,,,,
NULL,Biodiversidade e aspectos Biogeoquímicos em Sapais de Portugal,,,,,,,,,,,,,,,,,,,,,,,
NULL,Circulação de fluidos em rochas fracturadas e implicações para definição de critérios de armazenamento de resíduos - DIWASTE,,,,,,,,,,,,,,,,,,,,,,,
NULL,Técnicas de Melhoramento da Previsão Meteorológica,,,,,,,,,,,,,,,,,,,,,,,
NULL,Avaliação da Perigosidade Sísmica no Vale Inferior do Tejo,,,,,,,,,,,,,,,,,,,,,,,
NULL,Modelação Matemática de Fluxo em Aquíferos costeiros Cársicos do Algarve e Avaliação do Impacte da Substituição do Abastecimento Público Actual por Águas de Barragens da Região.,,,,,,,,,,,,,,,,,,,,,,,
NULL,Dinâmica das Bacias Sedimentares e Paleogeografia do Terreno Ibérico Durante a Inversão Tectónica Varisca,,,,,,,,,,,,,,,,,,,,,,,
NULL,Uma Abordagem Termodinâmica e Espectroscópica Conjunta ao Estudo das Interacções Intermoleculares em Compostos Orgânicos Hidroxilados,,,,,,,,,,,,,,,,,,,,,,,
NULL,Mecanismos moleculares e celulares da exposição pré-natal a drogas de abuso no rato: biologia do desenvolvimento das vias dopaminérgicas.,,,,,,,,,,,,,,,,,,,,,,,
NULL,GEO@News: Utilização de Informação Geográfica para a Edição de Notícias,,,,,,,,,,,,,,,,,,,,,,,
NULL,Filmes e Multicamadas Contendo Urânio e Ferro: Preparação e Magnetismo,,,,,,,,,,,,,,,,,,,,,,,
NULL,Novas Tecnologias de Produção de Células Solares de Película Fina-UNISOL,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Compósitos de matriz de alumínio com gradiente funcional de propriedades obtidos por vazamento centrífugo: Processamento, caracterização e modelação",,,,,,,,,,,,,,,,,,,,,,,
NULL,Estrutura e Luminescência de Organosilicatos,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Leptospirose Equina: Estudo Epidemiológico, imunológico e Microbiológico.",,,,,,,,,,,,,,,,,,,,,,,
NULL,Organização Espacial da Heterocromatina no Núcleo: uma Visão Funcional de Cromocentros em Células Humanas,,,,,,,,,,,,,,,,,,,,,,,
NULL,A hibridação e a unissexualidade na evolução de um complexo ibérico de peixes: uma abordagem genética e ecológica,,,,,,,,,,,,,,,,,,,,,,,
NULL,Estudo da função de uma alteração ao código genético na evolução de novos fenótipos em Candida albicans,,,,,,,,,,,,,,,,,,,,,,,
NULL,A distribuição geográfica da variabilidade genética e reconstrução das vias de dispersão pós-glacial de vertebrados inferiores do noroeste da Península Ibérica através da utilização de marcadores genéticos de elevado polimorfismo,,,,,,,,,,,,,,,,,,,,,,,
NULL,Ecologia trófica e estrutura populacional em tartarugas bobas ( Caretta caretta) juvenis do estado pelágico no Atlântico Norte,,,,,,,,,,,,,,,,,,,,,,,
NULL,A paixão de aprender: para a sociedade cognitiva,,,,,,,,,,,,,,,,,,,,,,,
NULL,Estrutura geológica e evolução tectónica do esporão da Estremadura (orla ocidental portuguesa),,,,,,,,,,,,,,,,,,,,,,,
NULL,Biologia molecular e estudos estruturais em metaloproteínas,,,,,,,,,,,,,,,,,,,,,,,
NULL,Monitorização e modelização do impacto salino em pedras de monumentos,,,,,,,,,,,,,,,,,,,,,,,
NULL,"FLUMIRE- Modelos de migração- reacção de fluidos em sistemas hidrominerais, determinados através da composição isotópica ( 37C1/35 C1 e 87 Sr/86 Sr) de águas minerais e rochas encaixantes alteradas.",,,,,,,,,,,,,,,,,,,,,,,
NULL,Registo de Cheias Catastróficas em Sedimentos Costeiros - REFLECS,,,,,,,,,,,,,,,,,,,,,,,
NULL,"Assinatura geoquímica do Arsénico, Chumbo e Ouro em Solos e Plantas. Aplicação em Prospecção Estratégica e em Estudos de Impacte Ambiental",,,,,,,,,,,,,,,,,,,,,,,
NULL,Pequenos peixes pelágicos e mudanças climáticas: uma análise retrospectiva comparativa (PO-SPACC),,,,,,,,,,,,,,,,,,,,,,,
NULL,Desenvolvimento de novos materiais microporosos com elevada actividade e estabilidade para a eliminação de NOx em atmosfera oxidante,,,,,,,,,,,,,,,,,,,,,,,
NULL,Crescimento Endógeno Multisectorial e Capital Natural,,,,,,,,,,,,,,,,,,,,,,,
NULL,Avaliação Económica de Riscos de Mortalidade Voluntários e Involuntários: Os Casos da Poluição Atmosférica e do Consumo de Tabaco,,,,,,,,,,,,,,,,,,,,,,,
