acronym,title,projectUrl
,Spot IV V g tation,0
,Formation and occurrence of nitrous acd in the atmosphere,0
,Process for Production of Light Olefins by Dehydrogenation,0
,High resolution diode laser carbon dioxide environmental monitor,0
,Subsurface Radar as a Tool for Non destructive Testing Assessment in the Construction Building Industries,0
POLINAT-2,Pollution from aircraft emissions In the North Atlantic flight corridor,0
DEGREE,Diversity Effects in Grassland Ecosystems of Europe,0
,Improvement of moisture content measuring systems and testing strategies to enable precise process and quality control of kiln dried timber,0
,Robust process analytical methods for industrial practice and their validation,0
,Improvement of robot industrial standardisation,0
,Testing for electroceramic actuators,0
,Collaborative study of two cen multi residue methods for the enforcement of EU mrls for pesticides in fruit vegetables and grain,0
,Modelling a socially and environmentally sustainable European Union,0
,Social learning in Multimedia,0
,Innovation R D and Productivity,0
,Early Literacy Teaching and Learning innovative practice in four different national contexts a thematic network,0
ADEPT II,AUTOMATIC DEBITING AND ELECTRONIC PAYMENT FOR TRANSPORT,0
COREM,COOPERATIVE RESOURCE MANAGEMENT FOR THE TRANSPORT OF UNIT LOADS,0
WATERNET,Distributed Water Quality Monitoring using Sensor Networks,0
,Development of advanced surface engineering techniques for future aerospace transmissions,0
,Advanced design methods for Improved performance of industrial gas liquid reactors,0
,Model Based Diagnosis of Rotor Systems in Power Plants,0
OPTIM,Automatic optimisation of the injection moulding process,0
,Measure Design and Compensation for Thermal Deformations,0
,Multi Discipline Design Analysing Optimisation of Aerospace Vehicles,0
,Assessment of human risk for adverse effects of endocrine active environmental organohalogen contaminants,0
,Environmental PCB Exposure and developmental deficit Neurobehavioural functions beyond age 18 months until school age,0
,Earthquake Prediction Research in a Natural Laboratory,0
EURO-SEISTEST,Development and experimental validation of advanced modelling techniques in engineering seismology and earthquake engineering,0
,Health effects of UVB exposure with special emphasis on infectious in man,0
,Eco management accounting as a tool of environmental management,0
,Environmentally compatible antifouling coatings for the protection of ships water systems fish cages and other immersed structures against aquatic growth,0
,Development of Deliquoring Method Enhanced by Electric Acoustic F orce Fields,0
,Turbulence Modelling for Unsteady Flows in Axial Turbine Stages,0
,Intelligent Airbag Model Systems Based on Environmental Friendly Gasgenerators,0
,Composites and Advanced Aircraft Technologies Electromagnetic Protection,0
UDC,URBAN DRIVE CONTROL,0
TRACAR,TRAFFIC CARGO SUPERVISION SYSTEM,0
TELSACS,TELEMATICS FOR SAFETY CRITICAL SYSTEMS,0
GROW,GLOBAL REAL ORDER WEB,0
GENIUS ZEUS,INTEGRATED SYSTEM TO PROMOTE ADVANCED TOURISM SERVICES IN EUROPE,0
MOMENTS,Mobile media and entertainment services,0
VITAL,Validation of Integrated Telecommunication Architectures for the Long term,0
SECOMS/ABATE,Satellite ehf communications for mobile multimedia services Acts broadband aeronautical terminal and experiment,0
FIRST,Flexible integrated radio systems technology,0
MEDIAN,Wireless broadband cpn lan for professional and residential multimedia applications,0
MULTIPORT,Multimedia portable digital assistant,0
THESEUS,Terminal at high speed for european stock exchange users,0
VANTAGE,Vsat atm network trials for applications groups across Europe,0
MUSIST,Multimedia user interface for interactive services and tv,0
AMUSE,Advanced MUltimedia SErvices for residential users,0
MULTICUBE,Efficient multipoint to multipoint broadband switched network services for distributed multimedia applications,0
EXODUS,Experiments on the deployment of umts,0
CANCAN,Contract negotiation and charging in atm networks,0
RAINBOW,Radio access independent broadband on wireless,0
STORMS,Software tool for the optimization of resources in mobile systems,0
TALISMAN,Tracing Authors rights by Labelling Image Services and Monitoring Access Networks,0
TSUNAMI II,Technology in smart antennas for universal advanced mobile infrastructure part 2,0
BONAPARTE,Broadband optical network using atm pon access facilities in realistic telecommunications environments,0
IMMP,Integrated Multimedia Project,0
VERTICAL,Vertical cavity laser technology for interconnection and access links,0
BIDS,Broadband Infrastructures for Digital Television and Multimedia Services,0
SEMPER,Secure Electronic Marketplace for Europe,0
UMPTIDUMPTI,Using mobile personal telecommunications innovation for the disabled in umts pervasive integration,0
WOTAN,Wavelength agile optical transport and access network,0
KIMSAC,Kiosk based Integrated Multimedia Service Access for Citizens,0
COBUCO,Cordless business communication system,0
SETBIS,Set Top Box for Interactive Services on Demand,0
SOMMIT,Software Open MultiMedia Terminal,0
ONTHEMOVE,Application support services for distributed mobile Lmultimedia,0
DIVINE,Deployment of interpersonal videoconferencing systems on ibc networks,0
DOLMEN,Service machine development for an open long term mobile and fixed network environment,0
ATHOC,Atm applications over hybrid optical fibre coax,0
BBL,Broadbandloop,0
CASHMAN,Charging and accounting schemes in multi service atm networks,0
COVEN,Collaborative Virtual ENvironments,0
PLATO,Photonic links in atm and optical systems,0
AVANTI,Adaptive and adaptable interactions for multimedia telecommunications applIcations,0
KEOPS,Keys to optical packet switching,0
MIRAGE,Manipulation of Images in Real time for the creation of Artificially Generated Environments,0
UPGRADE,High bitrate 1300 nm upgrade of the European standard single mode fibre network,0
PHOTOS,Photosensitive technology for optical systems,0
CAPITAL,Customer access photonics an integrated technology for active low cost devices,0
RETINA,An Industrial Quality TINA Compliant Real Time DPE,0
,Direct versus indirect ultraviolet light induced DNA damage in the genesis of human melanoma and non melanoma skin cancer,0
,Elemental composition of airborne particulate matter pm10 sampled in European contries within the framework of the peace study,0
,Evaluation of early indicators for sensitisation to nickel cobalt and chromium Methods for risk assessment,0
,An integrated methodology for projecting the impact of climate change and human activity on soil erosion and ecosystem degradation in the Mediterranean A climatological gradient and dynamic systems approach,0
,Sustainability locality and democracy Community identity in the sustainability transition,0
MITBASE,A comprehensive and integrated mitochondrial database,0
,Engineering protein O Glycosylation for the production of receptor blockers,0
,Construction of protein linkage maps btween yeast saccharomyces cerevisiae nuclear proteins involved in RNA processing,0
