acronym,title,projectUrl
WASPNEST,Multidisciplinary approach to understanding the pathophysiology of the wiskott aldrich syndrome towards improved healthcare,0
TACIT,The role of telomerase in human cancer develpment and an evaluation of its potencial as a therapeutic target,0
PANCREAS DEVELOPMENT,Molecular mechanisms controlling pancreas organogenesis and differentiation of pancreatic cell types,0
GIFT,Genomic integrated force for type ii diabetes,0
MADIVAC,Development of novel vaccines to control infections wlth newly emerging highly pathogenic marek s disease viruses,0
SPAVACC,Development of vaccines for sheep pulmonary adenomatosis an endemic and contagious epithelial tumour,0
IMPRESSUVAC,Immunopathogenesis of respiratory syncytial virus infections in calves mice non human primates and humans development of second generation subunit vaccines,0
RISKOFDERM,Risk assessment for occupational dermal exposure to chemicals,0
CEMFEC,Combined effects of electromagnetic fields with environmental carcinogens,0
GEOPARKINSON,Parkinsonism and parkinson s disease interactions between environmental exposures and genetic factors,0
ASRISK,The mechanistic basis for providing a realistic cancer risk assesment for exposure to inorganic arsenic within the european comunity,0
MEA-PPNCD,Machining and electronic packaging optimisation by applications of phase pure nanocrystalline diamond,0
HITEMAG,Novel permanent magnets for high temperature applications,0
HITHEX,Prediction of the life time behaviour for c c sic tubes as high and ultrahigh temperature heat exchangers HITHEX,0
LOADNET,Low cost optical avionics data networks LOADNET,0
VINTHEC II,Visual interaction and human effectiveness in the cockpit part ii VINTHEC II,0
DEFSAM,Design of new environmentally friendly self adhesive materials DEFSAM,0
MT-CHECK,Highly efficient machine tool checking system based on ball artefacts and self centring three axis sensor,0
MINATROC,Mineral dust and tropospheric chemistry,0
MAIA,Monitoring the atlantic inflow toward the arctic,0
IAFAEE,Impact of alternative fluorinated alcohols and ethers on the environment a laboratory and modelling study,0
POET,Precursors of ozone and their effects in the troposphere,0
DIRECTOOL,The direct production of net shaped metal tools for the casting anf moulding industry DIRECTOOL,0
PACKMIN,Minimized use of packaging material for folding boxes by optimised creasing and precalculation of the box compression resistance PACKMIN,0
HEREDITARY DEAFNESS,Human hereditary deafness identification of genes molecular diagnostic tests epidemiological data understanding pathogenesis and search for therapies,0
FIND-STRUCTURE,Fast interpretation of nmr data for structural and functional analysis of proteins,0
MAFAPS,Macrophage function and stability of the atherosclerotic plaque,0
EUCIP,European cancer immunome database,0
BACELL NETWORK,From gene regulation to gene function regulatory networks in the model gram positive bacterium bacillus subtilis,0
PSICO-DEXA,Particulate size and composition measurements for diesel exhaust after treatment,0
COUNT,Counting electrons one by one measurement of very small electrical currents,0
MPPP,Monitoring for pulsed plasma processing new plasma probes for advanced manufacturing MPPP,0
TESTIFY,Mechanical tests and identification of parameters for metal forming processes TESTIFY,0
OTA PREV,Prevention of ochratoxin a in cereals,0
GMOBILITY,Safety evaluation of horizontal gene transfer from genetically modified organisms to the microflora of the food chain and human gut,0
FOLATE FUNC HEALTH,Folate from food to functionality and optimal health,0
FOODBORNE VIRUSES IN,Rapid detection of transnational foodborne vital infection and elucidation of transmission routes through molecular tracing and development of a common database,0
LIPOPEPTIDE,Defined lipopeptide vaccines,0
EGC-VAC,Intraperitoneal immunopathological reactions following vaccination of farmed fish studies of basic immune mechanisms,0
ENVEP,European network for vaccine evaluation in primates combined vector immunisations for aids vaccine development,0
APECOP,Effective approaches for assessing the predicted environmental concentrations of pesticides a proposal supporting the harmonised registration of pesticides in europe,0
REGIA,Regulatory gene initiative in arabidopsis,0
TB VACCINE CLUSTER,A cluster for tuberculosis vaccine development,0
0,Reduce discolouration of high value joinery hardwoods by improved handling and drying techniques,0
0,Automated production of water dispensing devices,0
0,Valorisation of spent mushroom compost,0
0,Method of intensively cultivating organically superior agricultural crops,0
0,Positioning under magnetic resonance imaging mri for accurate application of high intensity focused ultrasound hifu in cancer treatment,0
REBUS,Renewables burden sharing assessment tool REBUS,0
CDMED,Scenarios and strategies for the implementation of the clean developmernt mechanism of the kyoto protocol in the mediterranean region CDMED,0
TCH-GEM-E3,The role of innovation and policy design in energy and environment for a sustainable growth in europe TCH GEM E3,0
SAPIENT,System analysis for progress and innovation in energy technologies SAPIENT,0
MF-SOFC,Scale up of a multi functional solid oxide fuel cell to multi tens of kilowatt levels MF SOFC,0
CFB COMBUSTORS,Processes in large scale circulating fluidized bed combustors CFB COMBUSTORS,0
SOLVENT,Development of a ventilated solar screen glazing system SOLVENT,0
BIODISH,Development of a ceramic hybrid receiver for biogas fired dish stirling systems for electric power supply BIODISH,0
HISICON,High efficiency silicon solar cells concentrator HISICON,0
DRY GAS CLEANING,Biomass gasification for chp with dry gas cleaning and regenerative heat recovery DRY GAS CLEANING,0
STRAWGAS,Straw gasification for co combustion in large chp plants STRAWGAS,0
IMOTHEE,Improvement of photovoltaic modules measures for withstanding electrical and thermal effects caused by reverse biasing of cells IMOTHEE,0
HYBRIX,Plug and play technology for hybrid power systems HYBRIX,0
MGOGAS,Elaborated mgo products for efficient flue gas treatment with minimisation of solid residues for waste to energy plants MGOGAS,0
MORE CARE,More advanced control advice for secure operation of isolated power systems with increased renewable energy penetration and storage MORE CARE,0
VISCON,Visual sensing for optimised control of burner bank performance and enhanced plant lifetime VISCON,0
ENDOW,Efficient development of offshore windfarms ENDOW,0
BIO-AEROSOLS,Aerosols in fixed bed biomass combustion formation growth chemical composition deposition precipitation and separation from flue gas BIO AEROSOLS,0
DIAL-EUROPE,European integrated daylighting design tool DIAL EUROPE,0
COMHUB,Innovative composite hub for wind turbines COMHUB,0
HIPERB,High performance pv in buildings HIPERB,0
UFO,Universal fibre optics integration of fibre optics in buildings UFO,0
COCON,Hybrid system for co2 conversion by solar energy in a photo electrochemical device COCON,0
SOLAIR,Advanced solar volumetric air receiver for commercial solar tower power plants SOLAIR,0
DIMDESMOTOM,Development of improved detection systems for monitoring of toxic heavy metals in contaminated groundwaters and soils,0
POSITIVE,Phenological observations and satellite data ndvi trends in the vegetation cycle in europe,0
MOZAIC-III,Measurement of ozone water vapour carbon monoxide and nitrogen oxides by airbus in service aircraft mozaic iii 03 and h20 budgets in the ut ls,0
OSOA,Origin and formation of secondary organic aerosol,0
MAGPROX,Screening and monitoring of anthropogenic pollution over central europe by using magnetic proxies,0
METRIC,Metrics of climate change,0
NITROCAT,Nitrous acid and its influence on the oxidation capacity of the atmosphere,0
TRADEOFF,Aircraft emissions contribution of different climate components to changes in radiative forcing tradeoff to reduce atmospheric impact,0
IRONAGES,Iron resources and oceanic nutrients advancement of global environement simulations,0
EL CID,Evaluation of the climatic impact of dimethyl sulphide,0
INCA,Interhemispheric differences in cirrus properties from anthropogenic emissions,0
BIOSTRESS,Biodiversity in herbaceous semi natural ecosystems under stress by global change components,0
FUTURE-VOC,Biogenic volatile organic compound bvoc emission of european forests under future co2 levels influence on compound composition and source strength,0
TROTREP,Tropospheric ozone and precursors trends budgets and policy,0
CARBO-AGE,Age related dynamics of carbon exchange in european forests integrating net ecosystem productivity in space and time,0
BIOMAN,Biodiversity and human impact in shallow lakes,0
EUROSOLVE,Improved understanding of stratospheric ozone loss by collaboration with the sage iii ozone loss and validation experiment,0
DETECT,Detection of changing radiative forcing over the recent decades,0
SAMMOA,Spring to autumn measurements and modellling of ozone and active species,0
SUB-AERO,Subgrid scale investigations of factors determining the occurence of ozone and fine particles,0
