,title,projectUrl,acronym,return_code,redirect_url
8,Mechanisms and predictability of decadal fluctuations in atlantic-european climate,http://ugamp.nerc.ac.uk/predicate/,PREDICATE,200,
9,"Design and testing of dna microarrays to monitor microbial diversity with adequate biodiversity indexes, using cyanobacteria in freshwater as a model system",http://www.cip.ulg.ac.be/newsite/index.php,MIDI-CHIP,301,http://www.cip.ulg.ac.be/newsite/index.php
12,Development and field validation of biosensor methods for the assessment of the effects of pollution and solar uv radiation on commercially and ecologically important marine invertebrates.,http://www.uni-mainz.de/,UVTOX,200,
15,Cycling of phosphorus in the mediterranean,http://www.earth.leeds.ac.uk/cyclops/index.html,CYCLOPS,200,
29,Character preservation and modelling in aesthetic and engineering design (FIORES-II),http://www.fiores.com,FIORES-II,200,
36,Conjugated linoleic acid (cla) in functional food: a potential benefit for overweight middle-aged europeans,http://www.dijon.inra.fr/infos/404,FUNCLA,302,http://www.dijon.inra.fr/infos/404
37,Pesticides in european groundwaters : detailed study of representative aquifers and simulation of possible evolution scenarios,http://www.brgm.fr/pegase/,PEGASE,200,
44,Advanced research centre for cultural heritage interdisciplinary projects,http://www.arcchip.cz/#About,,200,
45,Hermes: a center of excellence on computational finance and economics,http://ucy.ac.cy/hermes/el/,,302,http://ucy.ac.cy/hermes/el/
48,Photocatalytic destruction of cyanotoxins and pathogens in potable (drinking) water (photox),http://www4.rgu.ac.uk/cree/general/page.cfm?CFID=77519028&CFTOKEN=41787059&jsessionid=5031231a90c371a8246e253d716d6a412250TR,PHOTOX,301,http://www4.rgu.ac.uk/cree/general/page.cfm?CFID=77519028&CFTOKEN=41787059&jsessionid=5031231a90c371a8246e253d716d6a412250TR
50,Heterocyclic amines in cooked foods - role in human health,http://www.foodscience.tugraz.at/,HC AMINES,301,http://www.foodscience.tugraz.at/
51,Comparative analysis of manufacturing technologies in goldsmithing and silversmithing from the vii to the i centuty b.c in the mediterranean area,http://www.ejtn.org,,200,
52,European network on safety assessment of genetically modified food crops,http://www.entransfood.com,ENTRANSFOOD,200,
53,Evaluating the Performance of an Object oriented Modelling bAsed on interneT,http://www.epomat.com,EPOMAT,200,
56,High pressure: a competitive method for the advancement of multi-disciplinary research and industrial applications,http://www.unipress.waw.pl,,200,
