,title,projectUrl,acronym
2,European food information resource network,http://www.eurofir.net/,EUROFIR
3,Global allergy and asthma european network,http://www.ga2len.net,GA²LEN
4,Advanced Protection Systems (APROSYS),http://www.aprosys.com/,APROSYS
6,Multi-functional carbon nanotubes for biomedical applications,http://www.carbio.eu,CARBIO
8,Healthy Lifestyle in Europe by Nutrition in Adolescence,http://www.helenastudy.com,HELENA
11,Nano-Photonics Materials and Technologies for Multicolor High-Power Sources,http://www.orc.tut.fi/natal.html,NATAL
12,Wide INtegrated technologies Dissemination,http://www.projects.ex.ac.uk/imst2002/wind%20introduction.htm,WIND
13,Transparent Ring Interconnection Using Multiwavelngth PHotonic switches,http://www.ihq.uni-karlsruhe.de/research/projects/TRIUMPH/,TRIUMPH
14,Versatile Endoscopic Capsule for Gastrointestinal Tumor Recognition and Therapy,http://www.vector-project.com/,VECTOR
15,Forum for Integrated Infrastructures Initiatives,http://www.sgo.fi/lapbiat/,I3 FORUM
18,Organization of the Conference EURONANOFORUM 2007 - Nanotechnology in Industrial Applications,http://www.euronanoforum2007.eu/,ENF 2007
20,EuroNanoForum2005 - 'Nanotechnology and the Health of the EU Citizen in 2020',http://www.euronanoforum2005.org/,ENF2005
24,EuroNanoForum 2003,http://www.mvpei.hr/ei/default.asp?gl=200303190000005,ENF 2003
41,Designing advanced interfaces for the delivery and administration of location independent optimised personal services,http://www.ist-daidalos.org/,DAIDALOS
42,"Advanced sensor development for attention, stress, vigilance and sleep/wakefulness monitoring",http://www.gospel-network.org,SENSATION
44,Self-adaptive embedded technologies for pervasive computing architectures,http://www.aether-ist.org/,AETHER
45,Development of multifunctional microprobe arrays for cerebral applications,http://naranja.umh.es/~np/,NEUROPROBES
46,Visualize all model driven programming,http://www.vide-ist.eu/index.html,VIDE
48,An intelligent guide to support productive online dialogue,http://www.argunaut.org,ARGUNAUT
49,Deep Vein Thrombosis - Impedimetric Microanalysis System,http://www.diagnosingdvt.com/,DVT-IMP
50,Scalable Computer Architecture,http://www.sarc-ip.org/,SARC
51,Representing mathematics with digital media,http://remath.cti.gr/,RE.MATH
52,Development of an Implantable bio-sensor for continuous care and monitoring or diabetic patients,http://www.improtech.co.uk/pcezanne/portal/,P.CEZANNE
54,Bootstrapping ontology evolution with multimedia information extraction,http://www.boemie.org/,BOEMIE
55,"ever-growing global scale-free networks, their provisioning, repair and unique functions",http://www.evergrow.org,EVERGROW
56,Optical Networks: towards bandwidth manageability and cost efficiency,http://www.e-photon-one.org/,E-PHOTON/ONE+
57,E2R II,http://www.e2r.motlabs.com,E2R II
58,Multilingual/Multimedia access to cultural heritage,http://www.multimatch.eu/,MULTIMATCH
59,Games at large,http://www.gamesatlarge.eu/,GAMES@LARGE
62,Contactless sensors for body monitoring incorporated in textiles,http://www.context-project.org,CONTEXT
65,"Finance, logistics and production integration domain by Web-based interaction Network",http://www.fluid-win.de/,FLUID-WIN
67,GRid enabled access to rich mEDIA content,http://www.gredia.eu,GREDIA
68,Integrated risk reduction of information-based Infrastructure Systems (IRRIIS),http://www.irriis.org,IRRIIS
69,My personal adaptive Global NET and beyond,http://www.ist-magnet.org/,MAGNET BEYOND
70,Scalable software hardware architecture platform for embedded systems,http://www.shapes-p.org/,SHAPES
71,Application bus for Interoperability in enlarged Europe SMEs,http://services.txt.it/abilities/links.html,ABILITIES
72,Audio-Visual Content search and retrieval in a distributed P2P repository,http://www.victory-eu.org/,VICTORY
73,Service platform for innovative communication environment,http://www.ist-spice.org,SPICE
74,Collaborative Virtual Engineering for SMEs,http://www.pim-project.com/,COVES
77,Advanced next generation Mobile Open Network,http://www.ist-anemone.eu,ANEMONE
78,"Integrated polymer-based micro fluidic micro system for DNA extraction, amplification, and silicon-based detection",http://micro2dna.internet.gr,MICRO2DNA
79,"Integrating knowledge, semantics and content for user-centred intelligent media services",http://www.acemedia.org/acemedia/,ACEMEDIA
80,Biologically-inspired autonomic networks and services,http://www.bionets.eu/,BIONETS
81,Web Beyond 3G,http://www.w3.org/2006/3gweb/,3GWEB
84,Coordinated approacH to the EurOpean effoRt on aUdiovisual Search engines,http://www.ist-chorus.org/,CHORUS
86,Batch integration of high-quality materials to microsystems,http://q2m.4m-net.org/,Q2M
87,Original system for image rendition via innovative screens,http://www.osiris-project.eu/,OSIRIS
88,Satellite communications network of excellence - Phase II,http://www.satnex.org,SATNEX-II
92,Cell-on-chip biosensor for detection of cell-to-cell interactions,http://cochise.arces.unibo.it/,COCHISE
93,Enhanced digital cinema,http://www.edcine.org/,EDCINE
94,Hearing in the Communication Society,http://www.hearcom.org,HEARCOM
97,"Mobility, Ubiquity and Security for small Devices",http://mobius.inria.fr/twiki/bin/view/Mobius,MOBIUS
99,Ambient Networks Phase 2,http://www.ambient-networks.org,AN P2
105,Capturing ambient intelligence for mobile communications through wireless sensor networks,http://www.ist-e-sense.org,E-SENSE
108,Quality of Open source Software,http://www.qualoss.eu/,QUALOSS
109,Expediting Adoption of e-working Collaborative Environments,http://www.eace-project.org/index.jsp,EACE
110,Tencompetence: Building the European network for lifelong competence development,http://www.tencompetence.org/,TENCOMPETENCE
111,Network of Excellence in Wireless COMmunications,http://newcom.ismb.it,NEWCOM
112,A self-healing approach to designing complex Software Systems,http://sysrun.haifa.il.ibm.com/shadows/index.html,SHADOWS
