original-uri,memento-closest,memento-first,memento-last,timegate_uri
http://www.familiesandsocieties.eu/,http://web.archive.org/web/20130712215413/http://www.familiesandsocieties.eu/,http://web.archive.org/web/20130712215413/http://www.familiesandsocieties.eu/,http://web.archive.org/web/20160308025121/http://www.familiesandsocieties.eu/,http://timetravel.mementoweb.org/timegate/http://www.familiesandsocieties.eu/
http://www.hleg.de/,http://www.webcitation.org/6DpXixMyW,http://web.archive.org/web/20080923063555/http://www.hleg.de/,http://web.archive.org/web/20160313094248/http://hleg.de/,http://timetravel.mementoweb.org/timegate/http://www.hleg.de/
http://www.notox-sb.eu/,http://web.archive.org/web/20130326235250/http://www.notox-sb.eu/,http://web.archive.org/web/20130326235250/http://www.notox-sb.eu/,http://web.archive.org/web/20160314193509/http://notox-sb.eu/,http://timetravel.mementoweb.org/timegate/http://www.notox-sb.eu/
http://www.hear-eu.eu/,http://web.archive.org/web/20130516205156/http://hear-eu.eu,http://web.archive.org/web/20130516205156/http://hear-eu.eu,http://web.archive.org/web/20160309203632/http://hear-eu.eu/,http://timetravel.mementoweb.org/timegate/http://www.hear-eu.eu/
http://www.gamma-project.eu/,,,,http://timetravel.mementoweb.org/timegate/http://www.gamma-project.eu/
http://ncp-space.net/,http://web.archive.org/web/20120502113227/http://www.ncp-space.net/,http://web.archive.org/web/20120111214754/http://www.ncp-space.net/,http://web.archive.org/web/20160304174555/http://ncp-space.net/,http://timetravel.mementoweb.org/timegate/http://ncp-space.net/
http://www.hypoled.org/,http://web.archive.org/web/20120111125157/http://www.hypoled.org/,http://web.archive.org/web/20090607102141/http://www.hypoled.org/,http://web.archive.org/web/20160307041516/http://hypoled.org/,http://timetravel.mementoweb.org/timegate/http://www.hypoled.org/
http://www.genesys-platform.eu/,http://web.archive.org/web/20121127055138/http://www.genesys-platform.eu/,http://web.archive.org/web/20080422173005/http://www.genesys-platform.eu/,http://web.archive.org/web/20160110085426/http://genesys-platform.eu/,http://timetravel.mementoweb.org/timegate/http://www.genesys-platform.eu/
http://www.foodmanufuture.eu/,http://web.archive.org/web/20121014225429/http://www.foodmanufuture.eu/,http://web.archive.org/web/20120426073922/http://www.foodmanufuture.eu/,http://web.archive.org/web/20160313063427/http://foodmanufuture.eu/,http://timetravel.mementoweb.org/timegate/http://www.foodmanufuture.eu/
http://www.hightecheurope.com/,http://web.archive.org/web/20121225023759/http://www.hightecheurope.com/,http://web.archive.org/web/20090923022801/http://www.hightecheurope.com/,http://web.archive.org/web/20160305195604/http://hightecheurope.com/,http://timetravel.mementoweb.org/timegate/http://www.hightecheurope.com/
http://www.pleasure-fp7.com/,https://archive.is/20130427160600/http://www.pleasure-fp7.com/,https://archive.is/20130427160600/http://www.pleasure-fp7.com/,http://web.archive.org/web/20160305234429/http://pleasure-fp7.com/,http://timetravel.mementoweb.org/timegate/http://www.pleasure-fp7.com/
http://www.shockmeat.eu/about-shockmeat/general-information.html,http://web.archive.org/web/20121022225257/http://www.shockmeat.eu/about-shockmeat/general-information.html,http://web.archive.org/web/20121021224200/http://www.shockmeat.eu/about-shockmeat/general-information.html,http://web.archive.org/web/20141231173754/http://www.shockmeat.eu/about-shockmeat/general-information.html,http://timetravel.mementoweb.org/timegate/http://www.shockmeat.eu/about-shockmeat/general-information.html
http://www.recapt.org/,http://web.archive.org/web/20130131051505/http://www.recapt.org/,http://web.archive.org/web/20130131051505/http://www.recapt.org/,http://web.archive.org/web/20160310221813/http://recapt.org/,http://timetravel.mementoweb.org/timegate/http://www.recapt.org/
http://www.tacmon.eu/new/,http://web.archive.org/web/20131209023029/http://www.tacmon.eu/new,http://web.archive.org/web/20131209023029/http://www.tacmon.eu/new,http://web.archive.org/web/20160308013420/http://tacmon.eu/new,http://timetravel.mementoweb.org/timegate/http://www.tacmon.eu/new/
http://www.eagle-fp7.eu/,http://web.archive.org/web/20130127011719/http://www.eagle-fp7.eu/,http://web.archive.org/web/20130127011719/http://www.eagle-fp7.eu/,http://web.archive.org/web/20160309070454/http://eagle-fp7.eu/,http://timetravel.mementoweb.org/timegate/http://www.eagle-fp7.eu/
http://www.clico.org/,http://web.archive.org/web/20121217051615/http://www.clico.org/,http://web.archive.org/web/20100806171106/http://www.clico.org/,http://web.archive.org/web/20160312171753/http://clico.org/,http://timetravel.mementoweb.org/timegate/http://www.clico.org/
http://www.acrimas.eu/,http://web.archive.org/web/20130504043910/http://acrimas.eu,http://web.archive.org/web/20130504043910/http://acrimas.eu,http://web.archive.org/web/20160311235302/http://acrimas.eu/,http://timetravel.mementoweb.org/timegate/http://www.acrimas.eu/
http://www.futurenanoneeds.eu/,http://web.archive.org/web/20140329075919/http://www.futurenanoneeds.eu/,http://web.archive.org/web/20140329075919/http://www.futurenanoneeds.eu/,http://web.archive.org/web/20160306061106/http://www.futurenanoneeds.eu/,http://timetravel.mementoweb.org/timegate/http://www.futurenanoneeds.eu/
http://www.hi-fre.eu/,http://web.archive.org/web/20130507163304/http://hi-fre.eu,http://web.archive.org/web/20130507163304/http://hi-fre.eu,http://web.archive.org/web/20160306222433/http://hi-fre.eu/,http://timetravel.mementoweb.org/timegate/http://www.hi-fre.eu/
http://www.ms-monina.eu/home,http://web.archive.org/web/20121110215719/http://www.ms-monina.eu/home,http://web.archive.org/web/20120531002303/http://www.ms-monina.eu/home,http://web.archive.org/web/20150919200428/http://www.ms-monina.eu/home,http://timetravel.mementoweb.org/timegate/http://www.ms-monina.eu/home
http://tds-exposure.eu/,http://web.archive.org/web/20121130103937/http://www.tds-exposure.eu/,http://web.archive.org/web/20120531043033/http://www.tds-exposure.eu/,http://web.archive.org/web/20150904164236/http://www.tds-exposure.eu/?,http://timetravel.mementoweb.org/timegate/http://tds-exposure.eu/
http://www.theobelixproject.org/,http://web.archive.org/web/20130111151557/http://www.theobelixproject.org/,http://web.archive.org/web/20090828152440/http://theobelixproject.org/,http://web.archive.org/web/20160310193819/http://theobelixproject.org/,http://timetravel.mementoweb.org/timegate/http://www.theobelixproject.org/
http://www.e-hub.org/,http://web.archive.org/web/20121221165202/http://www.e-hub.org/,http://web.archive.org/web/20030321132336/http://e-hub.org/,http://web.archive.org/web/20160314213159/http://www.e-hub.org/,http://timetravel.mementoweb.org/timegate/http://www.e-hub.org/
http://www.gmes-isac.info/index.html,,,,http://timetravel.mementoweb.org/timegate/http://www.gmes-isac.info/index.html
http://www.whey2food.eu/,,,,http://timetravel.mementoweb.org/timegate/http://www.whey2food.eu/
http://www.noshan.eu/index.php/en/,http://web.archive.org/web/20130702205817/http://noshan.eu/index.php/en/,http://web.archive.org/web/20130702205817/http://noshan.eu/index.php/en/,http://web.archive.org/web/20160317032451/http://noshan.eu/index.php/en/,http://timetravel.mementoweb.org/timegate/http://www.noshan.eu/index.php/en/
http://www.nanovalid.eu/,http://web.archive.org/web/20121101112145/http://www.nanovalid.eu/,http://web.archive.org/web/20120216075300/http://www.nanovalid.eu/,http://web.archive.org/web/20160306223000/http://www.nanovalid.eu/,http://timetravel.mementoweb.org/timegate/http://www.nanovalid.eu/
http://www.bacchus-fp7.eu/,http://web.archive.org/web/20130101151537/http://www.bacchus-fp7.eu/,http://web.archive.org/web/20121130082858/http://www.bacchus-fp7.eu/,http://web.archive.org/web/20160305141743/http://bacchus-fp7.eu/,http://timetravel.mementoweb.org/timegate/http://www.bacchus-fp7.eu/
http://www.naclim.eu/,http://web.archive.org/web/20130826165940/http://www.naclim.eu/,http://web.archive.org/web/20130826165940/http://www.naclim.eu/,http://web.archive.org/web/20160314051848/http://naclim.eu/,http://timetravel.mementoweb.org/timegate/http://www.naclim.eu/
http://www.fp7-imagines.eu/,http://web.archive.org/web/20130703092711/http://fp7-imagines.eu,http://web.archive.org/web/20130703092711/http://fp7-imagines.eu,http://web.archive.org/web/20160304214817/http://fp7-imagines.eu/,http://timetravel.mementoweb.org/timegate/http://www.fp7-imagines.eu/
http://www.n2p-project.eu/,http://web.archive.org/web/20121106025707/http://www.n2p-project.eu/,http://web.archive.org/web/20090323215842/http://www.n2p-project.eu/,http://web.archive.org/web/20160308051514/http://n2p-project.eu/,http://timetravel.mementoweb.org/timegate/http://www.n2p-project.eu/
http://icatsem.u-bordeaux4.fr/,http://web.archive.org/web/20111208010340/http://icatsem.u-bordeaux4.fr/,http://web.archive.org/web/20090504031705/http://icatsem.u-bordeaux4.fr/,http://web.archive.org/web/20111208010340/http://icatsem.u-bordeaux4.fr/,http://timetravel.mementoweb.org/timegate/http://icatsem.u-bordeaux4.fr/
http://www.neujobs.eu/,http://web.archive.org/web/20121211083702/http://www.neujobs.eu/,http://web.archive.org/web/20111119192956/http://www.neujobs.eu/,http://web.archive.org/web/20160306122922/http://neujobs.eu/,http://timetravel.mementoweb.org/timegate/http://www.neujobs.eu/
http://enacting-citizenship.eu/,http://www.webarchive.org.uk:80/wayback/archive/20130205230049/http://www.enacting-citizenship.eu/,http://web.archive.org/web/20081012073220/http://www.enacting-citizenship.eu/,http://web.archive.org/web/20160315035722/http://www.enacting-citizenship.eu/,http://timetravel.mementoweb.org/timegate/http://enacting-citizenship.eu/
