,acronym,title,projectUrl,foundProjectUrl1,foundProjectUrl2,foundProjectUrl3,foundProjectUrl4,foundProjectUrl5,foundProjectUrl6,foundProjectUrl7,foundProjectUrl8,foundProjectUrl9,foundProjectUrl10,projectUrlHash,foundProjectUrl1Hash,foundProjectUrl2Hash,foundProjectUrl3Hash,foundProjectUrl4Hash,foundProjectUrl5Hash,foundProjectUrl6Hash,foundProjectUrl7Hash,foundProjectUrl8Hash,foundProjectUrl9Hash,foundProjectUrl10Hash,MatchScore1,MatchScore2,MatchScore3,MatchScore4,MatchScore5,MatchScore6,MatchScore7,MatchScore8,MatchScore9,MatchScore10
0,FAMILIESANDSOCIETIES,Changing families and sustainable societies Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,http://www.oeaw.ac.at/wic/index.php?id=141,http://www.sociology.ox.ac.uk/funding/the-changing-role-of-children-and-societal-implications-assisted-reproduction-late-fertility-and-childlessness.html,http://www.sps.ed.ac.uk/staff/social_policy/koslowski_alison,http://www.population-europe.eu/event/third-annual-familiesandsocieties-stakeholder-seminar,http://europa.eu/epic/eu-activities/eu-funded-projects/demography-fertility/index_en.htm,http://www.population-europe.eu/statement/family-change-not-over,http://www.socialpolicy.ed.ac.uk/research/research_projects/current_projects/families_and_societies,http://www.su.se/english/research/leading-research-areas/new-research-project-examines-changes-in-family-formation-and-social-policies-across-europe-1.121991,http://partispace.eu/project/related-research-projects/,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdcT6Vq:Iuiu7nGUmqX1Fr0SelX6b,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdcT6Vq:Iuiu7nGUmqX1Fr0SelX6b,768:QC+pPT+T1s7YNXCg+/SR97cZjaiw7AlaOGSfjW9MgE3lZ:lwfYxM3D,768:S6TBq/g5Q0ulfuruOuUu4uCuQu2uQuMfu4ugu+uKuNu8uXumuJTPMpH5BurDhkGb:SEpH5Er+G+a,768:iNgJG8tlJsit5KHbS1r0dAqj5vNRzLF05:4mG8TJsgQLdAqj51RzLFU,192:JfK6832aTT9AHmXUIr5n7e4TsN7zukAcB0vjsxDvyviLNfvQRfV0mFxzQEDVsN7G:lT832aTT9AHcni4n9aLNwRXFBNQ5q2Y,384:AiD8R5NqxcMobZfPBsnk7rf/vhEqMt3E+00uP80O9:jSqxcMWJsk7rf/tC5uDq,768:Et32TT9AHt83Tq+X8dymKUX2apkuXFGX2XSzYqiXrVEm4BDR:Et32TT9AN83Tqc8dc+t/FEUSsrhhk,384:/iNqzW41sKlW6ELB/u1FJoz9eMJnGIc3GCeukrO:Q6xHqnnGtGCezrO,384:MuQry8nuYDECviVPlTU+u1/VVFRBN8IQx7n4W2ceDkpLTutBNiVPlTU+u1/VVM5l:MTMC6YRBN87r2cAs3utBEV5l,768:kGKZmDnTC0/MWKptvinawgee9/oWRT7/9eecI0+QDILeu8pe55ypaXBSPZYkO4yl:gZmDnTC0/RGtvin4ee9/nT7FeecIgDIx,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de/,http://www.melodi-online.eu/doc/HLEG_final_report.pdf,http://www.crealradiation.com/index.php/radiation-programme-projects/doremi,http://risk-ir.eu/,"http://www.fhi.no/eway/default.aspx?pid=240&trg=Content_6863&Main_6664=6898:0:25,8155:1:0:0:::0:0&MainContent_6898=6863:0:25,8168:1:0:0:::0:0&Content_6863=6866:97857::1:6865:13:::0:0",http://www.concert-h2020.eu/en/Concert_info/About_CONCERT,http://www.doremi-noe.net/pdf/events/4thperiodic/DoReMi_Workshop_on_implication_of_science_to_low_dose_risk_assessment_and_radiation_protection.pdf,http://www.concert-h2020.eu/~/media/Files/Concert/About_CONCERT_project_poster.pdf?la=en,https://www.helmholtz-muenchen.de/isb/forschung/plattformen/doremi-training/training/index.html,https://clinicaltrials.gov/ct2/show/NCT02532127,http://msu.euramet.org/health_2015/SRTs/SRT-h21.pdf,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,12288:7d/shBDeDlp/LHdq1B4mMhxbotAvMWKIW9qnzUZKTWvDwf:7d0C/L9YBRMhye4IW9BZKabwf,384:4dP4UuMvn9YXAxbKaYBYnrKzKKRsKkzKRzYK9SKRAKcnKRLFKaN/KRYKyeKRzKgZ:E4pGYXA8/WeBDA8,192:9FXdjjQXFGx0+50D2IXjNKnQ3JbqANzwZ+maiaKpzbA+/4KZAxVj1Z:7d4VGqhXBgqqANUba/Kpbh/HS51Z,,384:es/38cN17O8zDbnEu5yIaNER2NJB980zg:xhlEuwIugkg,12288:BXXpt2/Opjfmj/IeWhPWh59vBn9DA+k3zSH+pxsHreTTDrVdNFJu+r7vTaIY5Yxj:BXXUOpyFWxifVS+k3zSesHqTPVdrJuO1,12288:ayVhvMVzaowZR94LbCrKCeW//y9X7yT6y184Hiaaic5OvXVy93enB:1VhKFxLbCrKCZ6F7yGE846D5UVI3c,384:iCgQ5vg+k0tYLvK9+ZKNnXnNW3ae9wzNVloL0A7ukPB0TmqGluCnygW50:eQ54+k0tYLpZKNnXNof9yloL0A7uOqTu,384:LUCn7j/Matvc6x1hnZiNLYvDmr/8JuXCbSOin+qPLeUqd2Ps:LUC7xNsrESOzqPq4Ps,6144:MEgUWcuzwi+vSde6AXhzCVrHMwuPH9jCqJqqq/:UnS606AXhOVmx8qq/,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,NOTOX,Predicting long term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu/,http://notox-sb.eu/,http://eurice.eu/news/details/article/predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organo/,http://notox-sb.eu/fileadmin/notox/downloads/NOTOX_Leaflet_scientific.pdf,http://phys.org/news/2015-10-toxicity-cutting-edge.html,http://www.cosmostox.eu/about/seurat/,http://www.seurat-1.eu/pages/cluster-projects/notox.php,http://www.iphc.cnrs.fr/NOTOX-project.html,http://www.eurotox2015.com/home/83/,http://www.seurat-1.eu/pages/cluster-projects.php,http://www.horizonhealth.eu/project/predicting-long-term-toxic-effects-using-computer-models-based-systems-characterization,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,192:0ws8GFg0paMArVnuUScxCGToDm2xmDQzdS:0wsPq0w7RuncxODm2xmUzdS,24576:QH3DqsxmiBVTRMNsDZUMeu78eSg+6huQKhCd61bXRoyZKzb0sbckiDC8p92f6eew:Q+sVDTONIUMeghhEo61d8zb0kc3p8fl,1536:pCgYM7HV7Lz0TwKgwqqlLXtRzBeSUTwM/Oji1qSkxR:peIP0XEwji1qb/,192:jcthqjewwBaoRACahG/ymbcRoyjDSQYF1wl5OMxMmzwvuv:jxjkAoYhGambnBqPOsMmzwvuv,384:N0Q1Br1JRywrH3lHCXj72iol4/eb61F3RAhAPAF+rWVVVlV1VwqVoLeID2XIv73R:+U1JRywrUbj1h2WYnLH7Sr/82EQ,,384:7MUg9O7Yt/8XI9g+R4r9OzMfG+Il4kcF4HbjwGQo:7Mf49tfGpl4KjwG,384:GQ1Bj1JRywrD5nHCXjVdB/D1/tB6173RAhAPAF+rWVVVlV1VwqVoLeID2XGv731c:G41JRywrxo2Gh2WYGpMs82EQ,768:JI6hydmGetSCoRN1+eMdzOZCT0yDH7O8vI7ur68PIcWZUWqEk+b/W+d2K:JI6hydmGetSCmN1+eMdzOZCT0yDKGI7l,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
3,HEAR-EU,High resolution image based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu/,http://www.hear-eu.eu/,http://www.scanco.ch/en/news/news/artikel/scanco-partners-in-large-eu-project-on-hearing-restoration.html?no_cache=1,http://www.hear-eu.eu/index.php/work-packages,http://bookshop.europa.eu/en/research-eu-results-magazine-pbZZAC15010/downloads/ZZ-AC-15-010-EN-N/ZZAC15010ENN_002.pdf?FileName=ZZAC15010ENN_002.pdf&SKU=ZZAC15010ENN_PDF&CatalogueNumber=ZZ-AC-15-010-EN-N,http://www.hear-eu.eu/index.php/news/events,http://www.jmir.org/2013/11/e245?trendmd-shared=1,http://www.hear-eu.eu/index.php/publications,https://nicolasduchateau.files.wordpress.com/2015/04/cmangado_cars_2015-01ok1.pdf,https://hal.inria.fr/hal-01213341/document,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3841349/,192:6d2NcBBoQOaoiPub/Er27o+f7sPnc+Hzjkw1DKhUat6JewckLmtBgvPw2:6dcaoiPub/ES7osstTjlZKh3t6kwdLmu,192:6d2NcBBoQOaoiPub/Er27o+t7sPnc+Hzjkw1DKhUat6JewckLmtBgv1w2:6dcaoiPub/ES7oustTjlZKh3t6kwdLm4,768:H2F7t2sypb/EiCgCa0oRaGquU1bEBYyZyICWqGt1kLT3LHq/QXjfx3:WFB2tpDEiCgCa0oRaGquU1bEBYyZyICr,768:4aoiPQL55z55PN5K5WA7WE725mBndUK25hY5vsig539D5ma3S:4aoiPQLHzzNUM0Ww2kBndUK23Y1lgt14,,384:jdVaoiPubCS7oEkB/5krIGnrkBqn50UFEDHkBc5t3lpEI2xkB95t/b7OERTkBG54:DaoiPSq5EnHn5EP5V2k5Rb7f550SUQX2,1536:w+8kFxCixsEbrvX0jK9MHbpiJGXRgpn/G3zUBromg/B3e:F87fmv0HbpbRgpn/G3wBkmWBu,768:xaoiPPW59FBOULAheejXeeeegeeeekeeeeMeeeeeeeeeeTeeeeeeeeeedeeeeee2:xaoiPPWrHOlheejeeeegeeeekeeeeMe9,24576:u/02uQICltZNrYbWDo9FDDKczpJG5jxES5V8WNsI7BCXP7dIHysEU:9NQIKt3KykDeOq5jxlsKCXmp,24576:ndE7/02uXICltZNrYbWDo9FDDKczpJG5jxES5V8WNsI7BCXP7dIHysBdEU+:ndbNXIKt3KykDeOq5jxlsKCXm7da,,97.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
4,GAMMA,Global ATM security management,http://www.gamma-project.eu/,http://www.gamma-project.eu/,http://www.eurocontrol.int/articles/atm-security,http://ecossian.eu/links/related-projects,http://www.innovationengineering.eu/portfolio/,http://www.finmeccanica.com/documents/63265270/72323353/PR_21_oct_13_GAMMA_EN.pdf?download_file,http://www.innovationengineering.eu/portfolio/sesm-research-portal/,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6819992,http://www.innovationengineering.eu/portfolio/indus3es-industrial-energy-and-environment-efficiency/,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=7311419,http://www.innovationengineering.eu/portfolio/lightjumps-platform-cooperation-photonics-clusters/,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,768:wkt4JGghlJMxwW7c/8K2z3AmKbWOmQiDwh:wkt4JGghl+xwuY8K2jAgBA,384:8dA8lsmgFyYb6cuyYNmKkGBQfp1shwTEbq4sVe6FHfsTPDQjFTTukMZIxsXwJBiY:To7cxkA3VLe6xsTAFTTubXJgp,192:pR8Zg68T9qeukLCRoiZM48+VS5mGDnitr3nWuHU6lC:pOg6s9qeukLCKL5mKnitr3WuTc,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgcwJ:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQ0,192:pOZg68/9qeuzpCyoiZM48+D38U9SS5mGDnitr3nWuHU6lC:pmg6c9qeuzpCrjG5mKnitr3WuTc,1536:XX/UAtLnVnLjtF/Joq0iqrqcqrqhWLW0q0oqrqgqrqSMq/MLSCCChxQ1+5CaUuEd:/ZtLnBL3iq0iqrqcqrqcHq0oqrqgqrqW,192:pAEZg68c9qeuFeCyoiZM48+1at8nS5mGDnitr3nWuHU6lC:pPg6X9qeuFeCr95mKnitr3WuTc,1536:a/UAtLnCnljtF/anq0kqrq6qrqoqrqxfwq0Gqrq6qrqEqrqWqrqoqrq4/ML1CCC7:iZtLnSl36q0kqrq6qrqoqrqlwq0GqrqW,384:pjLg6Q9qeuQCCrZOD8Vp25mKnitr3WuTc:7Q9qeUIk8Vp25mKnitr3WR,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://ncp-space.net/,http://ncp-space.net/archive-of-pages/about-cosmos/about-us/,http://www.ims.rtu.lv/en/?page=projects,https://www.linkedin.com/in/elena-giglio-2b440730,http://www.ims.rtu.lv/?page=projekti,http://www.researchranking.org/index.php?action=partner&p=dxjy,http://www.resac-bg.org/en/projects.html,http://www.researchranking.org/index.php?action=partner&p=dAXl,"http://www.rtu.lv/component/option,com_docman/task,doc_download/gid,9837/rtu_fp_7_06.12.2013..pdf",http://www.researchranking.org/index.php?action=partner&p=dHhI,http://www.mita.lt/lt/tarptautines-programos/7bp/lietuvos-projektai/,384:/hOGjKlqytBVGQndH26zEPkiTIC0MK5KSCQJyvn4QMsCrq:kGWkytBVGmd5Enchpk4QMsCrq,384:vJOGjKlqytBVqrQ86826zdPVNQKi1N7rkjiBPKTKDKXfeHy+vfJyon4QHs9:sGWkytBVUl6YdtN01N7rkjiBbz4QHs9,384:tVCK4SyOBAFT5Ia66dDPRxle7cl+M2VGYOS9NK2el:G8gT51lPRG1M2VGYnK,,384:tanv/wifU7bT5IN3rl5pyle7cl+O2V/YOFI0OiA:IwBT5Mx5pd1O2V/U0OiA,768:9Aanvovf0t7CpC+SP70VxWm8qyULcIXwArK:zvYf0JCpAj0VZXbG,1536:/WUr8Wr2T2u8l083VoIQpwTzFpF4TUeA9qPrHZLXntbPZYHPewUFBJP1UHVeqMQs:/WUrnr2T2rl08loI8wTzLF4TUeA9qDHV,768:9Aauvlbf0t7Cvc5xSWNKkWm8qyULas+7ucZ:avNf0JCvCJa3,3072:I95y5XIWiax3b3c5uMiDXjVQI6/iB2W+0TXBr+bVPK9ZjQXUIQw9k51wrnCulKTw:I95KxrRDXjZ6/iB2daBr+EjLw9k51wrj,768:9AaPvgnf0t7CnvpNgjy5RD5Wm8qyUL3R4Vj3BsD:bvAf0JCnvUSRNESD,768:3Wj1yOrz5eqCUNl9TM8KrgiyCJzCnaclNE63OQftwmk:m7rdeGTTDKDJzwacDE63fhk,50.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,HYPOLED,High performance OLED microdisplays for mobile multimedia HMD and micro projection applications,http://www.hypoled.org/,http://www.hypoled.org/,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/pdf,http://www.comedd.fraunhofer.de/content/dam/comedd/common/products/COMEDD/hypoled-e.pdf,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/abstract,http://www.comedd.fraunhofer.de/en/applications/sensors.html,http://www.oled-info.com/hypoled-project,http://www.digitimes.com.tw/tw/B2B/Seminar/Service/download/051A106060/051A106060_37P8LW5KV1LX32QF3SQ9.pdf,http://www.oled-info.com/hypoled-project-oled-pico-projector-presents-intermediate-results,http://www.laserfocusworld.com/articles/2010/02/hypoled-digital-vga.html,http://www.wiley-vch.de/berlin/journals/op/09-02/OP0902_S34-S36.pdf,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,384:0W2E960nHQluNuV0yDRE1ULQIupIaORVuYVbpZBVX:0W2E960HEWJLULQBCF,24576:/g/GPTfo1s/lCCAsGsfGT1KQSL4gBXWeNyC5E3+1MbTW:7TUs/lCkFlQWXBVICymMO,384:0W2E96YxvQduNuV0yDREdU3ZikzlQgieAfGRLrbpLOAq6OKYDKlCGh3FJgsIxkIj:0W2E96YxqWJ3UphcAq6OKLlrhFJ3YGm,768:VW/kuGuAtMg5SlcDPX8vRKP63v3DdPJViQ:VW/ih5SlcDPX8vRKPcVJViQ,384:YVB3dyeEfQf3IHKuw16IhMur0aj3fA2PMgr44FJacLlxLbUslW3xkf0/7s76d7H9:x4fIHIQphj2krVu8nJp0zijES,393216:WdIyKv3g05cU+tPXZVzvVdBUOrRLAWt7K:EWl5IRVz/BUS7t7K,384:Yx/vy3dyeEfQf3IH0w16IhMur0aj3fCW2PMgr4qLNlTuLOgdjslqCnbp0/7s76dB:+V4fIH5QphM2k/1abqnJp0zijES,,3072:QsXVNrSjoaiL3Pc8FlFgDJodEOWEnKXwuhE6M47VTDJBGGp4Kxt:RaoaiLjFlFgDJodfX8R7dJBX4Kt,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
7,GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/,http://genesys-platform.eu/,http://www.laas.fr/IFIPWG/Workshops&Meetings/54/workshop/10.Kopetz.pdf,http://msdl.cs.mcgill.ca/people/mosterman/workshops/date09/05_06a.pdf,https://ti.tuwien.ac.at/cps/people/elsalloum,http://rts.eit.uni-kl.de/fileadmin/publication_files/Fohler_Safecomp10.pdf,http://ieeexplore.ieee.org/iel5/5783141/5783384/05783398.pdf?arnumber=5783398,http://www.vtt.fi/inf/pdf/publications/2009/p705.pdf,http://ti.tuwien.ac.at/cps/research/projects/past-projects,https://www.utwente.nl/ctit/research/research_projects/national/COMMIT/commit_allegio/,http://ti.tuwien.ac.at/cps/people/obermaisser,,,3072:3bAF9twYRPoJmpGHPDdbAyG5nkOYARt6af7ZSgwC:3bAiYRPonvFAy7ARt6afdSvC,192:GsgHTLqqYQg0xahZvIqj9pSJHFE6mjSh4G4Ikh7:GtHTeqOIqj9gJljmjSh4GWB,768:qhVAi17poSmG5cHYJDAyyno7eVFukABCJzBxhQvnDMp/VUbn/FQppp0STxQnk1G3:6VA+7pdmG5cHYJDAyyno7eVFukABCJzM,12288:IWBD5LTJB77WMS/OitppibIYD3YRs6Q4K9kAqO18my41ecJIuHv09EaPyKW:jVk/3AbYROqmycecJIMv09EaPyKW,1536:S/UAtLnyn6jtF/dmqqf/vi+qqkXx/MLiCCChxQ1+5CaUuE6:KZtLni63Iqq/BqqkX5wxQ1+EaUuL,98304:JeWWuQlVHsJ0hDz9gmbmraybc4sPFi6dpip40:JeWuLz9x4aybc4sP9pc,1536:2VA+C9gvGccGYwDL/rnT0LVK1knefJReCqkt58+VXInYFfIpMBvY+NnNuv8SZV87:OvJrsKbMe6Yy46xvrxd3yX,384:N4Juf+zwbuWy0grtKWDW7WIVWCWcWHWeWjWEWgIWgWS8WTWgWvWLWpWDWDW4W33m:N4Ju2zwbuWy0grtKWDW7WYWCWcWHWeW7,1536:BVA+C9GvGccGYwDL/rnT0LVK1knefJOecbmQmqnY58+VXInYFfIpMBvY+NnNuv8G:VvJrsKbi9LA6Yy46xvrARmXhYetZMHru,,,,,,,,,,
8,FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/,http://www.foodclusterinitiative.eu/uploads/files/executive-summary-final-report.pdf,http://www.foodmanufuture.eu/,http://www.foodclusterinitiative.eu/uploads/files/conceptual-design-report-full-text.pdf,http://www.isi.fraunhofer.de/isi-en/service/presseinfos/2014/pri-07-2014-food-manufuture-food-factory-of-the-future.php,https://www.linkedin.com/in/shima-shayanfar-1b18b046,http://www.campden.hu/eng/kpluszfpalyazatok.php,http://www.capinfood.eu/useful-links,https://it.linkedin.com/in/masoni,https://www.susfood-era.net/index.php?index=101,https://pt.linkedin.com/pub/jos%C3%A9-carlos-caldeira/9/81/3a1,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ek/5Wm:TFcZV5eE5Wm,49152:AUFE19HVv2RKEAGS7kYXAvPN1iLByVIu23GCWM:A4YJgA/kYXAXO11V2i,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekQ5tm:TFcZV5en5tm,49152:cERW2vXjJdKG+NLZucohFsg3tXpa5De46Ge2mbFt0WFm+KDpQxdHGjq:cLmJUtNLEHb31pW6z9bFt0KmdDpQxdHL,192:KlWV80oeNuoceDE+oj3dIz1QujV8O50MqyytaMJoaXS9wM04ReF4Pju9yIj:YORgoce4NxITjN50byGGU4Uj,,384:pI28vz8sUM+dXJAYar9rQa0gwANL/O7OT8nLvSm/t6EuDl2:p+UJAYar9rQa0gwsjO7OT8num/F,192:S1c3uG/m0muaKwDPHZ4oeY/el51k0zLGTKNp8Wp+TEBfP/5fYBHMYD:S1c3hEe8el7kmlpFphBfP/5fYBHMU,,384:2KNUJ0qgCe9HDa/TnQB40GNJg7E16DnZTIjMuG+Rh5OLOqTX4bcv8:2KND5CeFDE0GKV+R3GlIl,,0.0,96.0,0.0,0.0,,0.0,0.0,,0.0,
9,HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,https://www.wageningenur.nl/en/show/HighTech-Europe-European-network-for-integrating-novel-technologies-for-food-processing.htm,https://www.agropolis.fr/pdf/article-HTE-international-innovation.pdf,http://www.hightecheurope.eu/uploads/media/2013-11-24_D_6.11_White_Book_Agenda_European_high_tech_food_processing.pdf,http://www.fisaonline.de/index.php?lang=en&act=institutions&i_id=1139,http://www.foodmanufuture.eu/project,http://www.vupp.cz/envupp/research.htm,http://www.oecd.org/sti/nano/43277102.pdf,http://www.polsca.be/ppt/101027/IT.pdf,http://commnet.eu/02_Network/History.kl,768:xZcxJQFEsuncMsLybUCwgnsu13LwUbBfWB71Kq1:xeQesucxLmlhsu13LwoBfW/J1,384:6uVzqiIQP3iIIrBtBptORGc91Fkc9yxWzNZvK52c:6uV/IQP3XMpUJrFkGyxWzN02c,384:B47hvgwbq53tW74928pijrvbzI9M41SHDy:o1Dbq53m492+ij141SHu,12288:IrXHTYCo4gzFA+PUIMidLRfWUnlbOmhQIxoTlRW5xJZEmX2lIz6JPFya/ByyHAoX:kroHPXdVuUlQIxkG7z6JdqygoX,393216:MDcbh7X35xDTJKjqeqKS4eIbNXz9ns7d18tJAsf1LgK5abzX35xGTJKXTJKz:GcJn55JKjqeqKS6Zz1s78Wa1Lv56zn5Q,384:M1D0ptFsYqb9/zXZvP/qGnU15U2LZs7onj1IePiHRSNVKqp7VDRB9C8FTlIbOl8c:MzLxnU3UzELFX5Re1izRyae4l2SV,384:4XkIGOMLg4uvkwp6jmKgWqW38uHRGEG8a9nFzekj5tK:4UIGOML6kA6S/ZVRew5tK,768:Cagy4zJvbNGQxfvYOjZA2jIqv/w9DUOOQp4u9boR1lv7od7WND:CvDhPj2Qw9DcMs67WN,3072:AdqPrfy1FwaRQ1CJ3/5IJQ2AhhWeNmUsqhFCHpHoG/kMUk5UsvX5kWf:A4ra16ay1CJ+JQ2YhWQtxoHhUkiwp,24576:w3GPNoV1lWYmtqVs5aOaAyq+3fAS2EGiM09zo02YSaPr:wWPNi1sfmso/Au3oSMIW02YZT,1536:lf7CvKz+PpX15JeZpepsfyO4cbBkgnfbSCAGPzBU/:gKz+PlWJqO4c9/fby/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
