REDONTAP,Proposal for the Continuous Proliferation Simultaneous Maturation of Haematopoietic Stem Cells into Blood Cell Lineages,http://redontap.com/,,,,,,,,,,
NEUROFAST,The Integrated Neurobiology of Food Intake Addiction and Stress,http://www.neurofast.eu/,http://www.neurofast.eu/,https://www.karger.com/Article/FullText/338824,http://www.unibo.it/en/research/projects-and-initiatives/Unibo-Projects-under-7th-Framework-Programme/cooperation-1/food-agriculture-fisheries-biotechnology-kbbe/neurofast,http://www.gu.se/omuniversitetet/vara-fakulteter/omdirigering-person/?userId=xdicsu&languageCode=en,http://www.eufic.org/webinars/diets-efad2015/about.html,http://www.sciencedirect.com/science/article/pii/S0149763414002140,https://medhealth.leeds.ac.uk/profile/1300/1026/daryl_o'connor/3,http://www.usc.es/cimus/en/research/research-groups/functional-obesomics,http://www.sinchem.eu/wp-content/uploads/2014/02/4_Gamberini_How-to-build-a-successful-proposal.pdf,http://www.karger.com/article/pdf/349916
NANODIRECT,Toolbox for Directed and Controlled Self Assembly of nano Colloids,http://nanodirect.eu/,http://www.fz-juelich.de/ics/ics-2/EN/Home/home_node.html,http://www.kuleuven.be/research/researchdatabase/researchteam/50000508.htm,https://www.materials.uoc.gr/en/general/personnel/georgp_cv.pdf,http://bookshop.europa.eu/en/nanotechnology-pbKI3013325/downloads/KI-30-13-325-EN-C/KI3013325ENC_002.pdf;pgid=y8dIS7GUWMdSR0EAlMEUUsWb0000Gho_fC38;sid=Fn1fd9slL9Zfeor1JQnB0LkAtL4jJ5ZGCA8=?FileName=KI3013325ENC_002.pdf&SKU=KI3013325ENC_PDF&CatalogueNumber=,http://opidi.org/files/presentacion/Actividades%20financiadas%20FP7-%20Galicia-%20Septiembre%202013.pdf,http://pubs.acs.org/doi/full/10.1021/nn100869j,,,,
ALFA-BIRD,Alternative Fuels and Biofuels for Aircraft Development,http://www.alfa-bird.eu-vri.eu/,http://www.aerodays2015.com/wp-content/uploads/sites/20/1B-4-Yohan-Allouche.pdf,http://www.airtn.eu/downloads/airtn-alfabird-web-sent-2012.pdf,http://www.eu-vri.eu/home.aspx?lan=230&tab=23&itm=32&pag=34,http://www.core-jetfuel.eu/nav/initiatives_projects.aspx,http://www.icao.int/Meetings/EnvironmentalWorkshops/Documents/2011-SUSTAF/18_Jeuland.pdf,http://www.sheffield.ac.uk/mecheng/lccc/research-activities,http://www.icao.int/environmental-protection/GFAAF/scripts/Multi-stakeholders.html,http://biofuelstp.eu/aviation-biofuels.html,http://www.transport-research.info/sites/default/files/thematic-analysis/20150430_165733_97818_TRS16_fin.pdf,https://online.tugraz.at/tug_online/voe_main2.getVollText?pDocumentNr=371088&pCurrPk=71909
IMAGEMEND,IMAging GEnetics for MENtal Disorders,http://www.imagemend.eu/,http://www.brainvoyager.com/company/jobs_imagemend.html,http://www.imagemend.eu/presentation/,http://www.nature.com/neuro/journal/v17/n6/fig_tab/nn.3718_T1.html,http://www.imagemend.eu/,http://www.concentris.de/en/projects.html,http://www.eurecnet.org/newsletter/NewsletterArchive/EUREC_Newsletter_2014_1.pdf,https://web.stanford.edu/~richiard/papers/2015-Richiardi-Science.pdf,http://www.nouvelles.umontreal.ca/udem-news/news/20140812-adhd-substance-abuse-and-conduct-disorder-develop-from-the-same-neurocognitive-deficits.html,http://enigma.ini.usc.edu/wp-content/uploads/2015/07/ENIGMA-GWAS-Overview-Nature-Neuroscience-Medland-S-2014.pdf,https://www.unipi.it/index.php/unione-europea/item/download/1413_69d0fedf83e672a977f1f012eafd2b62
LEMSUPER,LIGHT ELEMENT MOLECULAR SUPERCONDUCTIVITY AN INTERDISCIPLINARY APPROACH,http://lemsuper.eu/,http://www.lemsuper.eu/,http://www.jst.go.jp/inter/english/sicorp/country/eu.html,http://www.lemsuper.eu/project-overview,https://www.sissa.it/international-financings,http://www.lemsuper.eu/ushimado,http://www.j-bilat.eu/documents/seminar/as_3/presentation_as3_gt.pdf,http://www.wpi-aimr.tohoku.ac.jp/prassides_labo/research/index.html,http://www.2020-horizon.com/Photocatalytic-materials-for-depollution-i310.html,http://www.researchranking.org/index.php?action=partner&p=dce,https://www.uni-mainz.de/forschung/200_DEU_HTML.php
SEAT,Sustainable trade in ethical aquaculture,http://seatglobal.eu/,http://seatglobal.eu/,http://www.seaweb.org/markets/seat.php,http://www.uib.no/en/svt/24039/eu-fp7-seat-sustaining-ethical-aquaculture-trade,http://www.seaweb.org/getinvolved/oceanvoices/DaveLittle.php,http://www.seatbau.net/eng/,http://www.arraina.eu/arraina-useful-links/relevant-projects,http://www.asemaquaculture.org/37-news/newsflash/66-9afaf,https://www.youtube.com/watch?v=NB6BWv5jPyc,https://www.facebook.com/SEATGlobal,http://agri.eco.ku.ac.th/cv_detail/Kudilok_S_Kulapa.html
EURO-JUSTIS,SCIENTIFIC INDICATORS OF CONFIDENCE IN JUSTICE TOOLS FOR POLICY ASSESSMENT,http://www.eurojustis.eu/,http://www.eurojustis.eu/cnrs.html,http://www.advise-project.eu/content/interesting-links,http://www.eurojustis.eu/fotoweb/34.pdf,http://csd.bg/index.php?id=92,http://www.eurojustis.eu/icpr.php,http://www.icpr.org.uk/media/31613/Final%20Euro-Justis%20report.pdf,http://www.scoopproject.org.uk/1crime-and-confidence-the-benefits-of-trust.aspx,http://www.heuni.fi/en/index/researchareas/confidenceinthecjs.html,http://www.csd.bg/artShow.php?id=9666,http://eprints.bbk.ac.uk/4507/1/4507.pdf
MONACAT,Monolithic reactors structured at the nano and micro levels for catalytic water purification,http://nano4water.eu/?id=48,https://nano4water.vito.be/n4wprojects/Pages/monacat.aspx,http://www.fetric.eu/component/phocadownload/category/14-nanotechnologies-advanced-materials-advanced-manufacturing-and-processing-biotechnology.html?download=34:successful-european-nanotechnology-research,http://www.utm.my/visitingscholars/files/2014/08/CV-Prof.-Lioubov-Kiwi08182014161642.pdf,https://www.epa.ie/pubs/reports/research/horizon2020/Final_Small%20Scale%20Study%20Mapping%20Water%20Research%20Excellence%20Part%202.pdf,http://www.icb.csic.es/fileadmin/infoGeneral/Memoria_2010.pdf,http://www.icb.csic.es/fileadmin/infoGeneral/Memoria_ICB_2011.pdf,,,,
EUSTROKE,European Stroke Research Network,http://www.europeanstrokenetwork.eu/,http://www.justbrain-fp7.eu/index.php?id=768,http://esrf.website/,http://www.solvobiotech.com/about-solvo/grants,http://www.stopafib.org/downloads/News436.pdf,http://www.eso-stroke.org/,https://www.stroke.org.uk/research/european-research/join-us,http://bookshop.europa.eu/en/research-eu-results-magazine-pbZZAC13001/downloads/ZZ-AC-13-001-EN-N/ZZAC13001ENN_002.pdf?FileName=ZZAC13001ENN_002.pdf&SKU=ZZAC13001ENN_PDF&CatalogueNumber=ZZ-AC-13-001-EN-N,https://www.stroke.org.uk/research/european-research,http://europeanstrokenetwork.eu/index.php?option=com_content&view=archive&Itemid=162,http://www.strokecenter.org/professionals/resources/guidelines-consensus-statements/
RUDI,Assessing the Impact of Rural Development Policies,http://www.rudi-europe.net/,http://www.rudi-europe.net/,http://www.ccri.ac.uk/rudi/,http://www.nordregio.se/en/Nordregio-Research/Assessing-the-Impact-of-Rural-Development-Policies-RuDI/,http://www.rudi-europe.net/uploads/media/RuDI_info_leaflet.pdf,http://www.ifls.de/projekt-077.html?&L=1,http://ageconsearch.umn.edu/bitstream/157976/2/EAAE%20paper%20Ljubliana%20Mantino.pdf,http://www.ifls.de/arbeitsbereich1.html?&L=1,http://econ.core.hu/file/download/mtdp/MTDP1008.pdf,http://www.regionalstudies.org/uploads/funding/conferences/presentations/international-conference-2011/dax.pdf,http://www.farmpath.eu/partners
