,acronym,title,projectUrl,foundProjectUrl1,foundProjectUrl2,foundProjectUrl3,foundProjectUrl4,foundProjectUrl5,foundProjectUrl6,foundProjectUrl7,foundProjectUrl8,foundProjectUrl9,foundProjectUrl10,projectUrlHash,foundProjectUrl1Hash,foundProjectUrl2Hash,foundProjectUrl3Hash,foundProjectUrl4Hash,foundProjectUrl5Hash,foundProjectUrl6Hash,foundProjectUrl7Hash,foundProjectUrl8Hash,foundProjectUrl9Hash,foundProjectUrl10Hash,MatchScore1,MatchScore2,MatchScore3,MatchScore4,MatchScore5,MatchScore6,MatchScore7,MatchScore8,MatchScore9,MatchScore10
0,FAMILIESANDSOCIETIES,Changing families and sustainable societies Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,http://www.oeaw.ac.at/wic/index.php?id=141,http://www.sps.ed.ac.uk/staff/social_policy/koslowski_alison,http://www.dji.de/FamiliesAndSocieties,http://www.population-europe.eu/statement/family-change-not-over,http://europa.eu/epic/eu-activities/eu-funded-projects/demography-fertility/index_en.htm,http://www.population-europe.eu/event/third-annual-familiesandsocieties-stakeholder-seminar,http://www.su.se/english/research/leading-research-areas/new-research-project-examines-changes-in-family-formation-and-social-policies-across-europe-1.121991,http://partispace.eu/project/related-research-projects/,http://www.socialpolicy.ed.ac.uk/research/research_projects/current_projects/families_and_societies,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,384:o4gVEURRc9ZCADzjvzkjV52AMHlFcHXYvdven:otVEURRc9ZCADzjvzkjV5JCUHXYvdv+,768:iGgJG8tlJsit5KHbS1r0dAqj5vNRzLF05:9mG8TJsgQLdAqj51RzLFU,768:9Dku/Galqt7/i4WKr8O2WfW2Ae2sFZ5dWIc2ugAgcXV/:l/GXzrly1dJV/,768:Et32TT9AH283Tq+X8dymKUX2apkuXFGX2XSzYqiXrVELyDE:Et32TT9AW83Tqc8dc+t/FEUSsrhC,384:AiD8R5NqxcMobZfPBsnk7rf/vhEqMt3E+00uP80O9:jSqxcMWJsk7rf/tC5uDq,192:JfK6832aTT9AH1XUIr5n7e4TsN7zukAcB0vjsxDvyviLNfvQRfV0mFxzQCVsN7zh:lT832aTT9AHdni4n9aLNwRXFBQKq2Y,384:MuQry8nuYDECviVPlTU+u1/VVdRBN8IQx7n4W2ceDkpLTutBNiVPlTU+u1/VVE5l:MTMC6IRBN87r2cAs3utBEl5l,768:g+T5pDr/W8DMWKx2linawgee9/oWRT7/9eecI0+pDILeu8155zKpNg6NBjYkOyyO:X5pDr/W8DRi2lin4ee9/nT7FeecI5DIv,384:/mmNqzW41sKlW6ELB/u1FJoz9eMxxnGIc3yCeukrO:Z6xHqNnGtyCezrO,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de/,http://www.hleg.de/,http://www.ncbi.nlm.nih.gov/pubmed/25862536,http://www.melodi-online.eu/doc/HLEG_final_report.pdf,http://www.crealradiation.com/index.php/radiation-programme-projects/doremi,http://www.melodi-online.eu/doc/04_MELODI_workshop_Weiss_HLEG.pdf,http://link.springer.com/article/10.1007%2Fs00411-010-0284-2,"http://www.fhi.no/eway/default.aspx?pid=240&trg=Content_6863&Main_6664=6898:0:25,8155:1:0:0:::0:0&MainContent_6898=6863:0:25,8168:1:0:0:::0:0&Content_6863=6866:97857::1:6865:13:::0:0",http://www.concert-h2020.eu/en/Concert_info/About_CONCERT,http://risk-ir.eu/,http://eurays.eu/useful-resources.html,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,768:5dTc8D9IZWrhkdhMr2YaqeX1GSRNrdGTDRy8u+g4VF4CyYAGMaBNlJBq97lINT3W:FD9IZWrhChMr2YaqyRNqU2NceZBWGy,12288:7d/shBDeDlp/LHdq1B4mMhxbotAvMWKIW9qnzUZKTWvDwf:7d0C/L9YBRMhye4IW9BZKabwf,384:4dPwUujvn9YXAxbKaYBYnrKzKKRsKkzKRzYK9SKRAKcnKRLFKaN/KRYKyeKRzKg3:EwpBYXA8/WeBAOdO8,49152:AsssybsjZ5XgMox16rx/AkYxWWN/UzI5CUWyl2ioYuMrhzr/7:uZAjZ5XKx1GZ7Z8MI5Vj2i1uMVr,768:LZMhSh49e5eeeZHeeePh40iR+ysMIIVeaBzu85CjujkjPj62+1fd3kibHYxZr6Vw:LZMhi49e5eeedeeeZ4T+h8CjujkjPj66,768:7UkJ3EtkMcV1EVnzSbUyBCT+KOu0v5tbAyD0kXv+Y4Dx:7UkJ021EVnzMxBCTNR0QkXvR4t,384:es/38cN17O8zDbnEu5yIaNER2NJB980zg:xhlEuwIugkg,192:9FXdjjQXFGx0+50D2IXjNKnQ3JbqANzwZ+maiaKpzbA+/4KFAxVj1Z:7d4VGqhXBgqqANUba/Kpbh/HG51Z,384:QG11bGbB9E838dmOCGjaP2teqMRjk1IcoElEpEhgLsVFV8BjP0CbSZN:11gX9MdEGjcrv2cagPLsVFVK0Cu3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NOTOX,Predicting long term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu/,http://notox-sb.eu/,http://eurice.eu/news/details/article/predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organo/,http://notox-sb.eu/uploads/media/NOTOX_Fact_Sheet_01.pdf,http://www.cosmostox.eu/about/seurat/,http://www.seurat-1.eu/pages/cluster-projects/notox.php,http://www.eurotox2015.com/home/83/,http://www.iphc.cnrs.fr/NOTOX-project.html,http://www.seurat-1.eu/pages/cluster-projects.php,http://www.eurotox2015.com/dokumente/PROGRAMME_EUROTOX_2015.pdf,https://eurotox2015.abstract-management.de/program/index.php?conViewSession=4940&action=papers&showDay=269,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,192:0ws8GFg0paMArVnuUScxCGToDm2xmDQzdS:0wsPq0w7RuncxODm2xmUzdS,6144:k9ZLj/ouZGcu2NYfNf7ZAftFxaJQvQ7jyfhF4TkA3V:kj/oWGcuwYp74/YMUn3V,192:jcthqjewwBaoRACahG/ymbcRoyjDSQYF1wl5OMxMmzwvuv:jxjkAoYhGambnBqPOsMmzwvuv,384:N2Q1Rr1JRywrH3lHCXj72iol4/eb61F3RAhAPAF+rWVVVlV1VwqVoLeID2XIv732:Qc1JRywrUbjkh2WYnLH7Sr/82EQ,384:7MUg9O7Yt/8XI9g+R4r9OzMfG+Il4kcF4HbjwGQo:7Mf49tfGpl4KjwG,,384:4Q1Rj1JRywrD5nHCXjVdB/D1/tB6173RAhAPAF+rWVVVlV1VwqVoLeID2XGv7315:4g1JRywrxo2Hh2WYGpMs82EQ,1536:psreV37nfdPYoFJleeCuS0EuwT5aLZbs4wL:K+3TioJel7+FLZIx,384:mpvfR5foLqUyGhEBS0dqogTL57GEpG0zVyalnVUCqjE9hxOC:6vfR5foLqUyGhE00AouL57VG0JHlnVU0,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
3,HEAR-EU,High resolution image based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu/,http://www.hear-eu.eu/,http://www.scanco.ch/en/news/news/artikel/scanco-partners-in-large-eu-project-on-hearing-restoration.html?no_cache=1,http://www.hear-eu.eu/index.php/work-packages,http://bookshop.europa.eu/en/research-eu-results-magazine-pbZZAC15010/downloads/ZZ-AC-15-010-EN-N/ZZAC15010ENN_002.pdf?FileName=ZZAC15010ENN_002.pdf&SKU=ZZAC15010ENN_PDF&CatalogueNumber=ZZ-AC-15-010-EN-N,http://www.hear-eu.eu/index.php/publications,http://www.jmir.org/2013/11/e245?trendmd-shared=1,http://www.hear-eu.eu/index.php/news/events,https://hal.inria.fr/hal-01213341/document,https://nicolasduchateau.files.wordpress.com/2015/04/cmangado_cars_2015-01ok1.pdf,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3841349/,192:6d2NcBBoQOaoiPub/Er27o+b7sPnc+Hzjkw1DKhUat6JewckLmtBgvDnw2:6dcaoiPub/ES7oQstTjlZKh3t6kwdLmi,192:6d2NcBBoQOaoiPub/Er27o+t7sPnc+Hzjkw1DKhUat6JewckLmtBgvNw2:6dcaoiPub/ES7oustTjlZKh3t6kwdLmQ,768:H2F7t2sypb/EiCgCa0oRaGquU1bEBYyZyICWqGt1kLT3LHq/QXjfx3:WFB2tpDEiCgCa0oRaGquU1bEBYyZyICr,768:4aoiPQL55z55PN5K5WA7WE725mBndUK25hY5vsig539D5ma3b:4aoiPQLHzzNUM0Ww2kBndUK23Y1lgt1p,49152:6FqUX/3+8qdSGGQjfdbSM/P4Z22FIwb01Z0ZM+QD1zZLe7Z6prFnkl5jC:iqUX/u8qdSe+SQZ7boPV5pe7ZirF8RC,768:xaoiPPW59FBOULAheejXeeeegeeeekeeeeMeeeeeeeeeeTeeeeeeeeeedeeeeeeX:xaoiPPWrHOlheejeeeegeeeekeeeeMeA,1536:w+8kFxCixsEbrvX0jK9MHbpiJGXRgpn/G3zUBromg/Bve:F87fmv0HbpbRgpn/G3wBkmWBm,384:jdVaoiPubCS7oEkB/5krIGnrkBqn50UFEDHkBc5t3lpEI2xkB95t/b7OERTkBG5S:DaoiPSq5EnHn5EP5V2k5Rb7f550SUQXk,24576:ndE7/02uXICltZNrYbWDo9FDDKczpJG5jxES5V8WNsI7BCXP7dIHysBdEU+:ndbNXIKt3KykDeOq5jxlsKCXm7da,24576:u/02uQICltZNrYbWDo9FDDKczpJG5jxES5V8WNsI7BCXP7dIHysEU:9NQIKt3KykDeOq5jxlsKCXmp,,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,GAMMA,Global ATM security management,http://www.gamma-project.eu/,http://www.gamma-project.eu/,http://www.innovationengineering.eu/portfolio/gamma-global-atm-security-management-project/,http://www.eurocontrol.int/articles/atm-security,http://www.finmeccanica.com/documents/63265270/72323353/PR_21_oct_13_GAMMA_EN.pdf?download_file,http://www.42solutions.nl/category/research/,http://ecossian.eu/links/related-projects,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6819992,http://www.slideshare.net/AngelolucaBarba/selex-ifatseafinal,http://www.piattaformaserit.it/progetti/GAMMA.pdf,http://www.finmeccanica.co.uk/businesses/selex-es/selex-es-news?p_p_id=fnmrenderportlet_WAR_fnmpublishportlet_INSTANCE_XAFVwkCHtaw2&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-2&p_p_col_pos=1&p_p_col_count=2&_fnmrenderportlet_WAR_fnmpublishportlet_INSTANCE_XAFVwkCHtaw2_rend_0_offset=70,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,192:psZg68m9qeuv2l/CyoiZM48+MsS5mGDnitr3nWuHU6lC:pMg6d9qeu+1Cr75mKnitr3WuTc,768:wet4JGghlJMxwWrc/8Y2z3AmKbWOmQiDw8:wet4JGghl+xwSY8Y2jAgBJ,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgcG+:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQZ,768:HMF0wua8X2R//ljdaOu7VLZq4H7XxaJx3x4xjxww2tRLgv0:HhZr2R/Nj0OeVlLXxmx3x4xjxGRLgv0,384:8dA8lsmgFyYb6cuyYNmKkGBQfp1shwTEbq4sVe6FHfsTPDQjFTTukMZIxsXwJBiY:To7cxkA3VLe6xsTAFTTubXJgp,768:8bkXfrIB2uNxCYKt8NH78/CLXxQ1+tXfrIB2uGboo:jDIUuNdKt8hA/CDxQ1+BDIUulo,3072:TBVUhzeWQuSlpHOYc57RR5t535p7XPe2YAxJY:TBZuSlpHOYc5z5t535p7Xm23W,6144:0iUGBBtbzx2xnYKFBq80+KKkIOUD+jXZC+NX+6K:TUGBBVzUFcylOUoEaXM,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgct9:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQj,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://ncp-space.net/,http://ncp-space.net/archive-of-pages/about-cosmos/about-us/,http://www.ims.rtu.lv/en/?page=projects,http://www.researchranking.org/index.php?action=partner&p=dzbD,http://www.ims.rtu.lv/?page=projekti,http://www.researchranking.org/index.php?action=partner&p=dHhI,https://www.linkedin.com/in/elena-giglio-2b440730,http://www.researchranking.org/index.php?action=partner&p=dbwo,http://www.resac-bg.org/en/projects.html,http://www.researchranking.org/?action=partner&p=dAXl,http://www.mita.lt/lt/tarptautines-programos/7bp/lietuvos-projektai/,384:/hOGjKlqytBVGQnK6T26zEPk3KaiWQZqn4QMsCrq:kGWkytBVGmK0Evq4QMsCrq,384:vJOGjKlqytBVqrQ84y26zdPVNQKi1N7rkjiBPKTKDKXfeHy/i9fZdn4QHs9:sGWkytBVUl4KdtN01N7rkjiBVd4QHs9,384:tVCK4SyOBAFT5Ia66dDPRxle7cl+M2VGYOS9NK2el:G8gT51lPRG1M2VGYnK,768:9Aa/vkkf0t7CHZzePoe0PWuWm8qyULFt8iNmHUJjC:7vbf0JCHZWn0P7NNyUY,384:tanv/wifU7bT5IN3rl5pyle7cl+O2V/YOFI0OiA:IwBT5Mx5pd1O2V/U0OiA,768:9AaPvgnf0t7CnvpNgjy5Rb7Wm8qyULOEYVjhBsD:bvAf0JCnvUSR3qSD,,768:9AacvrLf0t7CmyfYTcfySXx+lWm8qyULuGDWuY+:AvHf0JCmF4fySr4xL,1536:/WUr8Wr2T2u8l083VoIQpwTzFpF4TUeA9qPrHZLXntbPZYHPewUFBJP1UHVeqMQs:/WUrnr2T2rl08loI8wTzLF4TUeA9qDHV,768:9Aauvlbf0t7Cvc5xSWNA+Wm8qyULlZ+7ucp:avNf0JCvCJPo,768:3Wjr5eqCUNl9TM8KrgiyCJzCnaclNE63OQftwmk:mpeGTTDKDJzwacDE63fhk,47.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6,HYPOLED,High performance OLED microdisplays for mobile multimedia HMD and micro projection applications,http://www.hypoled.org/,http://www.hypoled.org/,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/pdf,http://www.comedd.fraunhofer.de/content/dam/comedd/common/products/COMEDD/hypoled-e.pdf,http://www.digitimes.com.tw/tw/B2B/Seminar/Service/download/051A106060/051A106060_37P8LW5KV1LX32QF3SQ9.pdf,http://www.comedd.fraunhofer.de/en/applications/sensors.html,http://www.oled-info.com/hypoled-project,http://www.laserfocusworld.com/articles/2010/02/hypoled-digital-vga.html,http://www.oled-info.com/hypoled-project-oled-pico-projector-presents-intermediate-results,http://www.wiley-vch.de/berlin/journals/op/09-02/OP0902_S34-S36.pdf,http://www.hindawi.com/journals/amse/2012/417376/,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,192:0GBOfE9LOabO8YjLQGQBUYtgiVdm0aBMVb7FZBQX:0W2E963HvQ/U7iXbVbpZBQX,24576:/g/GPTfo1s/lCCAsGsfGT1KQSL4gBXWeNyC5E3+1MbTW:7TUs/lCkFlQWXBVICymMO,393216:WdIyKv3g05cU+tPXZVzvVdBUOrRLAWt7K:EWl5IRVz/BUS7t7K,768:VW/kuGuAtMg5SlcDPX8vRKP63v3DdPJViQ:VW/ih5SlcDPX8vRKPcVJViQ,384:YVB3ffEfQf3IHUw16IhMur0aj3fA2PMgr44FJacLlxLbUslW3xM0/7s76d7HQZnS:L4fIHZQphj2krVLsJpWwijES,,384:Yx/vy3ffEfQf3IHTbw16IhMur0aj3fCW2PMgr4qLNlTuLOgdjslqCndp0/7s76df:+X4fIH4QphM2k/1adqsJpWwijES,3072:QsXVNrSjoaiL3Pc8FlFgDJodEOWEnKXwuhE6M47VTDJBGGp4Kxt:RaoaiLjFlFgDJodfX8R7dJBX4Kt,1536:p6I6H686B5396tdOEKfKV57A/sWvSiJwqahN71THJDOiYFUP:p6I6H686B5396tdOEKyV57A9ujR5RAe,100.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
7,GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/,http://msdl.cs.mcgill.ca/people/mosterman/workshops/date09/05_06a.pdf,http://www.genesys-platform.eu/results.htm,http://ieeexplore.ieee.org/iel5/5783141/5783384/05783398.pdf?arnumber=5783398,http://www.genesys-platform.eu/progress.htm,http://www.vtt.fi/inf/pdf/publications/2009/p705.pdf,http://www.genesys-platform.eu/environments.htm,http://rts.eit.uni-kl.de/fileadmin/publication_files/Fohler_Safecomp10.pdf,https://ti.tuwien.ac.at/cps/people/elsalloum,http://ti.tuwien.ac.at/cps/people/obermaisser,,,192:GsgHTLqqYQg0xahZvIqj9pSJHFE6mjSh4G4Ikh7:GtHTeqOIqj9gJljmjSh4GWB,,768:8bkXfrIB2uNxCYKt8NH78/CLXxQ1+tXfrIB2uGboo:jDIUuNdKt8hA/CDxQ1+BDIUulo,,98304:JeWWuQlVHsJ0hDz9gmbmraybc4sPFi6dpip40:JeWuLz9x4aybc4sP9pc,,12288:IWBD5LTJB77WMS/OitppibIYD3YRs6Q4K9kAqO18my41ecJIuHv09EaPyKW:jVk/3AbYROqmycecJIMv09EaPyKW,768:qhVAi17poSmG5cHYJDAyyno7eVFukABCJzBxhQvnDMp/VUbn/FQppp0STxQnk1Gu:6VA+7pdmG5cHYJDAyyno7eVFukABCJzj,1536:BVA+C9GvGccGYwDL/rnT0LVK1knefJOecbmQmqnY58+VXInYFfIpMBvY+NnNuv88:VvJrsKbi9LA6Yy46x9rARmXhYetZMHru,,,,,,,,,,
8,FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/,http://www.foodclusterinitiative.eu/uploads/files/executive-summary-final-report.pdf,http://www.foodmanufuture.eu/,http://www.foodclusterinitiative.eu/uploads/files/conceptual-design-report-full-text.pdf,http://www.lets2014.eu/fileadmin/content/presentations/01%20-%20Munksgaard.pdf,http://etp.fooddrinkeurope.eu/asp/etp_uptodate/l1.asp?doc_id=726,http://www.isi.fraunhofer.de/isi-en/service/presseinfos/2014/pri-07-2014-food-manufuture-food-factory-of-the-future.php,http://www.campden.hu/eng/kpluszfpalyazatok.php,https://www.linkedin.com/pub/kerstin-lienemann/36/253/69,https://it.linkedin.com/in/masoni,http://www.capinfood.eu/useful-links,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekZ5Em:TFcZV5e25Em,49152:AUFE19HVv2RKEAGS7kYXAvPN1iLByVIu23GCWM:A4YJgA/kYXAXO11V2i,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekcn5VHiOiSm:TFcZV5edn5VNm,49152:cERW2vXjJdKG+NLZucohFsg3tXpa5De46Ge2mbFt0WFm+KDpQxdHGjq:cLmJUtNLEHb31pW6z9bFt0KmdDpQxdHL,49152:xierWGdMXy/yonD3OqNJgYrZVMChX2weNryXlJ1bhPqDi:xFCGdM8f3gYbMcmweohhPGi,,192:KlWV80oeNuoceDE+oj3dIz1QujV8O50MqyytaMJoaXS9wM04ReF4Pju9yIj:YORgoce4NxITjN50byGGU4Uj,384:pI28vz8sUM+dXJAYar9rQa0gwANL/O7OT8nLvSm/t6EuDl2:p+UJAYar9rQa0gwsjO7OT8num/F,,,192:S1c3uG/m0muaKwDPHZ4oeY/ek51k0zLGTKNp8Wp+TEBfP/5fYBHMYD:S1c3hEe8ek7kmlpFphBfP/5fYBHMU,0.0,90.0,0.0,0.0,,0.0,0.0,,,0.0
9,HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/,https://www.wageningenur.nl/en/show/HighTech-Europe-European-network-for-integrating-novel-technologies-for-food-processing.htm,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,http://www.hightecheurope.eu/uploads/media/2013-11-24_D_6.11_White_Book_Agenda_European_high_tech_food_processing.pdf,https://www.agropolis.fr/pdf/article-HTE-international-innovation.pdf,http://www.fisaonline.de/index.php?lang=en&act=institutions&i_id=1139,http://commnet.eu/02_Network/History.kl,http://www.agropolis.fr/gestion-projets/reseau-integration-nouvelles-technologies-procedes-agroalimentaires-hightecheurope.php,http://www.polsca.be/ppt/101027/IT.pdf,http://www.oecd.org/sti/nano/43277102.pdf,http://www.vupp.cz/envupp/research.htm,768:xZcxJQFEsuncMsLybUCwgnsu13LwUbBfWB71Kq1:xeQesucxLmlhsu13LwoBfW/J1,384:B47hLgwb253tY74928pijrvbzA9M41gu9DYN:oBDb2538492+ij141gOi,384:6uVzqiIQP3sIIrBtBptORGc91Fkc9yxWzNZvK52c:6uV/IQP3BMpUJrFkGyxWzN02c,393216:MDcbh7X35xDTJKjqeqKS4eIbNXz9ns7d18tJAsf1LgK5abzX35xGTJKXTJKz:GcJn55JKjqeqKS6Zz1s78Wa1Lv56zn5Q,12288:IrXHTYCo4gzFA+PUIMidLRfWUnlbOmhQIxoTlRW5xJZEmX2lIz6JPFya/ByyHAoX:kroHPXdVuUlQIxkG7z6JdqygoX,384:M1D0ptFsYqb9/zXZvP/qGnU15U2LZs7onj1IePiHRSNVKqp7VDRB9C8FTlIbOl8c:MzLxnU3UzELFX5Re1izRyae4l2SV,1536:lf7CvKz+PpX15JeMpepsfyO4cbBkgnfbSCAGPzBU/:gKz+PljJqO4c9/fby/,768:f//IQP3C/2492wifS6QmZBLrys9u1MoV2vT56bOm78OXQ8xAz:f/wQP37wOtQkt86OXQ8xAz,24576:w3GPNoV1lWYmtqVs5aOaAyq+3fAS2EGiM09zo02YSaPr:wWPNi1sfmso/Au3oSMIW02YZT,3072:AdqPrfy1FwaRQ1CJ3/5IJQ2AhhWeNmUsqhFCHpHoG/kMUk5UsvX5kWf:A4ra16ay1CJ+JQ2YhWQtxoHhUkiwp,768:Cagy4zJvbNGQxfvYOjZA2jIqv/w9DUOOQp4u9boR1lv7od7WND:CvDhPj2Qw9DcMs67WN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
