,Unnamed: 0,acronym,title,projectUrl,foundProjectUrl1,foundProjectUrl2,foundProjectUrl3,foundProjectUrl4,foundProjectUrl5,foundProjectUrl6,foundProjectUrl7,foundProjectUrl8,foundProjectUrl9,foundProjectUrl10,projectUrlHash,foundProjectUrl1Hash,MatchScore,foundProjectUrl2Hash,foundProjectUrl3Hash,foundProjectUrl4Hash,foundProjectUrl5Hash,foundProjectUrl6Hash,foundProjectUrl7Hash,foundProjectUrl8Hash,foundProjectUrl9Hash,foundProjectUrl10Hash,MatchScore1,MatchScore2,MatchScore3,MatchScore4,MatchScore5,MatchScore6,MatchScore7,MatchScore8,MatchScore9,MatchScore10
0,0,FAMILIESANDSOCIETIES,Changing families and sustainable societies Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,http://www.sps.ed.ac.uk/staff/social_policy/koslowski_alison,http://www.dji.de/FamiliesAndSocieties,http://www.oeaw.ac.at/wic/index.php?id=141,http://www.population-europe.eu/statement/family-change-not-over,https://ec.europa.eu/research/social-sciences/pdf/policy_briefs/policy_brief_families-and-societies_27042015.pdf,http://europa.eu/epic/eu-activities/eu-funded-projects/demography-fertility/index_en.htm,http://www.su.se/english/research/leading-research-areas/new-research-project-examines-changes-in-family-formation-and-social-policies-across-europe-1.121991,http://www.socialpolicy.ed.ac.uk/research/research_projects/current_projects/families_and_societies,https://su.avedas.com/converis/person/2227,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdeT6Vq:Iuiu7nGUmqX1Fr0SelXgb,100.0,768:ibgJG8tlJqlE5qHbS1r0dAqj5ANROLFTm:smG8TJqywLdAqj5eROLFTm,768:9Dku/Galqt7/i4WKr8O2WfW2Ae2sFZ5dWIc2ugAgcXV/:l/GXzrly1dJV/,384:o4gVEURRc9ZCADzjvzkjV52AMHlFcHXYvdven:otVEURRc9ZCADzjvzkjV5JCUHXYvdv+,768:Et32TT9AHU83Tq+X8dymKUX2apkuXFGX2XSzYqiXrVE/yDy:Et32TT9A083Tqc8dc+t/FEUSsrho,12288:/BSrb/ca3+iEgtBlqr4n6CfNg/SsWhnVZ34Qywz+wt:U/JOgcWHhnj3WiJt,384:AiD8R5NqxcMobZfPBsnk7rf/vhEqMt3E+00uPq8MV9:jSqxcMWJsk7rf/tC5uOH,384:MuQry8nuYDECviVPlTU+u1/VVdRBN8IQx7n4W2ceDkpLTutBNiVPlTU+u1/VVE5l:MTMC6IRBN87r2cAs3utBEl5l,384:/oNqzW41sKlW6ELB/u1FJoz9eMxxnGIc3yCeukrO:K6xHqNnGtyCezrO,768:LtfzeMtDQDfJpKp/p6psyvEcUEP3SjLCd8owImBiRy7uZQvNezPU:dzeM4JpKp/p6psy8cpPCidGBioqqeLU,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de/,http://www.hleg.de/,https://ec.europa.eu/research/energy/pdf/hleg_report_-_january_2009.pdf,http://www.ncbi.nlm.nih.gov/pubmed/25862536,http://www.melodi-online.eu/doc/04_MELODI_workshop_Weiss_HLEG.pdf,http://ec.europa.eu/research/energy/euratom/index_en.cfm?pg=fission&section=melodi,http://www.crealradiation.com/index.php/radiation-programme-projects/doremi,"http://www.fhi.no/eway/default.aspx?pid=240&trg=Content_6863&Main_6664=6898:0:25,8155:1:0:0:::0:0&MainContent_6898=6863:0:25,8168:1:0:0:::0:0&Content_6863=6866:97857::1:6865:13:::0:0",http://risk-ir.eu/,http://eurays.eu/useful-resources.html,http://rpd.oxfordjournals.org/content/early/2015/04/08/rpd.ncv136.full.pdf,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,100.0,49152:iidjFi/4LidZFi/4gG8IgjTskVS0LCdnqHZqh7kWQ3rb3z1D9ACHv9hF19:JZOB/gE0tLCZq5CE3/3zAAfF3,768:5NTz8D9IZWrhkdhMr2YaqeX1GSRNrdGTDRy8u+g4VF4CyYAGMaBNlJBq97lINT3Q:UD9IZWrhChMr2YaqyRNqU2NceZBolGe,49152:AsssybsjZ5XgMox16rx/AkYxWWN/UzI5CUWyl2ioYuMrhzr/7:uZAjZ5XKx1GZ7Z8MI5Vj2i1uMVr,192:OQdsewVSF0Z1aU8bzegpBrL+EEWMkQ0rAhNs8L4dIz3yBiYgbQC8F7y7QUi9Y:OoyzZ8bz1vOEEWZlrA3sI4eCB+bVsN+,384:4dPwUuOvn9YXAxbKaYBYnrKzKKRsKkzKRzYK9SKRAKcnKRLFKaN/KRYKyeKRzKgZ:EwpAYXA8/WeBAOdU8,768:7UkJ3EtkMcV1EVnzSbUyBCT+KOu0v5tbAyD0kXv+Y4Dx:7UkJ021EVnzMxBCTNR0QkXvR4t,192:9FXdjjQXFGx0+50D2IXjNKnQ3JbqANzwZ+maiaKpzbA+/4KmAxVj1Z:7d4VGqhXBgqqANUba/Kpbh/HV51Z,384:QG11bGbB9E838dmOCGjaP2teqMRjk1IcoElEpEhgLsVFV8BjP0CbSZN:11gX9MdEGjcrv2cagPLsVFVK0Cu3,768:PCLUN5SOhZ9G5BM/MkGjTLjbTl+6LIPqTun:PmUXNhZ9Y4Gj/jbTldMf,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,NOTOX,Predicting long term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu/,http://notox-sb.eu/,http://eurice.eu/news/details/article/predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organo/,http://notox-sb.eu/uploads/media/NOTOX_Fact_Sheet_01.pdf,http://www.cosmostox.eu/about/seurat/,http://www.eurotox2015.com/home/83/,http://www.seurat-1.eu/pages/cluster-projects/notox.php,http://www.iphc.cnrs.fr/NOTOX-project.html,http://ec.europa.eu/research/health/large-scale/systems-medicine/projects-fp7-sb_en.html,http://www.seurat-1.eu/pages/cluster-projects.php,https://eurotox2015.abstract-management.de/program/index.php?conViewSession=4940&action=papers&showDay=269,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+dkNtwaAyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:TaDpEVcnQ5Ql+cJht/EfziIfAj,100.0,192:0ws8GFg0paMArVnuUScxCGToDm2xmDQzdS:0wsPq0w7RuncxODm2xmUzdS,6144:k9ZLj/ouZGcu2NYfNf7ZAftFxaJQvQ7jyfhF4TkA3V:kj/oWGcuwYp74/YMUn3V,192:jcthqjewwBaoRACahG/ymbcRoyjDSQYF1wl5OMxMmzwvuv:jxjkAoYhGambnBqPOsMmzwvuv,384:7MUg9O7Yt/8XI9g+R4r9OzMfG+Il4kcF4HbjwGQo:7Mf49tfGpl4KjwG,384:NkQ1rr1JRywrH3lHCXj72iol4/eb61F3RAhAPAF+rWVVVlV1VwqVoLeID2XIv732:Wy1JRywrUbjkh2WYnLH7Sr/82EQ,0,384:zFIOtBYtGALWtLti48spUfIOlzcO9EJttn5jGAWXSR:zFIOtBYtGALWtLtx8sp01cOCZGAgSR,384:+Q1rj1JRywrD5nHCXjVdB/D1/tB6173RAhAPAF+rWVVVlV1VwqVoLeID2XGv7311:+i1JRywrxo2bh2WYGpMs82EQ,384:mpvfR5foLqUyGhEBS0dqogTL57GEpG0zVyalnVUCqjE9hxOC:6vfR5foLqUyGhE00AouL57VG0JHlnVU0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,HEAR-EU,High resolution image based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu/,http://ec.europa.eu/research/health/medical-research/severe-chronic-diseases/projects/hear-eu_en.html,http://www.hear-eu.eu/media_heareu/Leaflet_Hear-eu_v5.pdf,http://www.scanco.ch/en/news/news/artikel/scanco-partners-in-large-eu-project-on-hearing-restoration.html?no_cache=1,http://www.hear-eu.eu/index.php/work-packages,https://ec.europa.eu/programmes/horizon2020/en/news/cochlear-implants-%E2%80%93-sound-innovation,http://www.hear-eu.eu/index.php/publications,http://bookshop.europa.eu/en/research-eu-results-magazine-pbZZAC15010/downloads/ZZ-AC-15-010-EN-N/ZZAC15010ENN_002.pdf?FileName=ZZAC15010ENN_002.pdf&SKU=ZZAC15010ENN_PDF&CatalogueNumber=ZZ-AC-15-010-EN-N,http://www.jmir.org/2013/11/e245?trendmd-shared=1,https://hal.inria.fr/hal-01213341/document,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3841349/,192:6d2NcBBoQOaoiPub/Er27o+b7sPnc+Hzjkw1DKhUat6JewckLmtBgvEw2:6dcaoiPub/ES7oQstTjlZKh3t6kwdLmp,192:Kv8fyYEhHfuYJYwOxQIoZQzCP+TfDVSg7VkXPYcJHzjBwhVgBDp+D:KEfyYYHfuYJYdxQIAQzCPcfDVSg74DT0,0.0,24576:yfGVvLOregtLzhf4T5kUQyCjej9xwmYx6YfN0RwEgdOPRdy5Zp:yf69gtLzhf4GvmYXWdpPe5Zp,768:H2F7t2sypb/EiCgCa0oRaGquU1bEBYyZyICWqGt1kLT3LHq/QXjfx3:WFB2tpDEiCgCa0oRaGquU1bEBYyZyICr,768:4aoiPQL55z55PN5K5WA7WE725mBndUK25hY5vsig539D5ma3Z:4aoiPQLHzzNUM0Ww2kBndUK23Y1lgt1T,768:tekpBUmVSkVhwaq7UmN6gjUAMyKAIkKkspvDQ8ytTMCkWJk2KDFaEaxaragaJEa1:tekpymVSkVhwaq7UmN6gjUAMyKAIkKkp,768:xaoiPPW59FBOULAheejXeeeegeeeekeeeeMeeeeeeeeeeTeeeeeeeeeedeeeeee2:xaoiPPWrHOlheejeeeegeeeekeeeeMeV,49152:6FqUX/3+8qdSGGQjfdbSM/P4Z22FIwb01Z0ZM+QD1zZLe7Z6prFnkl5jC:iqUX/u8qdSe+SQZ7boPV5pe7ZirF8RC,1536:w+8kFxCiDsEbrvX0jK9MHbpiJGXRgpn/G3zUBromg/bhe:F871mv0HbpbRgpn/G3wBkmWbs,24576:ndE7/02uXICltZNrYbWDo9FDDKczpJG5jxES5V8WNsI7BCXP7dIHysBdEU+:ndbNXIKt3KykDeOq5jxlsKCXm7da,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,GAMMA,Global ATM security management,http://www.gamma-project.eu/,http://www.gamma-project.eu/,http://www.innovationengineering.eu/portfolio/gamma-global-atm-security-management-project/,http://www.eurocontrol.int/articles/atm-security,http://www.42solutions.nl/category/quality-safety-security/,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6819992,http://www.42solutions.nl/category/research/,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=7311419,http://www.slideshare.net/AngelolucaBarba/selex-ifatseafinal,http://ecossian.eu/links/related-projects,https://fr.linkedin.com/pub/adrien-b%C3%A9cue/18/658/138,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,100.0,192:psZg68m9qeuv2l/CyoiZM48+MsS5mGDnitr3nWuHU6lC:pMg6d9qeu+1Cr75mKnitr3WuTc,768:wet4JGghlJMxwWoc/8Y2z3AmKbWOmQiDwN:wet4JGghl+xwtY8Y2jAgBg,768:29F0wHa8X2R/1lgS6VLsq83XH7Zxamx3x4xjxww2tRLgv0:2YGr2R/fgjVoP7ZxJx3x4xjxGRLgv0,768:8bkXfrIB2uN1CYKt8NH78/CLXxQ1+tXfrIB2uGboo:jDIUuNZKt8hA/CDxQ1+BDIUulo,768:HMF0wua8X2R//ljdFOuEVLuq4H7Zxamx3x4xjxww2tRLgv0:HhZr2R/Nj/OlVqLZxJx3x4xjxGRLgv0,768:8bkXfrIB2uN1CYKt8NH78/CLXxQ1+tXfrIB2uGboo:jDIUuNZKt8hA/CDxQ1+BDIUulo,3072:D/VFhzeWduSlyHIiH57RG5Y5s5pnRqCDTAxJm:D/XuSlyHIiH5w5Y5s5pnRbDq8,384:8dA8lsmgFyYb6cuyYNmKkGBQfp1shwTEbq4sVe6FHfsTPDQjFTTukMZIxsXwJBiY:To7cxkA3VLe6xsTAFTTubXJgp,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://ncp-space.net/,http://ncp-space.net/archive-of-pages/about-cosmos/about-us/,https://www.helmholtz.de/en/research/international_cooperation/eu_projects/cooperation/space/cosmos/,http://www.ims.rtu.lv/en/?page=projects,https://www.helmholtz.de/en/research/international_cooperation/eu_projects/cooperation/space/,http://www.ims.rtu.lv/?page=projekti,http://www.researchranking.org/index.php?action=partner&p=dHhI,https://www.linkedin.com/in/elena-giglio-2b440730,http://www.researchranking.org/?action=partner&p=dAXl,http://ec.europa.eu/rea/pdf/eyeonspace_4thcallspacebrochurenew.pdf,http://www.researchranking.org/index.php?action=partner&p=dbwo,384:/hOGjKlqytBVGQnqU26zEPk3KaiWQZqn4QMsCrq:kGWkytBVGmqwEvq4QMsCrq,384:vJOGjKlqytBVqrQ8np26zdPVNQKi1N7rkjiBPKTKDKXfeHy/i9fZdn4QHs9:sGWkytBVUlnvdtN01N7rkjiBVd4QHs9,49.0,768:4jWSi822weQzhtf4+VSppTu7FDwXodLRDRLW+:CAFhtf4+wppTu7FDwXodLRDRLW+,384:tVCK4SyOBAFT5Ia66dDPRxle7cl+M2VGYOS9NK2el:G8gT51lPRG1M2VGYnK,768:rjWsnBptqmA2NywcCscA0sXWVQMhtf4+V/ppTu7FDwXodLRDRLW+:9tzNNywcCscA0smrhtf4+ZppTu7FDwXK,384:tanv/wifU7bT5IN3rl5pyle7cl+O2V/YOFI0OiA:IwBT5Mx5pd1O2V/U0OiA,768:9AaPvgnf0t7CnvpNgjy5RLtWm8qyULCrpVjXBsD:bvAf0JCnvUSRszSD,0,768:9Aauvlbf0t7Cvc5xSWNxfWm8qyULGO+fX37:avNf0JCvCJ6x,98304:LPDJ4iW4Glh/pbQHRCuO8NrD4mCqsHMQX3Zbyhe/rZz20:3RWF/2RC1QD4mCqssy24k0,768:9AacvrLf0t7CmyfYTcfyfkV+lWm8qyULumRmu7n:AvHf0JCmF4fysnmTj,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,HYPOLED,High performance OLED microdisplays for mobile multimedia HMD and micro projection applications,http://www.hypoled.org/,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/pdf,http://www.hypoled.org/,http://www.comedd.fraunhofer.de/content/dam/comedd/common/products/COMEDD/hypoled-e.pdf,http://www.hypoled.org/Documents/HYPOLED_100604.pdf,http://www.comedd.fraunhofer.de/en/applications/sensors.html,http://www.oled-info.com/hypoled-project,http://www.wiley-vch.de/berlin/journals/op/09-02/OP0902_S34-S36.pdf,http://www.oled-info.com/hypoled-project-oled-pico-projector-presents-intermediate-results,http://www.laserfocusworld.com/articles/2010/02/hypoled-digital-vga.html,http://www.hindawi.com/journals/amse/2012/417376/,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,192:0GBOfE9LOab38YjLQGQBUYt4iVdR0aBMVb7FZBQX:0W2E96OHvQ/UPiXSVbpZBQX,0.0,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,24576:/g/GPTfo1s/lCCAsGsfGT1KQSL4gBXWeNyC5E3+1MbTW:7TUs/lCkFlQWXBVICymMO,49152:LMa62Qy0rnsi9zpZbGdefhYnxkX8aY8zX7nsl7:Qa6Sknsi9tZbYa8aFrn2,768:VW/kuGuAtMg5SlcDPX8vRKP63v3DdPJViQ:VW/ih5SlcDPX8vRKPcVJViQ,384:YVB3ffEfQf3IHEgw16IhMur0aj3fA2PMgr44FJacLlxLbUslW3xM0/7s76d7HQZz:L4fIHiQphj2krVLlJpWwijES,3072:QsXVNrSjoaiL3Pc8FlFgDJodEOWEnKXwuhE6M47VTDJBGGp4Kxt:RaoaiLjFlFgDJodfX8R7dJBX4Kt,384:Yx/vy3ffEfQf3IHmw16IhMur0aj3fCW2PMgr4qLNlTuLOgdjslqCnkp0/7s76d78:+X4fIHDQphM2k/1akqlJpWwijES,0,1536:p6I6H686B5396tdOEKfKV57A/sWvSiJwqahN71THJDOiYFUP:p6I6H686B5396tdOEKyV57A9ujR5RAe,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/,http://msdl.cs.mcgill.ca/people/mosterman/workshops/date09/05_06a.pdf,http://www.genesys-platform.eu/results.htm,http://www.vtt.fi/inf/pdf/publications/2009/p705.pdf,http://www.genesys-platform.eu/environments.htm,http://ieeexplore.ieee.org/iel5/5783141/5783384/05783398.pdf?arnumber=5783398,http://www.genesys-platform.eu/objectives.htm,https://ti.tuwien.ac.at/cps/people/elsalloum,http://rts.eit.uni-kl.de/fileadmin/publication_files/Fohler_Safecomp10.pdf,http://ti.tuwien.ac.at/cps/people/obermaisser,0,0,0.0,192:GsgHTLqqYQg0xahZvIqj9pSJHFE6mjSh4G4Ikh7:GtHTeqOIqj9gJljmjSh4GWB,0,98304:JeWWuQlVHsJ0hDz9gmbmraybc4sPFi6dpip40:JeWuLz9x4aybc4sP9pc,0,768:8bkXfrIB2uN1CYKt8NH78/CLXxQ1+tXfrIB2uGboo:jDIUuNZKt8hA/CDxQ1+BDIUulo,0,768:qhVAi17poSmG5cHYJDAyyno7eVFukABCJzBxhQvnDMp/VUbn/FQppp0STxQnk1Gy:6VA+7pdmG5cHYJDAyyno7eVFukABCJz/,12288:IWBD5LTJB77WMS/OitppibIYD3YRs6Q4K9kAqO18my41ecJIuHv09EaPyKW:jVk/3AbYROqmycecJIMv09EaPyKW,1536:BVA+C9GvGccGYwDL/rnT0LVK1knefJOecbmQmqnY58+VXInYFfIpMBvY+NnNuv88:VvJrsKbi9LA6Yy46x9rARmXhYetZMHru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/,https://ec.europa.eu/research/conferences/2015/expo2015/pdf/presentations/eurodish_foodmanufuture_dr_lilia_ahrne.pdf,http://www.foodclusterinitiative.eu/uploads/files/executive-summary-final-report.pdf,http://www.foodmanufuture.eu/,http://etp.fooddrinkeurope.eu/asp/etp_uptodate/l1.asp?doc_id=726,http://foodmanufuture.eu/dmedia?f=LGhj,http://www.lets2014.eu/fileadmin/content/presentations/01%20-%20Munksgaard.pdf,http://www.foodmanufuture.eu/dpubs?f=KWs,http://www.isi.fraunhofer.de/isi-en/service/presseinfos/2014/pri-07-2014-food-manufuture-food-factory-of-the-future.php,http://www.campden.hu/eng/kpluszfpalyazatok.php,https://www.linkedin.com/in/masoni,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekv5Om:TFcZV5ek5Om,49152:GBBBLLbsUL+52okE/LGMKmdNFYv2mGEELJGqjL6WU0:GR3NL+5/kmdN88GeLn,0.0,49152:AUFE19HVv2RKEAGS7kYXAvPN1iLByVIu23GCWM:A4YJgA/kYXAXO11V2i,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7eki5bm:TFcZV5eR5bm,0,24576:suYbJ8zh2ku8UD48Z1WvY5bQiny2tcl1NqZI0Wmu:Fl1bpUEfQ5kinN+NgI0Wmu,49152:xierWGdMXy/yonD3OqNJgYrZVMChX2weNryXlJ1bhPqDi:xFCGdM8f3gYbMcmweohhPGi,49152:AAZmKNHyHm2nXjdd3dG4ZZuzr+hFCzyJI/ua5Dx4y3CBFt0WFm+asUHU1TQxd+9G:1ZmK9+dhc4ZEOJMu3y3sFt0Kmxst5Qxv,192:KlWV80oeNuoceDE+oj3dIz1QujV8O50MqyytaMJoaXS9wM04ReF4Pju9yIj:YORgoce4NxITjN50byGGU4Uj,384:pI28vz8sUM+dXJAYar9rQa0gwANL/O7OT8nLvSm/t6EuDl2:p+UJAYar9rQa0gwsjO7OT8num/F,0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,https://www.wageningenur.nl/en/show/HighTech-Europe-European-network-for-integrating-novel-technologies-for-food-processing.htm,http://www.hightecheurope.eu/uploads/media/2013-11-24_D_6.11_White_Book_Agenda_European_high_tech_food_processing.pdf,https://www.agropolis.fr/pdf/article-HTE-international-innovation.pdf,http://www.fisaonline.de/index.php?lang=en&act=institutions&i_id=1139,http://commnet.eu/02_Network/History.kl,http://www.agropolis.fr/gestion-projets/reseau-integration-nouvelles-technologies-procedes-agroalimentaires-hightecheurope.php,http://www.polsca.be/ppt/101027/IT.pdf,http://foodmanufuture.eu/project,http://www.oecd.org/sti/nano/43277102.pdf,768:xZcxJQFEsuncMsLybUCwgnsu13LwUbBfWB71Kq1:xeQesucxLmlhsu13LwoBfW/J1,384:6uVzqiIQP3YIIrBtBptORGc91Fkc9yxWzNZvK52c:6uV/IQP3FMpUJrFkGyxWzN02c,0.0,384:Yq7hLgwb253tY74928pijrvbzA9M41gu9DYN:rBDb2538492+ij141gOi,393216:MDcbh7X35xDTJKjqeqKS4eIbNXz9ns7d18tJAsf1LgK5abzX35xGTJKXTJKz:GcJn55JKjqeqKS6Zz1s78Wa1Lv56zn5Q,12288:IrXHTYCo4gzFA+PUIMidLRfWUnlbOmhQIxoTlRW5xJZEmX2lIz6JPFya/ByyHAoX:kroHPXdVuUlQIxkG7z6JdqygoX,384:M1D0ptFsYqb9/zXZvP/qGnU15U2LZs7onj1IePiHRSNVKqp7VDRB9C8FTlIbOl8c:MzLxnU3UzELFX5Re1izRyae4l2SV,1536:lf7CvKz+PpX15Je8pepsfyO4cbBkgnfbSCAGPzBU/:gKz+Pl3JqO4c9/fby/,768:f//IQP3P/2492wifS6QmZBLrys9u1MoV2vT56bOm78OXQ8xAz:f/wQP3UwOtQkt86OXQ8xAz,24576:w3GPNoV1lWYmtqVs5aOaAyq+3fAS2EGiM09zo02YSaPr:wWPNi1sfmso/Au3oSMIW02YZT,384:4XkIGOMLg4uvkwp6jmKgWqW38uHRGEG8a9nFzeku5EK:4UIGOML6kA6S/ZVRe95EK,3072:AdqPrfy1FwaRQ1CJ3/5IJQ2AhhWeNmUsqhFCHpHoG/kMUk5UsvX5kWf:A4ra16ay1CJ+JQ2YhWQtxoHhUkiwp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
