,acronym,title,projectUrl,foundProjectUrl1,foundProjectUrl2,foundProjectUrl3,foundProjectUrl4,foundProjectUrl5,foundProjectUrl6,foundProjectUrl7,foundProjectUrl8,foundProjectUrl9,foundProjectUrl10,projectUrlHash,foundProjectUrl1Hash,foundProjectUrl2Hash,foundProjectUrl3Hash,foundProjectUrl4Hash,foundProjectUrl5Hash,foundProjectUrl6Hash,foundProjectUrl7Hash,foundProjectUrl8Hash,foundProjectUrl9Hash,foundProjectUrl10Hash,MatchScore1,MatchScore2,MatchScore3,MatchScore4,MatchScore5,MatchScore6,MatchScore7,MatchScore8,MatchScore9,MatchScore10
0,FAMILIESANDSOCIETIES,Changing families and sustainable societies Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,http://cordis.europa.eu/project/rcn/106717_en.html,http://www.dji.de/index.php?id=1537,http://www.sps.ed.ac.uk/staff/social_policy/koslowski_alison,http://www.population-europe.eu/event/third-annual-familiesandsocieties-stakeholder-seminar,https://ec.europa.eu/research/social-sciences/pdf/policy_briefs/policy_brief_families-and-societies_27042015.pdf,http://www.population-europe.eu/statement/family-change-not-over,http://europa.eu/epic/eu-activities/eu-funded-projects/demography-fertility/index_en.htm,http://www.su.se/english/research/leading-research-areas/new-research-project-examines-changes-in-family-formation-and-social-policies-across-europe-1.121991,http://partispace.eu/project/related-research-projects/,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdcT6Vq:Iuiu7nGUmqX1Fr0SelX6b,192:Gduiu7nGUmqX13EUTK27PMllQS+VjuB0DelXdcT6Vq:Iuiu7nGUmqX1Fr0SelX6b,,768:ODku/Galqt7/i4WKr8O2WfW2Ae2sFZ5dWIc2ugAgcXV/:y/GXzrly1dJV/,768:i+gJG8tlJsit5KHbS1r0dAqj5vNRzLF05:bmG8TJsgQLdAqj51RzLFU,192:JfK6832aTT9AHbeXUIr5n7e4TsN7zukAcB0vjsxDvyviLNfvQRfV0mFxzQZiVsNL:lT832aTT9AHgni4n9aLNwRXFMiQcq2Y,12288:/BSrb/ca3+iEgtBlqr4n6CfNg/SsWhnVZ34Qywz+wt:U/JOgcWHhnj3WiJt,768:Et32TT9AH483Tq+X8dymKUX2apkuXFGX2XSzYqiXrVE/4BDk:Et32TT9AY83Tqc8dc+t/FEUSsrhMN,384:AiD8R5NqxcMobZfPBsnk7rf/vhEqMt3E+00uP80O9:jSqxcMWJsk7rf/tC5uDq,384:MuQry8nuYDECviVPlTU+u1/VVFRBN8IQx7n4W2ceDkpLTutBNiVPlTU+u1/VVM5l:MTMC6YRBN87r2cAs3utBEV5l,768:kGKZmDnTC0/MWKptvinawgee9/oWRT7/9eecI0+sDILeu8pe55ypaXBSPZYkO4y+:gZmDnTC0/RGtvin4ee9/nT7FeecI8DIC,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de/,http://www.hleg.de/,https://ec.europa.eu/research/energy/pdf/hleg_report_-_january_2009.pdf,http://www.ncbi.nlm.nih.gov/pubmed/25862536,http://www.melodi-online.eu/doc/04_MELODI_workshop_Weiss_HLEG.pdf,http://cordis.europa.eu/result/rcn/57126_en.html,http://ec.europa.eu/research/energy/euratom/index_en.cfm?pg=fission&section=melodi,http://www.crealradiation.com/index.php/radiation-programme-projects/doremi,http://cordis.europa.eu/search/result_en?q=contenttype%3D'project'%20AND%20programme/pga%3D'FP7-EURATOM-FISSION'%20AND%20(address/country%3D'DE'%20OR%20relatedRegion/region/euCode%3D'DE'),"http://www.fhi.no/eway/default.aspx?pid=240&trg=Content_6863&Main_6664=6898:0:25,8155:1:0:0:::0:0&MainContent_6898=6863:0:25,8168:1:0:0:::0:0&Content_6863=6866:97857::1:6865:13:::0:0",http://risk-ir.eu/,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,96:kO6SqRZBAdqP8FBvMhm+mGpUDMV3JDzxU01aBfMuuN3aoGwpc:kOhrDoV3JDtUWeVl,49152:iidjFi/4LidZFi/4gG8IgjTskVS0LCdnqHZqh7kWQ3rb3z1D9ACHv9hF19:JZOB/gE0tLCZq5CE3/3zAAfF3,768:5TTx8D9IZWrhkdhMr2YaqeX1GSRNrdGTDRy8u+g4VF4CyYAGMaBNlJBq97lINT3C:ED9IZWrhChMr2YaqyRNqU2NceZB88GX,49152:AsssybsjZ5XgMox16rx/AkYxWWN/UzI5CUWyl2ioYuMrhzr/7:uZAjZ5XKx1GZ7Z8MI5Vj2i1uMVr,768:9d91i6dWRq70GF7I7/4n7JiOylotLDKZr12k7R:N1i6dWg0s4GJiotKR11R,192:OQdsewVSF0Z1aU8bzegpBrL+EEWMkQ0rAhNs8L4dIz3yBiYgbQC8F7y7QUi9Y:OoyzZ8bz1vOEEWZlrA3sI4eCB+bVsN+,384:4dPwUuBvn9YXAxbKaYBYnrKzKKRsKkzKRzYK9SKRAKcnKRLFKaN/KRYKyeKRzKgY:EwpPYXA8/WeBAu8,768:9z1i5JydPcOq70GF7w37/4L76zQ58HRzj7R:x1i5Jyd0n0sWG6z+sR,768:7UkJ3EtkMcV1EVnzSbUyBCT+KOu0v5tbAyD0kXv+Y4Dx:7UkJ021EVnzMxBCTNR0QkXvR4t,192:9FXdjjQXFGx0+50D2IXjNKnQ3JbqANzwZ+maiaKpzbA+/4K3AxVj1Z:7d4VGqhXBgqqANUba/Kpbh/HM51Z,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NOTOX,Predicting long term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu/,http://notox-sb.eu/,http://cordis.europa.eu/result/rcn/54302_en.html,http://eurice.eu/news/details/article/predicting-long-term-toxic-effects-using-computer-models-based-on-systems-characterization-of-organo/,http://cordis.europa.eu/news/rcn/124223_en.html,http://www.cosmostox.eu/about/seurat/,http://www.seurat-1.eu/pages/cluster-projects/notox.php,http://www.eurotox2015.com/home/83/,https://ec.europa.eu/research/health/large-scale/systems-medicine/projects-fp7-sb_en.html,http://www.iphc.cnrs.fr/NOTOX-project.html,http://www.seurat-1.eu/pages/cluster-projects.php,96:YS63+dkNtwaOgyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:CaDpEVcnQ5Ql+cJht/EfziIfAj,96:YS63+dkNtwaOgyUGoaDpjgVORJnBDk5QqUh4/EdNFThiuz5EuEfziIByF30vAj:CaDpEVcnQ5Ql+cJht/EfziIfAj,768:9dZ1i6dVRq70GF7+7/4n7w7u5k52Hqp1jbqxdLXtc7R:p1i6dVg0s+Gw7Sk52S1jGxdLX+R,192:0ws8GFg0paMArVnuUScxCGToDm2xmDQzdS:0wsPq0w7RuncxODm2xmUzdS,768:9dZ1i6dPRq70GF7hh7L4L7xPd75PLWMFwKa1qx7qVYZR7R:p1i6dPg0sbSBdVPLWMFwKa1ql+YZdR,192:jcthqjewwBaoRACahG/ymbcRoyjDSQYF1wl5OMxMmzwvuv:jxjkAoYhGambnBqPOsMmzwvuv,384:NMQ1fr1JRywrH3lHCXj72iol4/eb61F3RAhAPAF+rWVVVlV1VwqVoLeID2XIv73p:WW1JRywrUbjth2WYnLH7Sr/82EQ,384:7MUg9O7Yt/8XI9g+R4r9OzMfG+Il4kcF4HbjwGQo:7Mf49tfGpl4KjwG,384:zFIOtBYtGALWtLti48spUfIOlzcO9EJttn5jGAWXSR:zFIOtBYtGALWtLtx8sp01cOCZGAgSR,,384:eQ1fj1JRywrD5nHCXjVdB/D1/tB6173RAhAPAF+rWVVVlV1VwqVoLeID2XGv731E:e+1JRywrxo2Gh2WYGpMs82EQ,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
3,HEAR-EU,High resolution image based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu/,http://cordis.europa.eu/project/rcn/104083_en.html,http://www.hear-eu.eu/index.php/publications,http://cordis.europa.eu/news/rcn/124222_en.html,http://www.hear-eu.eu/media_heareu/Leaflet_Hear-eu_v5.pdf,http://www.scanco.ch/en/news/news/artikel/scanco-partners-in-large-eu-project-on-hearing-restoration.html?no_cache=1,http://www.hear-eu.eu/index.php/work-packages,https://ec.europa.eu/programmes/horizon2020/en/news/cochlear-implants-%E2%80%93-sound-innovation,http://bookshop.europa.eu/en/research-eu-results-magazine-pbZZAC15010/downloads/ZZ-AC-15-010-EN-N/ZZAC15010ENN_002.pdf?FileName=ZZAC15010ENN_002.pdf&SKU=ZZAC15010ENN_PDF&CatalogueNumber=ZZ-AC-15-010-EN-N,http://www.jmir.org/2013/11/e245/,https://hal.inria.fr/hal-01213341/document,192:6d2NcBBoQOaoiPub/Er27o++N7sPnc+Hzjkw1DKhUat6JewckLmtBgvuw2:6dcaoiPub/ES7oVstTjlZKh3t6kwdLmX,768:9dH91i6d7QRq70GF73W7/4n7mN/vpQIpI/cq+PnywrW77R:391i6d7Qg0s32GmpvpQII/0TMR,768:xaoiPPW59FBOULAheejXeeeegeeeekeeeeMeeeeeeeeeeTeeeeeeeeeedeeeeeej:xaoiPPWrHOlheejeeeegeeeekeeeeMe8,384:9dV1i6d3KRq7fBgOYdkF7kCFrOu76R2V4X282O292e2pktOF7GZLtOn51xwgFvSo:9dV1i6daRq70GF7h17L4L7b5fw6vSotD,24576:yfGVvLOregtLzhf4T5kUQyCjej9xwmYx6YfN0RwEgdOPRdy5Zp:yf69gtLzhf4GvmYXWdpPe5Zp,768:H2F7t2sypb/EiCgCa0oRaGquU1bEBYyZyICWqGt1kLT3LHq/QXjfx3:WFB2tpDEiCgCa0oRaGquU1bEBYyZyICr,768:4aoiPQL55z55PN5K5WA7WE725mBndUK25hY5vsig539D5ma3w:4aoiPQLHzzNUM0Ww2kBndUK23Y1lgt1O,768:tekpXmVSkVhwaq7UmN6gjUAMyKAIkKkspvDQ8ytTMCkWJk2KDFaEaxaragaJEaUf:tekpXmVSkVhwaq7UmN6gjUAMyKAIkKkw,49152:6FqUX/3+8qdSGGQjfdbSM/P4Z22FIwb01Z0ZM+QD1zZLe7Z6prFnkl5jC:iqUX/u8qdSe+SQZ7boPV5pe7ZirF8RC,1536:w+8kFxCixsEbrvX0jK9MHbpiJGXRgpn/G3zUBromg/B3e:F87fmv0HbpbRgpn/G3wBkmWBu,24576:ndE7/02uXICltZNrYbWDo9FDDKczpJG5jxES5V8WNsI7BCXP7dIHysBdEU+:ndbNXIKt3KykDeOq5jxlsKCXm7da,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,GAMMA,Global ATM security management,http://www.gamma-project.eu/,http://www.gamma-project.eu/,http://cordis.europa.eu/project/rcn/110049_en.html,http://www.innovationengineering.eu/portfolio/gamma-global-atm-security-management-project/,http://www.eurocontrol.int/articles/atm-security,http://www.42solutions.nl/category/quality-safety-security/,http://ieeexplore.ieee.org/iel7/6811232/6819972/06819992.pdf?arnumber=6819992,http://www.42solutions.nl/category/research/,http://ecossian.eu/links/related-projects,http://www.slideshare.net/AngelolucaBarba/selex-ifatseafinal,http://www.finmeccanica.co.uk/businesses/selex-es/selex-es-news?p_p_id=fnmrenderportlet_WAR_fnmpublishportlet_INSTANCE_XAFVwkCHtaw2&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&p_p_col_id=column-2&p_p_col_pos=1&p_p_col_count=2&_fnmrenderportlet_WAR_fnmpublishportlet_INSTANCE_XAFVwkCHtaw2_rend_0_offset=70,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,384:RRyWg86hHLsqG+euVHDVD1b0zL0JyaZR+AAfqZo8OMu:3y9hrlG+eo3bsLeyaZRn3Zo8OMu,768:9dY1i6d2Rq70GF7B7/4n7RfXq8cmB69nlgI8L6U/WXmauqkBFw04B9BXM7R:I1i6d2g0sNG53dZ/vR,192:psZg68m9qeuv2l/CyoiZM48+MsS5mGDnitr3nWuHU6lC:pMg6d9qeu+1Cr75mKnitr3WuTc,,768:29F0wHa8X2R/1lgSdVLrq83OH7zx3xaMxKx4x9w2tRLgv0:2YGr2R/fgwV3Pezx3xDxKx4xVRLgv0,1536:XX/UAtLnBnLjtF/Joq0iqrqcqrqxOLW0q0oqrqgqrqSMq/MLSCCChxQ1+5CaUuEd:/ZtLnFL3iq0iqrqcqrqkHq0oqrqgqrqW,768:HMF0wua8X2R//ljdXOuGVLIq4H7zx3xaMxKx4x9w2tRLgv0:HhZr2R/NjhO/VsLzx3xDxKx4xVRLgv0,384:8dA8lsmgFyYb6cuyYNmKkGBQfp1shwTEbq4sVe6FHfsTPDQjFTTukMZIxsXwJBiY:To7cxkA3VLe6xsTAFTTubXJgp,3072:nfVKzeWguS9AHOoQ57RG5c5U5jB7XUfDn3xJ4:nfbuS9AHOoQ5g5c5U597XIDh2,3:qVZxgROTx8GAvXR1XbZ6WAtWzRx3G/yPAtPO/A/fRryXaXR3HQXZKBFAF1UHgcfj:qzxUO2GAv3X96HwzRx3G6QGI/Jr5XAQ/,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5,COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://ncp-space.net/,http://ncp-space.net/archive-of-pages/about-cosmos/about-us/,http://cordis.europa.eu/search/result_en?q=contenttype%3D'project'%20AND%20programme/pga%3D'FP7-SPACE'%20AND%20sicCode/code%3D'COO',http://www.ims.rtu.lv/en/?page=projects,http://cordis.europa.eu/search/result_en?q=contenttype%3D'project'%20AND%20programme/pga%3D'FP7-SPACE'%20AND%20(address/country%3D'LV'%20OR%20relatedRegion/region/euCode%3D'LV'),https://www.helmholtz.de/en/research/international_cooperation/eu_projects/cooperation/space/,http://cordis.europa.eu/search/result_en?q=contenttype%3D'project'%20AND%20programme/pga%3D'FP7-SPACE'%20AND%20(address/country%3D'SI'%20OR%20relatedRegion/region/euCode%3D'SI'),http://www.ims.rtu.lv/?page=projekti,http://www.researchranking.org/index.php?action=partner&p=dHhI,https://www.linkedin.com/in/elena-giglio-2b440730,http://www.researchranking.org/?action=partner&p=dAXl,384:/hOGjKlqytBVGQnYa26zEPkiTIC0MK5KSCQJyvn4QMsCrq:kGWkytBVGmYSEnchpk4QMsCrq,384:vJOGjKlqytBVqrQ8aM26zdPVNQKi1N7rkjiBPKTKDKXfeHy+vfJyon4QHs9:sGWkytBVUlaodtN01N7rkjiBbz4QHs9,768:9z1i5JydK/Oq70GF7VI7/4L76aIVQB2wv96LQk5j7R:x1i5Jydqn0sGG6aIVK2wv96kQR,384:tVCK4SyOBAFT5Ia66dDPRxle7cl+M2VGYOS9NK2el:G8gT51lPRG1M2VGYnK,768:9z1i5JydYlOq70GF7Xm7/4L766fQP2w3RhfNGDj7R:x1i5JydWn0sWG66fy2whhf0R,768:FjCtnBptqmA2NywcCscA0sXWVQdhtf4+VlhtaztIt7tNtDwXodLRDRLW+:qtzNNywcCscA0smuhtf4+HzapQBvDwXK,768:9z1i5Jyd7vOq70GF7Pe7/4L76o8Qey+HAZ7Q+MIDj7R:x1i5Jydzn0sWG6o8s+HABQ+7R,384:tanv/wifU7bT5IN3rl5pyle7cl+O2V/YOFI0OiA:IwBT5Mx5pd1O2V/U0OiA,768:9AaPvgnf0t7CnvpNgjy5RY+Wm8qyUL3R4VjZBsD:bvAf0JCnvUSRv+SD,,768:9Aauvlbf0t7Cvc5xSWNd9Wm8qyULlZ+fX3n:avNf0JCvCJTM,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
6,HYPOLED,High performance OLED microdisplays for mobile multimedia HMD and micro projection applications,http://www.hypoled.org/,http://onlinelibrary.wiley.com/doi/10.1889/1.3500394/pdf,http://www.hypoled.org/,http://www.comedd.fraunhofer.de/content/dam/comedd/common/products/COMEDD/hypoled-e.pdf,http://www.hypoled.org/Documents/HYPOLED_100604.pdf,http://www.comedd.fraunhofer.de/en/applications/sensors.html,http://www.digitimes.com.tw/tw/B2B/Seminar/Service/download/051A106060/051A106060_37P8LW5KV1LX32QF3SQ9.pdf,http://www.oled-info.com/hypoled-project,http://www.wiley-vch.de/berlin/journals/op/09-02/OP0902_S34-S36.pdf,http://www.oled-info.com/hypoled-project-oled-pico-projector-presents-intermediate-results,http://www.laserfocusworld.com/articles/2010/02/hypoled-digital-vga.html,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,384:0W2E965nHQluNuV0yDRE1ULQIupIaORVuYVbpZBVX:0W2E965HEWJLULQBCF,384:xGV+xnFR0OXL539uLo9t3DrSDaZW3Dan0ZD3Dan0Zp3Dan0Z/b3Dan0Z93Dan0ZY:lnFcm4Kxsb69+Y7PRRR9/v09zneEHQ,24576:/g/GPTfo1s/lCCAsGsfGT1KQSL4gBXWeNyC5E3+1MbTW:7TUs/lCkFlQWXBVICymMO,49152:LMa62Qy0rnsi9zpZbGdefhYnxkX8aY8zX7nsl7:Qa6Sknsi9tZbYa8aFrn2,768:VW/kuGuAtMg5SlcDPX8vRKP63v3DdPJViQ:VW/ih5SlcDPX8vRKPcVJViQ,393216:WdIyKv3g05cU+tPXZVzvVdBUOrRLAWt7K:EWl5IRVz/BUS7t7K,384:YVB3dyeEfQf3IHqw16IhMur0aj3fA2PMgr44FJacLlxLbUslW3xkf0/7s76d7HQV:x4fIH/Qphj2krVu86Jp0zijES,3072:QsXVNrSjoaiL3Pc8FlFgDJodEOWEnKXwuhE6M47VTDJBGGp4Kxt:RaoaiLjFlFgDJodfX8R7dJBX4Kt,384:Yx/vy3dyeEfQf3IHkw16IhMur0aj3fCW2PMgr4qLNlTuLOgdjslqCnvp0/7s76d2:+V4fIHJQphM2k/1avq6Jp0zijES,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/,http://msdl.cs.mcgill.ca/people/mosterman/workshops/date09/05_06a.pdf,http://www.genesys-platform.eu/results.htm,http://www.vtt.fi/inf/pdf/publications/2009/p705.pdf,http://www.genesys-platform.eu/environments.htm,http://ieeexplore.ieee.org/iel5/5783141/5783384/05783398.pdf?arnumber=5783398,http://www.genesys-platform.eu/progress.htm,https://ti.tuwien.ac.at/cps/people/elsalloum,http://rts.eit.uni-kl.de/fileadmin/publication_files/Fohler_Safecomp10.pdf,http://ti.tuwien.ac.at/cps/people/obermaisser,,,192:GsgHTLqqYQg0xahZvIqj9pSJHFE6mjSh4G4Ikh7:GtHTeqOIqj9gJljmjSh4GWB,,98304:JeWWuQlVHsJ0hDz9gmbmraybc4sPFi6dpip40:JeWuLz9x4aybc4sP9pc,,1536:S/UAtLnyn6jtF/dmqqf/vi+qqkXx/MLiCCChxQ1+5CaUuE6:KZtLni63Iqq/BqqkX5wxQ1+EaUuL,,768:qhVAi17poSmG5cHYJDAyyno7eVFukABCJzBxhQvnDMp/VUbn/FQppp0STxQnk1Gz:6VA+7pdmG5cHYJDAyyno7eVFukABCJzQ,12288:IWBD5LTJB77WMS/OitppibIYD3YRs6Q4K9kAqO18my41ecJIuHv09EaPyKW:jVk/3AbYROqmycecJIMv09EaPyKW,1536:BVA+C9GvGccGYwDL/rnT0LVK1knefJOecbmQmqnY58+VXInYFfIpMBvY+NnNuv8G:VvJrsKbi9LA6Yy46xvrARmXhYetZMHru,,,,,,,,,,
8,FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/,https://ec.europa.eu/research/conferences/2015/expo2015/pdf/presentations/eurodish_foodmanufuture_dr_lilia_ahrne.pdf,http://cordis.europa.eu/project/rcn/101131_en.html,http://www.foodclusterinitiative.eu/uploads/files/executive-summary-final-report.pdf,http://cordis.europa.eu/result/rcn/58005_en.html,http://www.foodmanufuture.eu/,http://www.lets2014.eu/fileadmin/content/presentations/01%20-%20Munksgaard.pdf,http://www.foodmanufuture.eu/dpubs?f=KWs,http://etp.fooddrinkeurope.eu/asp/etp_uptodate/l1.asp?doc_id=726,http://foodmanufuture.eu/dmedia?f=LGhj,http://www.isi.fraunhofer.de/isi-en/service/presseinfos/2014/pri-07-2014-food-manufuture-food-factory-of-the-future.php,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ekx5km:TFcZV5em5km,49152:GBBBLLbsUL+52okE/LGMKmdNFYv2mGEELJGqjL6WU0:GR3NL+5/kmdN88GeLn,,49152:AUFE19HVv2RKEAGS7kYXAvPN1iLByVIu23GCWM:A4YJgA/kYXAXO11V2i,768:9dS1i6dnRq70GF72g7/4n7UeW+YRMmsDg7R:i1i6dng0s9GUzMmpR,384:TXuBWGeimyh2MzkgWqW38uHRGEG8a9nF7ek/5mm:TFcZV5eo5mm,49152:xierWGdMXy/yonD3OqNJgYrZVMChX2weNryXlJ1bhPqDi:xFCGdM8f3gYbMcmweohhPGi,49152:AAZmKNHyHm2nXjdd3dG4ZZuzr+hFCzyJI/ua5Dx4y3CBFt0WFm+asUHU1TQxd+9G:1ZmK9+dhc4ZEOJMu3y3sFt0Kmxst5Qxv,,24576:suYbJ8zh2ku8UD48Z1WvY5bQiny2tcl1NqZI0Wmu:Fl1bpUEfQ5kinN+NgI0Wmu,192:KlWV80oeNuoceDE+oj3dIz1QujV8O50MqyytaMJoaXS9wM04ReF4Pju9yIj:YORgoce4NxITjN50byGGU4Uj,0.0,,0.0,0.0,96.0,0.0,0.0,,0.0,0.0
9,HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,https://www.wageningenur.nl/en/show/HighTech-Europe-European-network-for-integrating-novel-technologies-for-food-processing.htm,http://cordis.europa.eu/result/rcn/86488_en.html,http://www.hightecheurope.eu/uploads/media/2013-11-24_D_6.11_White_Book_Agenda_European_high_tech_food_processing.pdf,https://www.agropolis.fr/pdf/article-HTE-international-innovation.pdf,http://www.fisaonline.de/index.php?lang=en&act=institutions&i_id=1139,http://commnet.eu/02_Network/History.kl,http://www.agropolis.fr/gestion-projets/reseau-integration-nouvelles-technologies-procedes-agroalimentaires-hightecheurope.php,http://www.polsca.be/ppt/101027/IT.pdf,http://foodmanufuture.eu/project,768:xZcxJQFEsuncMsLybUCwgnsu13LwUbBfWB71Kq1:xeQesucxLmlhsu13LwoBfW/J1,384:6uVzqiIQP3rIIrBtBptORGc91Fkc9yxWzNZvK52c:6uV/IQP30MpUJrFkGyxWzN02c,384:We7hvgwbq53tW74928pijrvbzI9M41SHDy:91Dbq53m492+ij141SHu,384:9dq1i6dKj7ExRq7fBgOYdkF7kQDOu76R2t4X2Q2O292e2pktOF7GZLtOKp6sGUiU:9dq1i6d1Rq70GF7t7/4n7Gh2mmi7R,393216:MDcbh7X35xDTJKjqeqKS4eIbNXz9ns7d18tJAsf1LgK5abzX35xGTJKXTJKz:GcJn55JKjqeqKS6Zz1s78Wa1Lv56zn5Q,12288:IrXHTYCo4gzFA+PUIMidLRfWUnlbOmhQIxoTlRW5xJZEmX2lIz6JPFya/ByyHAoX:kroHPXdVuUlQIxkG7z6JdqygoX,384:M1D0ptFsYqb9/zXZvP/qGnU15U2LZs7onj1IePiHRSNVKqp7VDRB9C8FTlIbOl8c:MzLxnU3UzELFX5Re1izRyae4l2SV,1536:lf7CvKz+PpX15JeMpepsfyO4cbBkgnfbSCAGPzBU/:gKz+PljJqO4c9/fby/,768:f//IQP3y/2492wifS6QmZBLrys9u1MoV2vT56bOm78OXQ8xAz:f/wQP3rwOtQkt86OXQ8xAz,24576:w3GPNoV1lWYmtqVs5aOaAyq+3fAS2EGiM09zo02YSaPr:wWPNi1sfmso/Au3oSMIW02YZT,384:4XkIGOMLg4uvkwp6jmKgWqW38uHRGEG8a9nFzekh5T6kK:4UIGOML6kA6S/ZVReu5T6kK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
