acronym,title,projectUrl
FAMILIESANDSOCIETIES,Changing families and sustainable societies: Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/
HLEG,High Level Expert Group on European Low Dose Risk Research,http://www.hleg.de
NOTOX,Predicting long-term toxic effects using computer models based on systems characterization of organotypic cultures,http://www.notox-sb.eu
HEAR-EU,High-resolution image-based computational inner ear modelling for surgical planning of cochlear implantation,http://www.hear-eu.eu
GAMMA,Global ATM security management,http://www.gamma-project.eu/
ODYSSEY,Strategic pan-European ballistics intelligence platform for combating organised crime and terrorism,http://odyssey-project.eu
HIPPOCAMP,High-power Impulse Plasma Process Operations for the Creation of Advanced Metallic Parts,http://www.hippocamp.eu/
AEVIOM,Advanced experimentally validated integrated OLED model for a breakthrough in high-performance OLED technology,http://www.aeviom.eu
COSMOS+,Continuation Of the cooperation of Space NCPs as a Means to Optimise Services,http://www.ncp-space.net
HYPOLED,High-performance OLED-microdisplays for mobile multimedia HMD and micro-projection applications,http://www.hypoled.org/
HELIUM3D,High efficiency laser-based multi-user multi-modal 3D display,http://www.cse.dmu.ac.uk/~mutedusr/
MINISURG,Miniaturized stereoscopic distal imaging sensor for minimally invasive surgery,http://minisurg.org/
GENESYS,Generic embedded system platform,http://www.genesys-platform.eu/
IMVIS,Immersive multi-view system for co-located collaboration,http://www.imvis-eu.org/
FOODMANUFUTURE,Conceptual Design of a Food Manufacturing Research Infrastructure to boost up innovation in Food Industry,http://www.foodmanufuture.eu/
HIGHTECH EUROPE,European Network for integrating novel technologies for food processing,http://www.hightecheurope.com/
PLEASURE,"""Novel Processing approaches for the development of food products Low in fAt, Salt and sUgar""",http://www.pleasure-fp7.com/
SHOCKMEAT,Development of Shock Wave Technology for Packed Meat,http://www.shockmeat.eu
RECAPT,Retailer and Consumer Acceptance of Promising Novel Technologies and Collaborative Innovation Management,http://www.recapt.org
TACMON,DEVELOPMENT OF A LOW-COST INTERACTIVE GRAPHICAL TACTILE DISPLAY CAPABLE OF DISPLAYING TEXTUAL AND GRAPHICAL INFORMATION AS ADVANCED USER INTERFACE FOR THE VISUALLY IMPAIRED,http://www.tacmon.eu/new/
EAGLE,"""Development and demonstration of a dynamic, web-based, renewable energy rating platform""",http://www.eagle-fp7.eu
CLICO,"""Climate Change, Hydro-conflicts and Human Security""",http://www.clico.org/
ACRIMAS,Aftermath Crisis Management System-of-systems Demonstration,http://www.acrimas.eu/
FUTURENANONEEDS,Framework to respond to regulatory needs of future nanomaterials and markets,http://www.futurenanoneeds.eu
HI-FRE,Efficient membrane filtration units with integrated High Frequency Backpulsing device,http://www.hi-fre.eu
MS.MONINA,Multi-scale Service for Monitoring NATURA 2000 Habitats of European Community Interest,http://www.ms-monina.eu/home
PASODOBLE,Promote Air Quality Services integrating Observations – Development Of Basic Localised Information for Europe,http://www.myair-eu.org/
PROSPARE,PROgress in Saving Proteins And Recovering Energy,http://www.prospare.eu/
TDSEXPOSURE,Total Diet Study Exposure,http://www.tds-exposure.eu/
OBELIX,OBesogenic Endocrine disrupting chemicals: LInking prenatal eXposure to the development of obesity later in life,http://www.theobelixproject.org
FC-DISTRICT,New µ-CHP network technologies for energy efficient and sustainable districts,http://www.fc-district.eu
E-HUB,Energy-Hub for residential and commercial districts and transport,http://www.e-hub.org/
ISAC,Information Service on Agricultural Change,http://www.gmes-isac.info/index.html
WHEY2FOOD,Enhanced protein fractionation from protein sources for their use in special food applications,http://www.whey2food.eu/
NOSHAN,Sustainable Production of Functional and Safe Feed from Food Waste,http://www.noshan.eu/index.php/en/
GEOLAND2,geoland2 - towards an operational GMES Land Monitoring Core Service,http://www.gmes-geoland.info
NANOVALID,"""Development of reference methods for hazard identification, risk assessment and LCA of engineered nanomaterials""",http://www.nanovalid.eu
food PACKaging using PolybutyleneSUCCInate""",http://www.succipack.eu
BACCHUS,Beneficial effects of dietary bioactive peptides and polyphenols on cardiovascular health in humans,http://www.bacchus-fp7.eu/
HYDRO-COAT,Novel high-pressure water hydraulic equipment for application in the construction and mining sector,http://www.hydrocoat.eu
PLASMANICE,Atmospheric Plasmas for Nanoscale Industrial Surface Processing,http://hlab.ee.tut.fi/plasmanice/
GARNET-E,GMES for Africa: Regional Network for Information Exchange and Training in Emergencies,http://www.gmes-garnete.net/
NACLIM,North Atlantic Climate: Predictability of the climate in the North Atlantic/European sector related to North Atlantic/Arctic sea surface temperature and sea ice variability and change,http://www.naclim.eu
IMAGINES,Implementation of Multi-scale Agricultural Indicators Exploiting Sentinels,http://www.fp7-imagines.eu
