,acronym,title,foundProjectUrl1,classification
0,ALFRED,ALFRED Personal Interactive Assistant for Independent Living and Active Ageing,http://alfred.eu/,1
4,ARIEL,Archaeological Investigations of the Extra Urban and Urban Landscape in Eastern Mediterranean centres A case study at Palaepaphos Cyprus,http://ucy.ac.cy/ariel/,1
8,GUIDENANO,Assessment and mitigation of nano enabled product risks on human and environmental health Development of new strategies and creation of a digital guidance tool for nanotech industries,http://www.guidenano.eu/News,1
11,ACTICOSPACK,Reducing the levels of preservatives in cosmetic products through active packaging technologies,http://www.acticospack.eu/index.php/up-to-date/news/12-acticospack-project-to-achieve-a-more-natural-cosmetic-products,1
18,MAQUIS,Mediterranean Air QUality In future climate Scenarios,http://projectmaquis.org/,1
23,GENDRIVAX,Genome driven vaccine development for bacterial infections,http://www.gendrivax.org/,1
34,CIA4OPM,Optimising the policy mix by the development of a common methodology for the assessment of socio economic impacts of RTDI public funding,http://www.ttgv.org.tr/en/common-impact-assessment-for-optimising-the-policy-mix,1
73,IMPRESSIONS,Impacts and risks from higher end scenarios Strategies for innovative solutions,http://impressions-project.eu/,1
75,PRIPAR,Early Modern Private Partnerships and Company Law in the Meuse Rhine Region,https://law.maastrichtuniversity.nl/research/pripar-early-modern-private-partnerships-and-company-law-in-the-meuse-rhine-region/,1
78,PICS,Development of innovative ALD materials and tools for high density 3D integrated capacitors,http://www.fp7-pics.eu/objectives.html,1
80,IRMFC,Development of a Portable Internal Reforming Methanol High Temperature PEM Fuel Cell System,http://www.fch.europa.eu/project/development-portable-internal-reforming-methanol-high-temperature-pem-fuel-cell-system,1
81,TA101-GOCLIN,Clinical development of TA 101 for the treatment of rheumatoid arthritis,https://ta101goclin.wordpress.com/,1
89,SODSAT,Remote precision management of turf grass sod production by means of artificial intelligence and satellite imaging,http://sodsat-project.com/,1
91,SMARTCAT,Systematic Material oriented Approach using Rational design to develop break Through Catalysts for commercial automotive PEMFC stacks,http://www.fch.europa.eu/project/systematic-material-oriented-approach-using-rational-design-develop-break-through-catalysts,1
94,NICAIA,Nature Inspired Computation and its Applications,http://www.i-sense.org/projects.html,1
96,AIM,A novel architecture for modelling virtualising and managing the energy consumption of household appliances,http://www.ict-aim.eu/,1
103,QUANTIP,Quantum integrated photonics,http://seis.bris.ac.uk/~phmgt/quantip/About_QUANTIP.html,1
104,EVOLVDSO,Development of methodologies and tools for new and evolving DSO roles for efficient DRES integration in distribution networks,http://www.evolvdso.eu/,1
105,SMARTPRODUCTS,Proactive knowledge for smart products,http://www.smartproducts-project.eu/index.php/proactive-knowledge,1
106,FLHEA,FLAX AND HEMP ADVANCED FIBER BASED COMPOSITES,http://flhea.eu/,1
107,CESSAMAG,CERN EC Support for SESAME Magnets,http://cessamag.web.cern.ch/,1
108,WATERS,Strategic partnership for improved basin scale water quality parameter retrieval from optical signatures,http://mywaters.eu/,1
109,AQUAEXCEL,AQUAculture infrastructures for EXCELLence in European Fish research,http://www.aquaexcel.eu/,1
111,SECURE-R2I,Reinforcing cooperation with Eastern Partnership countries on bridging the gap between research and innovation for inclusive and secure societies,http://secure-r2i.eu/,1
114,PRISM,Privacy aware Secure Monitoring,http://www.fp7-prism.eu/,1
118,HATS,Highly adaptable and trustworthy software using formal models,http://www.hats-project.eu/,1
119,VISMASTER CA,Visual analytics Mastering the information age,http://www.vismaster.eu/,1
122,HERMES,High density integration by embedding chips for reduced size modules and electronic systems,http://www.ecpe.org/news-projects/european-projects/current/details/?tx_ttnews%5Btt_news%5D=227&cHash=0cbd844edc472e126098478502f03bc4,1
123,SWIFT,Secure widespread identities for federated Telecommunications,http://ist-swift.sit.fraunhofer.de/,1
129,QWECI,Quantifying Weather and Climate Impacts on Health in Developing Countries,https://www.liverpool.ac.uk/qweci/,1
132,CERES,CEI Research Fellowship Programme,http://www.cei.int/CERES,1
133,ULTRATENDER,Non Invasive high power ultrasound HPU processing method for meat tenderization,http://www.lincis.com/index.php?option=com_k2&view=item&id=159:ultratender&lang=pt,1
134,HST-FOOD-TRAIN,Science based precision processing for future healthy structured and tasteful fruit and vegetable based foods an integrated research and training program,http://hstfoodtrain-itn.eu/home/,1
135,WATERGOLF,Wireless distributed intelligent system for irrigation optimisation and early turf disease prevention and treatment on Golf Courses,http://marg-project.eu/watergolf-wireless-distributed-intelligent-system-for-irrigation-optimisation-and-early-turf-disease-prevention-and-treatment-on-golf-courses/,1
138,TACMON2,Development of a very low cost Interactive Graphical Tactile Display as advanced user interface for visually impaired,http://www.tacmon.eu/new/,1
139,RENEWX,Development and demonstration of compact multi source heat eXchanger technologies for renewable energy applications,http://www.renewx.eu/,1
