acronym,title,foundProjectUrl1,classification
ALFRED,ALFRED Personal Interactive Assistant for Independent Living and Active Ageing,http://alfred.eu/,1
TIBETMETH,Microbial Biomarker Records in Tibetan Peats Monsoon Variability and its Impact on Methane Biogeochemistry,http://www.thefreedictionary.com/Tibetan+Plateau,0
SMALL_MAM_RECOL,Post glacial recolonisation and Holocene anthropization impact on populations of shrews and hedgehogs from Western Europe inferred from zooarchaeology historical biogeography and ecological modeling,http://www.thefreedictionary.com/Insectivores,0
RNF4 IN THE DDR,Identifying the targets and mechanism of action of the SUMO targeted ubiquitin ligase RNF4 in response to distinct DNA lesions,http://www.dundee.ac.uk/research/media/AwardsMay2014.pdf,0
ARIEL,Archaeological Investigations of the Extra Urban and Urban Landscape in Eastern Mediterranean centres A case study at Palaepaphos Cyprus,http://ucy.ac.cy/ariel/,1
THINFACE,Thin film Hybrid Interfaces a training initiative for the design of next generation energy devices,http://www.nanogune.eu/projects/thinface-european-training-network,0
FLEXISTAT,Production Flexibility and Efficiency through Simultaneous Three Axis Turning,http://www.flexistat.eu/,0
3FLEX,Depth enabled workflow for flexible 2D and multiview video production,http://www.hhi.fraunhofer.de/departments/vision-imaging-technologies/projects/3flex.html,0
GUIDENANO,Assessment and mitigation of nano enabled product risks on human and environmental health Development of new strategies and creation of a digital guidance tool for nanotech industries,http://www.guidenano.eu/News,1
PLASMANANOSMART,Plasma and electron beam assisted nanofabrication of two dimensional 2D substrates and three dimensional 3D scaffolds with artificial cell instructive niches for vascular and bone implants,http://portal.tpu.ru/departments/centre/cipd/news2/files/Tab/HORIZON%202020.pdf,0
RASMIM,Reactivity of Aluminium Sulphate Minerals In Mine wastes RASMIM,https://www.highbeam.com/doc/1G1-336612376.html,0
ACTICOSPACK,Reducing the levels of preservatives in cosmetic products through active packaging technologies,http://www.acticospack.eu/index.php/up-to-date/news/12-acticospack-project-to-achieve-a-more-natural-cosmetic-products,1
MULTIMERMAID,Development of a general purpose deep ocean float,https://erc.europa.eu/sites/default/files/document/file/erc_poc_2011_%20second_results.pdf,0
GAGAUTOSYN,Automated Glycosaminoglycan Synthesis to Access Defined Oligosaccharides for Diagnostic and Therapeutic Applications,https://erc.europa.eu/automated-glycosaminoglycan-synthesis-access-defined-oligosaccharides-diagnostic-and-therapeutic-app,0
COMPOSITES 4 IU,Grant to develop several composite indicators relevant for the monitoring of the progress towards objectives in the ERA and the Innovation Union,http://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52013SC0075,0
MCEC,Ministerial Conference and Excellence Conference,http://www.osce.org/skopje/121226,0
SOLAR FUEL BY III-VS,Direct photoelectrochemical generation of solar fuels using dilute nitride III V compound semiconductor heterostructures on silicon epitaxy electrochemistry and interface characterization,http://www.osti.gov/nle/topicpages/m/multijunction+solar+cells.html,0
CADET,Post transcriptional Control of the Aire Driven expression of self antigens in the Thymus,http://www.ok.ctrl.titech.ac.jp/res/PCS/research/shorttyping/ShortTyping.jar,0
MAQUIS,Mediterranean Air QUality In future climate Scenarios,http://projectmaquis.org/,1
ERA_MONITORING,Feasibility Study for a monitoring of progress in the activities of the Innovation Union performance in the domain of the European Research Area and its interaction with innovation,http://www.academia.edu/2868427/Eurostars_Programme_Interim_Evaluation,0
EADGENE_S,Strengthening the implementation of durable integration of EADGENE,http://www.fabretp.eu/eadgene.html,0
AGINGSEXDIFF,Aging Differently Understanding Sex Differences in Reproductive Demographic and Functional Senescence,https://erc.europa.eu/projects-and-results/erc-funded-projects?f[0]=sm_field_cordis_project_subpanel%3ALS8,0
KNOWINNO,Making the most of knowledge,http://www.oecd.org/sti/inno/CDH%20FINAL%20REPORT-.pdf,0
GENDRIVAX,Genome driven vaccine development for bacterial infections,http://www.gendrivax.org/,1
SELSWEEP,Molecular characterization of genetic factors in the pig under selection during speciation domestication and breeding,http://www.wageningenur.nl/en/show/selsweep.htm,0
LACOMECO,Large Scale Experiments on Core Degradation Melt Retention and Containment Behaviour,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/euratom/fission/lacomeco,0
TRADE,Europe s Asian Centuries Trading Eurasia 1600 1830,http://www2.warwick.ac.uk/fac/arts/history/ghcc/eac/,0
HYDRATIONLUBE,Hydration lubrication exploring a new paradigm,https://erc.europa.eu/hydration-lubrication-exploring-new-paradigm,0
NANOFORBIO,Nanostructures for biology,https://erc.europa.eu/sites/default/files/press_release/files/list_adg09_pe.pdf,0
ELECSPECIONS,Electronic spectra of cold large interstellar ions,https://erc.europa.eu/sites/default/files/document/file/erc_2009_adg_results_all%20domains.pdf,0
DCENSY,Doping Charge Transfer and Energy Flow in Hybrid Nanoparticle Systems,https://erc.europa.eu/sites/default/files/press_release/files/list_adg09_pe.pdf,0
ASC3,Asymmetric Cluster Catalysis Chemistry,https://erc.europa.eu/projects-and-results/erc-funded-projects?f[0]=sm_field_cordis_project_subpanel%3APE4,0
SIE2,Science in Europe 2,http://cdn.montiera.com/apps/tuvaro/1.3.1/mnu.htm,0
SUNLIGHT,Solution processed nanocrystal photovoltaics from environmentally benign and earth abundant elements,http://paristech-china.com/sites/default/files/program-list/ESPCI-Chen-Lequeux-PhysMat.pdf,0
CIA4OPM,Optimising the policy mix by the development of a common methodology for the assessment of socio economic impacts of RTDI public funding,http://www.ttgv.org.tr/en/common-impact-assessment-for-optimising-the-policy-mix,1
DECOST,Diesel Engine Cold Start and Transient Improvement,https://archive.org/stream/annualreportoft1958unse_0/annualreportoft1958unse_0_djvu.txt,0
COEL,Numerical study of dynamics and magnetic properties of strongly correlated electron systems,http://www.osti.gov/nle/topicpages/c/controlled+field+study.html,0
ELECTROWEAK,ELECTROWEAK PROCESSES IN SYSTEMS BOUND BY THE STRONG INTERACTION,https://en.wikipedia.org/wiki/Weak_interaction,0
WARP-5,Coherent Broadband Networks Embedding Smart Photonics for Cost Effective Quintuple Play,http://www.warp5.eu/top.html,0
TROJA,Targeting Receptors Of Jointly Assembled Ligand Drug Constructs,https://erc.europa.eu/sites/default/files/publication/files/Biotechnology%202012.pdf,0
STEM CELLS FOR DMD,Novel strategies for the cell therapy of muscular dystrophies,http://onlinelibrary.wiley.com/doi/10.1111/febs.12178/full,0
SPATIODIVERSITY,Towards a Unified Spatial Theory of Biodiversity,http://www.spatiodiversity.eu/,0
TICE,TRANSCRIPTOMICS IN CANCER EPIDEMIOLOGY,https://erc.europa.eu/sites/default/files/content/ERC_5_Eiliv_Lund.pdf,0
VIRNA,Cellular biology of virus infection,https://erc.europa.eu/sites/default/files/press_release/files/adg1_06-11-08_ls.pdf,0
POPPHYL,Population phylogenomics linking molecular evolution to species biology,http://www.isem.univ-montp2.fr/recherche/files/2012/04/ue_erc_popphyl.pdf,0
SYSARC,Systems Biology to understand Plant Architecture,https://erc.europa.eu/sites/default/files/press_release/files/adg1_06-11-08_ls.pdf,0
CELLDOCTOR,Quantitative understanding of a living system and its engineering as a cellular organelle,http://serrano.crg.es/erc.jsp,0
ALK7,Metabolic control by the TGF superfamily receptor ALK7 A novel regulator of insulin secretion fat accumulation and energy balance,https://erc.europa.eu/node?page=428,0
CONTACTS,Traces of contact Language contact studies and historical linguistics,http://www.academia.edu/1603586/Language_contact_in_space_and_time_Perspectives_and_pitfalls_in_diachronic_contact_linguistics,0
INFRAVEC,Research capacity for the implementation of genetic control of mosquitoes,http://europepmc.org/articles/PMC4073526,0
CORYPHEE,Cold Rydbergs photoionization electronic spectroscopy and electrostatic trapping,https://erc.europa.eu/sites/default/files/press_release/files/adg1_06-11-08_pe.pdf,0
DARE,Soil Foundation Structure Systems Beyond Conventional Seismic Failure Thresholds Application to New or Existing Structures and Monuments,http://ideas-dare.com/files/Final%20Workshop%20Schedule-rev.pdf,0
TMSS,Topology of Moduli Spaces and Strings,http://www.2020-horizon.com/K-BENHAVNS-UNIVERSITET-p332g17.html,0
MASC,MASC Materials that Impose Architecture within Stem Cell Populations,https://erc.europa.eu/sites/default/files/content/selection_panel/advanced_grant_2008.pdf,0
NEW ORGANOMETALLICS,Preparation of polyfunctional organometallics new key intermediates for synthetic organic chemistry,https://erc.europa.eu/sites/default/files/content/selection_panel/advanced_grant_2008.pdf,0
TRAFFIC IN SKM,Study of the involvement of secretory pathway in skeletal muscle differentiation,http://www.thefreedictionary.com/cisternae,0
HERL,Large Scale Machine Learning for Simultaneous Heterogeneous Tasks,http://www.academia.edu/2885750/The_Priority-Pointing_Procedure_A_Generic_Inter-Cultural_Tool_for_Solving_Problems_that_Emerge_in_Project_Development_Life_Cycles,0
QORE,Quantum Correlations,https://erc.europa.eu/sites/default/files/content/selection_panel/advanced_grant_2008.pdf,0
CARHAY2011,Design Manufacturing and Impact Testing of Advanced Composite Materials,http://eur-lex.europa.eu/legal-content/ro/TXT/?uri=CELEX:52013SC0539,0
RETROMER,The mechanism of retrograde trafficking by retromer,http://www.nature.com/ncomms/journal/v4/n1/full/ncomms2347.html,0
LIBPR,Liberating Programming,https://erc.europa.eu/sites/default/files/content/selection_panel/advanced_grant_2008.pdf,0
VR STROKE REHAB,Virtual Reality Intervention for Stroke Rehabilitation,http://jneuroengrehab.biomedcentral.com/articles/10.1186/1743-0003-11-32,0
