acronym,title,projectUrl
ALFRED,ALFRED - Personal Interactive Assistant for Independent Living and Active Ageing,
TIBETMETH,Microbial Biomarker Records in Tibetan Peats: Monsoon Variability and its Impact on Methane Biogeochemistry,
SMALL_MAM_RECOL,"Post-glacial recolonisation and Holocene anthropization impact on populations of shrews and hedgehogs from Western Europe inferred from zooarchaeology, historical biogeography and ecological modeling",
MOMEFAST,Molecular Mechanisms Employed by the Newly Assigned RNA-binding Protein FASTKD2,
RNF4 IN THE DDR,Identifying the targets and mechanism of action of the SUMO targeted ubiquitin ligase RNF4 in response to distinct DNA lesions,
ARIEL,Archaeological Investigations of the Extra-Urban and Urban Landscape in Eastern Mediterranean centres: A case-study at Palaepaphos (Cyprus),
NANODYNATCELLVATION,Nano -structural and -dynamic events in the T-cell activation,
TBKO,Synthesis and Biological Evaluation of a Potent Antituberculosis Natural Product and Analogues,
MICROBIOELECTROSYN,"Microbially catalyzed electricity driven bioproduction from CO2 at the
cathode in bioelectrochemical systems",
THINFACE,Thin-film Hybrid Interfaces: a training initiative for the design of next-generation energy devices,
IMPACTS,The impact of the quality of CO2 on transport and storage behaviour,
FLEXISTAT,Production Flexibility and Efficiency through Simultaneous Three Axis Turning,
3FLEX,Depth enabled workflow for flexible 2D and multiview video production,
GUIDENANO,Assessment and mitigation of nano-enabled product risks on human and environmental health: Development of new strategies and creation of a digital guidance tool for nanotech industries,
AZNETAC,A zebrafish model of pancreatic neuroendocrine tumor to test resistance to antiangiogenic compounds,
PLASMANANOSMART,Plasma- and electron beam-assisted nanofabrication of two-dimensional (2D) substrates and three-dimensional (3D) scaffolds with artificial cell-instructive niches for vascular and bone implants,
RASMIM,Reactivity of Aluminium Sulphate Minerals In Mine wastes (RASMIM),
FAMILIESANDSOCIETIES,Changing families and sustainable societies: Policy contexts and diversity over the life course and across generations,http://www.familiesandsocieties.eu/
ACTICOSPACK,Reducing the levels of preservatives in cosmetic products through active packaging technologies,
MULTIMERMAID,Development of a general-purpose deep ocean float,
GAGAUTOSYN,Automated Glycosaminoglycan Synthesis to Access Defined Oligosaccharides for Diagnostic and Therapeutic Applications,
COMPOSITES 4 IU,Grant to develop several composite indicators relevant for the monitoring of the progress towards objectives in the ERA and the Innovation Union,
MCEC,Ministerial Conference and Excellence Conference,
BACTINSECT,Molecular mechanisms in the establishment of disease transmission by invertebrate vectors,
SOLAR FUEL BY III-VS,"Direct photoelectrochemical generation of solar fuels using dilute nitride III-V compound semiconductor heterostructures on silicon: epitaxy, electrochemistry, and interface characterization",
FIBRILLATION,"The structure-based design of a blocker of formation of amyloid fibers of the segment AADTWE in the mutant D38A of the protein transthyretin, which causes familial amyloidosis",
CADET,Post-transcriptional Control of the Aire-Driven expression of self-antigens in the Thymus,
MAQUIS,Mediterranean Air QUality In future climate Scenarios,
ERA_MONITORING,Feasibility Study for a monitoring of progress in the activities of the Innovation Union performance in the domain of the European Research Area and its interaction with innovation,
EADGENE_S,Strengthening the implementation of durable integration of EADGENE,
AGINGSEXDIFF,"Aging Differently: Understanding Sex Differences in Reproductive, Demographic and Functional Senescence",
KNOWINNO,Making the most of knowledge,
GENDRIVAX,Genome-driven vaccine development for bacterial infections,
SELSWEEP,"Molecular characterization of genetic factors in the pig under selection during speciation, domestication and breeding",
LACOMECO,"Large Scale Experiments on Core Degradation, Melt Retention and Containment Behaviour",
TRADE,Europe's Asian Centuries: Trading Eurasia 1600-1830,
HYDRATIONLUBE,Hydration lubrication: exploring a new paradigm,
NANOFORBIO,Nanostructures for biology,
ELECSPECIONS,"Electronic spectra of cold, large interstellar ions",
DCENSY,"Doping, Charge Transfer and Energy Flow in Hybrid Nanoparticle Systems",
ASC3,Asymmetric Cluster Catalysis & Chemistry,
